covidence_id,enabled,source_strategy,cleanup_profile,reason,notes
25,true,pdftotext_cleanup,combined_basic,Common mojibake and spacing artifacts in native text layer,Use broader spacing repair on the cleaner pdftotext source
43,true,json_cleanup,combined_basic,Common mojibake artifacts in native text layer,Use broader deterministic cleanup for persistent token-boundary defects
62,true,json_cleanup,combined_basic,Common mojibake artifacts in native text layer,Use broader deterministic cleanup for persistent token-boundary defects
71,true,pdftotext_cleanup,basic_mojibake,Common mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
114,true,pdftotext_cleanup,basic_spacing,Compressed token boundaries and boundary boilerplate in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
116,true,pdftotext_cleanup,basic_spacing,Compressed token boundaries in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
121,true,pdftotext_cleanup,basic_spacing,Compressed token boundaries in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
133,true,pdftotext_cleanup,basic_mojibake,Common mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
139,true,pdftotext_cleanup,basic_mojibake,Common mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
155,true,json_cleanup,combined_basic,Common mojibake artifacts in native text layer,Use broader deterministic cleanup for persistent token-boundary defects
184,true,pdftotext_cleanup,combined_basic,Greek-letter placeholder and boundary artifacts in native text layer,Prefer pdftotext source before deterministic cleanup
197,true,pdftotext_cleanup,basic_mojibake,Common mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
223,true,pdftotext_cleanup,basic_spacing,Compressed token boundaries in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
288,true,pdftotext_cleanup,combined_basic,Greek-letter placeholder and boundary artifacts in native text layer,Prefer pdftotext source before deterministic cleanup
387,true,pdftotext_cleanup,basic_mojibake,Common mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
608,true,pdftotext_cleanup,combined_basic,Mixed mojibake and boilerplate artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
821,true,pdftotext_cleanup,combined_basic,Mixed token-boundary and mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
11109,true,json_cleanup,combined_basic,Mixed token-boundary and ligature artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
11750,true,pdftotext_cleanup,combined_basic,Mixed spacing and mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
11790,true,pdftotext_cleanup,basic_mojibake,Common mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
12502,true,pdftotext_cleanup,basic_spacing,Compressed token boundaries in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
12785,true,json_cleanup,combined_basic,Mixed spacing and mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
13177,true,json_cleanup,combined_basic,Mixed spacing and mojibake artifacts in native text layer,Initial reviewed cleanup target from weaker text-quality defects set
