issue_id,paper_id,covidence_id,title,authors,published_year,journal,stage,issue_type,severity,status,source_registry,source_field,revisit_reason,recommended_action,blocking_downstream,detected_at_utc
5|01_pdf_acquisition|pdf_missing|pdf_acquisition_queue.csv,5,5,Autoantibodies to GABAergic neurons and response to plasmapheresis in stiff-man syndrome.,"Brashear, H R; Phillips, L H 2nd",1991,Neurology,01_pdf_acquisition,pdf_missing,medium,missing,pdf_acquisition_queue.csv,download_status,No local PDF is present and the reference still needs acquisition.,"Acquire or retry the PDF, then rebuild PDF, text, source, and artefact registries.",true,2026-05-07T11:48:48.477520+00:00
25|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,25,25,Identification of a dominant epitope of glutamic acid decarboxylase (GAD-65) recognized by autoantibodies in stiff-man syndrome.,"Butler, M H; Solimena, M; Dirkx, R Jr; Hayday, A; De Camilli, P",1993,The Journal of experimental medicine,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly states that autoantibodies from 30 stiff-man syndrome patients were investigated, which supports an extractable SPS-spectrum cohort count of 30. However, provenance signals indicate possible overlap with previously studied cohorts, so the count should be retained with manual review.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:59:04.365398+00:00
34|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,34,34,A novel antineuronal antibody in stiff-man syndrome.,"Darnell, R B; Victor, J; Rubin, M; Clouston, P; Plum, F",1993,Neurology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly reports two patients with stiff-man syndrome diagnosed by typical symptoms and EMG findings, and the abstract independently states that antisera from two SMS patients were assayed. This supports an extractable original SPS-spectrum count of 2, but provenance overlap with previously reported antisera is flagged as uncertain, so manual review remains appropriate.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:59:27.063181+00:00
38|04_source_categorisation|source_category_manual_review_required|paper_artifact_registry.csv,38,38,Intravenous methocarbamol in the treatment of stiff-man syndrome.,"Voci, J M; al-Hakim, M; Dokko, Y; Katirji, M B",1993,Muscle & nerve,04_source_categorisation,source_category_manual_review_required,medium,review_source_category,paper_artifact_registry.csv,source_manual_review_required,"The extracted text does not include the letter by Voci et al. on intravenous methocarbamol for stiff-man syndrome. Therefore, it is not possible to classify the source type or determine if original SPS-spectrum patient data is present. Manual review is required to access the correct content.",Review source category/routing and update the source categorisation manual-review ledger.,true,2026-04-05T20:22:29.990194+00:00
41|01_pdf_acquisition|pdf_missing|pdf_acquisition_queue.csv,41,41,Identification of autoantibody epitopes of glutamic acid decarboxylase in stiff-man syndrome patients.,"Li, L; Hagopian, W A; Brashear, H R; Daniels, T; Lernmark, A",1994,"Journal of immunology (Baltimore, Md. : 1950)",01_pdf_acquisition,pdf_missing,medium,missing,pdf_acquisition_queue.csv,download_status,No local PDF is present and the reference still needs acquisition.,"Acquire or retry the PDF, then rebuild PDF, text, source, and artefact registries.",true,2026-05-07T11:48:48.477563+00:00
49|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,49,49,Genetics of susceptibility and resistance to insulin-dependent diabetes in stiff-man syndrome.,"Pugliese, A; Gianani, R; Eisenbarth, G S; De Camilli, P; Solimena, M",1994,"Lancet (London, England)",06_sps_case_count,case_count_manual_review_required,medium,llm_bounded_alternative,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_bounded_alternative | llm_count_confidence=medium | The paper explicitly states that the authors HLA typed 18 stiff-man syndrome patients, indicating an original SMS/SPS cohort of 18 unique patients. Because this is a brief letter and some follow-up statements reference prior reports, the count is best treated as 18 with manual review for provenance/overlap caution.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T11:01:10.525393+00:00
52|01_pdf_acquisition|pdf_acquisition_failed|pdf_acquisition_queue.csv,52,52,Treatment of stiff-man syndrome with intravenous immunoglobulin.,"Amato, A A; Cornman, E W; Kissel, J T",1994,Neurology,01_pdf_acquisition,pdf_acquisition_failed,high,failed,pdf_acquisition_queue.csv,download_status,Timed out waiting for the PDF link to appear.,"Acquire or retry the PDF, then rebuild PDF, text, source, and artefact registries.",true,2026-05-07T11:48:48.477583+00:00
55|01_pdf_acquisition|pdf_acquisition_failed|pdf_acquisition_queue.csv,55,55,Intrathecal baclofen treatment for stiff-man syndrome: pump failure may be fatal.,"Meinck, H M; Tronnier, V; Rieke, K; Wirtz, C R; Flugel, D; Schwab, S",1994,Neurology,01_pdf_acquisition,pdf_acquisition_failed,high,failed,pdf_acquisition_queue.csv,download_status,Timed out waiting for the PDF link to appear.,"Acquire or retry the PDF, then rebuild PDF, text, source, and artefact registries.",true,2026-05-07T11:48:48.477599+00:00
58|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,58,58,Treatment of stiff-man syndrome with intravenous immune globulin.,"Karlson, E W; Sudarsky, L; Ruderman, E; Pierson, S; Scott, M; Helfgott, S M",1994,Arthritis and rheumatism,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=high | llm_selected_candidate_id=cand01 | The paper explicitly reports an open, unblinded study of 3 patients with stiff-man syndrome, and the body text/table corroborate 3 SMS case reports. Because the evidence pack flags original cohort provenance as uncertain, the count is best taken as 3 but should remain marked for manual review.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T11:01:36.954374+00:00
65|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,65,65,Stiff man syndrome: clinical and laboratory findings in eight patients.,"Meinck, H M; Ricker, K; Hulser, P J; Schmid, E; Peiffer, J; Solimena, M",1994,Journal of neurology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand02 | The paper explicitly reports an original diagnosis-specific cohort of eight patients with stiff man syndrome/SMS, supported by the title, abstract, and Table 1. However, the text also states that some preliminary findings and at least two patients had been reported previously, so the count is best taken as 8 with manual review required for provenance overlap uncertainty.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T11:02:01.410055+00:00
