covidence_id,ref,study,title,authors,published_year,journal,doi,tags,card_identifier_text,card_first_author,card_year,card_authors_full,card_publication_title,card_title_matches_export,card_authors_match_export,card_year_matches_export,pdf_filename,pdf_path_relative,pdf_path_absolute,local_file_count,download_status,manifest_status,download_method,download_url,manifest_error
5,1922799,Brashear 1991,Autoantibodies to GABAergic neurons and response to plasmapheresis in stiff-man syndrome.,"Brashear, H R; Phillips, L H 2nd",1991,Neurology,,Clinical manifestations; Immunological - Lab tests; Treatment,,,,,,,,,5_brashear-phillips-1991-autoantibodies-to-gabaergic-neurons-and-response-to-plasmapheresis-in-stiff-man-syndrome.pdf,data\pdf_original\5_brashear-phillips-1991-autoantibodies-to-gabaergic-neurons-and-response-to-plasmapheresis-in-stiff-man-syndrome.pdf,C:\Projects\sps-review\data\pdf_original\5_brashear-phillips-1991-autoantibodies-to-gabaergic-neurons-and-response-to-plasmapheresis-in-stiff-man-syndrome.pdf,1,downloaded,,,,
10,2005917,Blum 1991,Stiff-person syndrome: an autoimmune disease.,"Blum, P; Jankovic, J",1991,Movement disorders : official journal of the Movement Disorder Society,,Awaiting classification,#10 – Blum 1991,Blum,1991,"Blum, P; Jankovic, J",Stiff-person syndrome: an autoimmune disease.,true,true,true,10_blum1991.pdf,data\pdf_original\10_blum1991.pdf,C:\Projects\sps-review\data\pdf_original\10_blum1991.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651751/blum1991.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T181200Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=83c74be90dbe94779d2b09e68b754d438262e8166c0feaeb1561a6cc0e0c1c85,
11,2005926,Brown 1991,A therapeutic trial of milacemide in myoclonus and the stiff-person syndrome.,"Brown, P; Thompson, P D; Rothwell, J C; Day, B L; Marsden, C D",1991,Movement disorders : official journal of the Movement Disorder Society,,Clinical manifestations; Treatment,#11 – Brown 1991,Brown,1991,"Brown, P; Thompson, P D; Rothwell, J C; Day, B L; Marsden, C D",A therapeutic trial of milacemide in myoclonus and the stiff-person syndrome.,true,true,true,11_brown1991.pdf,data\pdf_original\11_brown1991.pdf,C:\Projects\sps-review\data\pdf_original\11_brown1991.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651752/brown1991.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T181346Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=4b82410b8191ee41e16f9e7615502cc898254cb2373948b943d26c83c78c2d57,
17,1583088,Bhutani 1992,Muscle spasms and stiffness that progressed for four years.,"Bhutani, M S; Mathews, T; Akuthota, P",1992,Hospital practice (Office ed.),,,#17 – Bhutani 1992,Bhutani,1992,"Bhutani, M S; Mathews, T; Akuthota, P",Muscle spasms and stiffness that progressed for four years.,true,true,true,17_bhutani-1992-muscle spasms and stiffness that progressed for four years.pdf,data\pdf_original\17_bhutani-1992-muscle spasms and stiffness that progressed for four years.pdf,C:\Projects\sps-review\data\pdf_original\17_bhutani-1992-muscle spasms and stiffness that progressed for four years.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651758/17.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T181156Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=4abf2e298814ec59697cef0cee76894e5a80025ef70a668bf8ee3b1997d7be6f,
19,1631684,Clifton 1992,Stiff-man syndrome.,"Clifton, E R; Subramony, S H",1992,Southern medical journal,,Review Article,#19 – Clifton 1992,Clifton,1992,"Clifton, E R; Subramony, S H",Stiff-man syndrome.,true,true,true,19_Clifton-1992-Stiff-man syndrome.pdf,data\pdf_original\19_Clifton-1992-Stiff-man syndrome.pdf,C:\Projects\sps-review\data\pdf_original\19_Clifton-1992-Stiff-man syndrome.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651760/Clifton-1992-Stiff-man%20syndrome.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T181912Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=27d08175d64f84c76fa4f371b084194a93dc135d0f13d69f37977e212547de4d,
22,8232358,Gordon 1993,Therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.,"Gordon, M F; Diaz-Olivo, R; Hunt, A L; Fahn, S",1993,Movement disorders : official journal of the Movement Disorder Society,,,#22 – Gordon 1993,Gordon,1993,"Gordon, M F; Diaz-Olivo, R; Hunt, A L; Fahn, S",Therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.,true,true,true,22_gordon-1993-therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.pdf,data\pdf_original\22_gordon-1993-therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.pdf,C:\Projects\sps-review\data\pdf_original\22_gordon-1993-therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651763/22.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T183229Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=021df8350d938b4d9a33c78528b73d0d4bad626b005856bc0df47332c259bcfc,
23,8232971,Penn 1993,Stiff-man syndrome treated with intrathecal baclofen.,"Penn, R D; Mangieri, E A",1993,Neurology,,Treatment,#23 – Penn 1993,Penn,1993,"Penn, R D; Mangieri, E A",Stiff-man syndrome treated with intrathecal baclofen.,true,true,true,23_Penn 1993 Baclofen.pdf,data\pdf_original\23_Penn 1993 Baclofen.pdf,C:\Projects\sps-review\data\pdf_original\23_Penn 1993 Baclofen.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651764/Penn%201993%20Baclofen.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T190002Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=aca45abf436f2d76c357b97e2e4aee1564eaff53fb7f1ee8ca58a4c0a8ad8866,
25,8245784,Butler 1993,Identification of a dominant epitope of glutamic acid decarboxylase (GAD-65) recognized by autoantibodies in stiff-man syndrome.,"Butler, M H; Solimena, M; Dirkx, R Jr; Hayday, A; De Camilli, P",1993,The Journal of experimental medicine,,Immunological - Lab tests,#25 – Butler 1993,Butler,1993,"Butler, M H; Solimena, M; Dirkx, R Jr; Hayday, A; De Camilli, P",Identification of a dominant epitope of glutamic acid decarboxylase (GAD-65) recognized by autoantibodies in stiff-man syndrome.,true,true,true,25_Butler-1993-Identification of a dominant epito.pdf,data\pdf_original\25_Butler-1993-Identification of a dominant epito.pdf,C:\Projects\sps-review\data\pdf_original\25_Butler-1993-Identification of a dominant epito.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651766/Butler-1993-Identification%20of%20a%20dominant%20epito.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T181351Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=2187a3e8d9aaad2efb7008ef9c9d24112d0a4da1f51f39ffddda4c5ebbc7a78b,
29,8341305,Davis 1993,Significant improvement of stiff-person syndrome after paraspinal injection of botulinum toxin A.,"Davis, D; Jabbari, B",1993,Movement disorders : official journal of the Movement Disorder Society,,Clinical manifestations; Electrophysiology; Treatment,#29 – Davis 1993,Davis,1993,"Davis, D; Jabbari, B",Significant improvement of stiff-person syndrome after paraspinal injection of botulinum toxin A.,true,true,true,29_davis1993.pdf,data\pdf_original\29_davis1993.pdf,C:\Projects\sps-review\data\pdf_original\29_davis1993.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651770/davis1993.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T182057Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=9e0abca33384806b43188566cc2fa0740d8d93df503fc3cdac8b3c8d1eba5338,
30,8381208,Folli 1993,Autoantibodies to a 128-kd synaptic protein in three women with the stiff-man syndrome and breast cancer.,"Folli, F; Solimena, M; Cofiell, R; Austoni, M; Tallini, G; Fassetta, G; Bates, D; Cartlidge, N; Bottazzo, G F; Piccolo, G; De Camilli, P",1993,The New England journal of medicine,,Clinical manifestations; Electrophysiology; Immunological - Lab tests; Treatment,#30 – Folli 1993,Folli,1993,"Folli, F; Solimena, M; Cofiell, R; Austoni, M; Tallini, G; Fassetta, G; Bates, D; Cartlidge, N; Bottazzo, G F; Piccolo, G; De Camilli, P",Autoantibodies to a 128-kd synaptic protein in three women with the stiff-man syndrome and breast cancer.,true,true,true,30_Folli-1993-Autoantibodies to a 128-kd synaptic.pdf,data\pdf_original\30_Folli-1993-Autoantibodies to a 128-kd synaptic.pdf,C:\Projects\sps-review\data\pdf_original\30_Folli-1993-Autoantibodies to a 128-kd synaptic.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651771/Folli-1993-Autoantibodies%20to%20a%20128-kd%20synaptic.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T182719Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=4ef50230b8041490fbdb87f6270a30052aaa21bf0b615ec0ef779fdbddaf123b,
