paper_id,covidence_id,title,authors,source_filename,source_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,trim_reason,matched_block_code,matched_block_title,title_score,author_score,match_score,start_page_index,end_page_index,manual_status,manual_notes
1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,1001_Kahraman T. et al. - 2014 - Inpatient physiotherapy management for Stiff Perso.pdf,data\extraction_json\text\1001.json,524,0,2893,515,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",68,"EMG showed ﬁndings consistent with distal sensory motor axonal polyneuropathy accompanied by autonomic involvement. His sural nerve biopsy disclosed severe axon loss with amyloid deposition. He did not have any cardiac, renal or eye involvement due to amyloi- dosis. He refused to undergo a new liver transplantation and was put",0.0208,0.0000,0.0156,356,523,,
1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,1031_Barboi A. - 2014 - Autonomic dysfunction in stiff person syndrome (SP.pdf,data\extraction_json\text\1031.json,45,0,2645,448,0,No abstract block could be segmented from the proceedings text.,,,,,,,,,
10801,10801,"Stiff Person Syndrom, a rare neurological disease in long-term care resident.","Bhatt, T; Medina-Walpole, A; Marshall, FJ",10801_J American Geriatrics Society - 2006 - - Paper Abstracts.pdf,data\extraction_json\text\10801.json,203,1,3460,511,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",10,Family support significantly decreases length of stay 127 students completed questionnaires at the end of the clerk- ship: 25% reported they were more interested in the problems of older patients; 80.5% reported the “BIG 10” assignments made them think more about the problems of older patient; and 86.5% reported,0.0528,0.0000,0.0396,170,202,,
1112,1112,Practical management of stiff person syndrome in a limited resource setting-report of experiences in a two year follow-up,Siddi Ganie N.; Nichol R.; Janse Van Rensberg E.; Smit L.; Kruger A.; Nel M.; Lecuona E.,1112_Siddi Ganie-2015-Practical management of stiff.pdf,data\extraction_json\text\1112.json,345,1,2176,283,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",53,"Bilateral horizontal nystagmus, pyramidal syndrome, postural instability, asymmetric parkinsonian syndrome, severe dysarthria, gaze palsy and bulbar syndrome were present after 6 years. There were no signs of cognitive de- terioration. The patient died due to the cardiac arrest; at",0.0358,0.0000,0.0268,35,344,,
1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,1119_Balint B. et al. - 2015 - Antibody spectrum in stiff person syndrome and rel.pdf,data\extraction_json\text\1119.json,567,0,3250,326,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",10,In,0.3719,0.0000,0.2789,441,441,,
1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,1120_Zhang G. et al. - 2015 - Anti-GAD65 negative stiff-person syndrome with a f.pdf,data\extraction_json\text\1120.json,567,0,3250,326,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",10,In,0.3504,0.0000,0.2628,441,441,,
12251,12251,Stiff limb syndrome: a case report,"Farhat, E; Zouari, M; Beyrouti, R; Ben Sassi, S; Hentati, F",12251_s00415-014-7337-4.pdf,data\extraction_json\text\12251.json,524,0,2893,515,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",68,"EMG showed ﬁndings consistent with distal sensory motor axonal polyneuropathy accompanied by autonomic involvement. His sural nerve biopsy disclosed severe axon loss with amyloid deposition. He did not have any cardiac, renal or eye involvement due to amyloi- dosis. He refused to undergo a new liver transplantation and was put",0.0112,0.0000,0.0084,356,523,,
1227,1227,Role of plasma exchange in stiff person syndrome,Albahra S.; Yates S.; Matevosyan K.; Sarode R.,1227_Albahra S. et al. - 2016 - Role of plasma exchange in stiff person syndrome.pdf,data\extraction_json\text\1227.json,70,1,3032,386,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",11,"The patient’s discharge platelet counts were approximately 790 K/ mL. Conclusion: Therapeutic platelet depletion using the platelet collection protocol on the Amicus Separator is feasible and safe. The procedure minimized fluid loss from the patient, but also",0.0199,0.0000,0.0150,1,69,,
12270,12270,Rapid Onset Stiff Person Syndrome,"Neeley, B; Pawar, G; Tripathi, R",12270_Movement Disorders - 2021 - - Abstracts of the MDS Virtual Congress 2021.pdf,data\extraction_json\text\12270.json,599,1,3029,566,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",22,Berman BD. Neuroleptic Malignant Syndrome: A Review for Neuro-,0.4130,0.0000,0.3098,140,179,,
12288,12288,MRI abnormalities in stiff person syndrome,"Seefried, S; Homola, G; Pham, M; Sommer, C",12288_Euro J of Neurology - 2023 - - ePosters (1).pdf,data\extraction_json\text\12288.json,414,0,2291,413,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",11,"Neuromuscular Diseases Unit, Neurology Department,",0.3111,0.0000,0.2333,138,413,,
1229,1229,Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of hodgkin's lymphoma: A case report,Borellini L.; Lanfranconi S.; Trezzi I.; Franco G.; Di Fonzo A.; Bonato S.; Bresolin N.,1229_Borellini L. et al. - 2016 - Progressive encephalomyelitis with rigidity and my.pdf,data\extraction_json\text\1229.json,234,0,2269,268,1,No abstract block could be segmented from the proceedings text.,,,,,,,,,
1230,1230,Stiff Person Syndrome: A female case report with focal onset and multiple limb involvement,Vaz S.; Barros A.; Calado A.; Sequeira J.; Melancia D.; Fernandes A.,1230_Vaz S. et al. - 2016 - Stiff Person Syndrome A female case report with f.pdf,data\extraction_json\text\1230.json,279,0,2252,322,1,No abstract block could be segmented from the proceedings text.,,,,,,,,,
12301,12301,Stiff Person Syndrome Presenting with Dystonia,"Gao, F",12301_Movement Disorders - 2021 - - Abstracts of the MDS Virtual Congress 2021.pdf,data\extraction_json\text\12301.json,599,1,3029,566,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",831,"https://doi.org/10.1007/s12311-015-0749-6 Lang, A. E. (2019). Treat- ment of Palatal Tremor. In S. G. Reich & S. A. Factor (Eds.), Therapy of",0.2395,1.0000,0.4296,115,140,,
1231,1231,Therapeutic challenges of stiff person syndrome: A case report,Varga E.T.; Gyorgyi Md T.; Vecsei L.,1231_Varga E.T. et al. - 2016 - Therapeutic challenges of stiff person syndrome A.pdf,data\extraction_json\text\1231.json,279,0,2252,322,1,No abstract block could be segmented from the proceedings text.,,,,,,,,,
1233,1233,Stiff person syndrome,Dosekova P.; Krastev G.; Haring J.; Lackovic R.,1233_mds.26688.pdf,data\extraction_json\text\1233.json,697,1,3288,313,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",10,"Type of penetration/aspiration: pre-,",0.4727,0.0000,0.3545,517,520,,
1237,1237,Stiff person syndrome: Case series,Sasse E.; Amorelli G.; Spitz M.; Germano C.S.B.; Vasconcellos L.F.,1237_Sasse E. et al. - 2016 - Stiff person syndrome Case series.pdf,data\extraction_json\text\1237.json,697,1,3288,352,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",10,"Type of penetration/aspiration: pre-,",0.3582,0.0000,0.2687,517,520,,
12387,12387,Successful treatment of Stiff Person Syndrome with botulinum toxin,"Goncalves, A; Brunet, F; Ariton, D; De Fabregues, O",12387_Movement Disorders - 2022 - - Abstracts.pdf,data\extraction_json\text\12387.json,666,4,2751,455,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",21,"Criscuolo, C. et al. Two novel CYP7B1 mutations in Italian families",0.3538,0.0000,0.2654,387,387,,
1239,1239,Stiff-person syndrome and hypogammaglobulinaemia: An unusual combination,Suratannon N.; Dalm V.; Van Bilsen K.; Van Paassen P.; Tervaert J.W.C.; Driessen G.J.; Wentink M.W.; Van Der Burg M.; Van Hagen P.M.,1239_Suratannon N. et al. - 2016 - Stiff-person syndrome and hypogammaglobulinaemia .pdf,data\extraction_json\text\1239.json,92,1,4944,475,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",CD27,Samples were lysed and ﬁxed with 19 FACSLysing TM solution (BD Bio-,0.3212,0.0000,0.2409,35,91,,
1242,1242,Stiff-person syndrome in association with cerebellar ataxia: Overlapping syndrome: A case report,Chauhan V.H.; Jowkar A.A.,1242_Chauhan V.H. and Jowkar A.A. - 2016 - Stiff-person syndrome in association with cerebell.pdf,data\extraction_json\text\1242.json,265,503,1971,796,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",S259,T emporal T rends in Drug Abuse in Young Adults with Acute Ischemic Stroke,0.3333,0.5000,0.3750,9,9,,
12428,12428,"Unrecognized thymoma-associated paraneoplastic ""stiff person"" syndrome - a case report","Novoselska, N; Mateva, G; Bochev, P",12428_s00259-022-05924-4.pdf,data\extraction_json\text\12428.json,751,1,2882,413,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",595,"2. Ceccon G, et al. Dynamic O-(2-18F-fluoroethyl)-L-tyrosine positron emission tomography differentiates brain metastasis recurrence from radiation injury after radiotherapy. Neuro Oncol.",0.3130,0.0000,0.2347,451,487,,
12473,12473,Stiff-person syndrome - a 15-year review at a tertiary hospital,"Rodrigues, R; Sousa, L; Samoes, R; Caçao, G; Chaves, J; Cardoso, M; Barros, J; Santos, E; Damásio, J",12473_Movement Disorders - 2021 - - Abstracts of the MDS Virtual Congress 2021.pdf,data\extraction_json\text\12473.json,599,1,3029,566,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",22,Berman BD. Neuroleptic Malignant Syndrome: A Review for Neuro-,0.4500,0.0000,0.3375,140,179,,
12495,12495,ATYPICAL STIFF PERSON SYNDROME WITH ANTI-IGLON5 ANTIBODIES: A CASE REPORT,"Castellano, C; Bellucci, M; Germano, F; Gemelli, C; Marinelli, L; Lechiara, A; Schenone, A; Franciotta, D; Benedetti, L",12495_J Peripheral Nervous Sys - 2023 - - Abstracts.pdf,data\extraction_json\text\12495.json,51,1,2667,667,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",13,Tissue and blood sam ples were obtained after informed consent. Neurophysiological tests were conducted according to international guidelines. Routine histochemical stains and spectrophotometric determination of respiratory chain complexes were performed according to standard protocols. We used a targeted multigene,0.0260,0.0000,0.0195,26,50,,
