paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1001.json,data\extraction_json\text_trimmed\1001.json,data\extraction_json\text_trimmed\1001.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,350,0.6500,0.6667,0.6542,1,260,false,false,true,trim_record_indices,true,coded_boundary,next_soft_header,0,"PP2210 Inpatient physiotherapy management for Stiff Person syndrome T. Kahraman1, B. Balc ı1,I˙.S¸. S¸ engu¨n2 1School of Physical Therapy and Rehabilitation; 2Department of Neurology, Dokuz Eylu¨l University, Izmir, Turkey Introduction: Stiff Person Syndrome (SPS) is a rare autoimmune neurological disorder characterized by progressive stiffness and painful spasms in the trunk and lower extremities. Little information about physiotherapy management of SPS is found in the literature.",Trimmed proceedings text matches and appears complete.,2026-04-06T13:52:57.660444+00:00
1011,1011,Two cases of stiff person syndrome treated with intrathecal baclofen pump in an inpatient rehabilitation unit: A case series,Shoval H.A.; Hamer O.; Chantasi K.; Nanda U.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1011.json,data\extraction_json\text_trimmed\1011.json,data\extraction_json\text_trimmed\1011.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.6500,1.0000,0.7375,3,1648,false,false,true,exact_footer_filtered_subsequence,true,soft_header::author+institution+wrapped_title,next_soft_header,0,"sequelae of radiation-induced myelopathy, radiation-induced funicular pain is likely to progress with time. Poster 313 Two Cases of Stiff Person Syndrome Treated with Intrathecal Baclofen Pump in an Inpatient Rehabilitation Unit: A Case Series. Hannah A. Shoval (New York Presbyterian Hospital, New York, NY, United States); Orlee Hamer, DO; Kenny Chantasi, DO; Udai Nanda, MD. Disclosures: H. A. Shoval, No Disclosures: I Have No Relevant Financial Relationships to Disclose. Case Description: RS is",Trimmed proceedings text matches and appears complete.,2026-04-06T13:52:57.690225+00:00
1028,1028,Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,Probst C.; Blocker I.-M.; Mindorf S.; Unger M.; Fechner K.; Meinck H.-M.; Balint B.; Stocker W.; Schlumberger W.; Komorowski L.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1028.json,data\extraction_json\text_trimmed\1028.json,data\extraction_json\text_trimmed\1028.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.6500,0.7500,0.6750,1,276,false,false,true,trim_record_indices,true,coded_boundary,next_soft_header,0,"96 Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome Christian Probsta, Inga-Madeleine Blöcker a, Swantje Mindorf a, Mandy Unger a, Kai Fechner a, Hans-Michael Meinck b, Bettina Balint c, Winfried Stöcker a, Wolfgang Schlumberger a, Lars Komorowski a aInstitute of Experimental Immunology, EUROIMMUN AG, Lübeck, Germany; bDepartment of Neurology, University of Heidelberg, Heidelberg, Germany; cInstitute of Neurology, University College London, London, Germany Bac",Trimmed proceedings text matches and appears complete.,2026-04-06T13:52:57.726151+00:00
1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,conference_abstract,group_conference_abstract,manual_review,data\extraction_json\text\1031.json,,data\extraction_json\text\1031.json,full_text,true,manual_review_required,Matched entry appears truncated or lacks sufficient abstract body content.,untrimmed_localised,true,26,0.6577,1.0000,0.7433,227,267168,false,false,false,,false,,,0,"Poster 20 Autonomic dysfunction in stiff person syndrome (SPS): observations in 8 cases A. Barboi Department of Neurological Sciences, Rush University, Chicago, IL, USA Objectives: Describe autonomic involvement in 8 consecutive patients with stiff person syndrome Background: SPS is mediated by antibodies to the glutamic acid decarboxylase (GAD) enzyme. In addition to muscle stiffness and pain, patients may present with: cerebellar symptoms, progressive encephalomyelitis with rigidity and myoclo",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-06T13:52:57.989395+00:00
10801,10801,"Stiff Person Syndrom, a rare neurological disease in long-term care resident.","Bhatt, T; Medina-Walpole, A; Marshall, FJ",conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\10801.json,,data\extraction_json\text\10801.json,full_text,true,manual_review_required,Matched entry appears truncated or lacks sufficient abstract body content.,untrimmed_localised,true,118,0.6500,1.0000,0.7375,1847,1442050,false,false,false,,false,,,0,"AGS 2006 A NNUAL MEETING S119 POSTER ABSTRACTS years and patients most commonly present with chronic occult blood loss or recurrent acute hemorrhage. It is often associated with achlorhydia, hypergastrenemia, autoimmune and connective tissue disorders, and cirrhosis. The most common associated disorders are Raynaud’s phenomenon, sclerodactyly, hypothyroidism, primary bil- iary cirrhosis, DM, and autoimmune liver disease. Our patient had a history of SLE and DM and was found to have primary bilar",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-06T13:52:59.200411+00:00
11109,11109,High-dose intravenous immunoglobulin in the treatment elf patients with stiff person syndrome: a controlled study,"Dalakas, MC",conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\11109.json,data\extraction_json\text_trimmed\11109.json,data\extraction_json\text_trimmed\11109.json,trimmed_text,true,header_only_source,Matched entry appears to contain header-only listing without abstract body.,mismatch,true,8,0.4311,0.0000,0.3233,0,6,true,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"1994: 44: 1652-4 Barker RA, Marsden CD. Successful treatment of stiff-man syndrome with intravenous immunoglobulin., J Newrol Neurosurg Psychiatry 1997 ; 62: 426",Title/author alignment is too weak for a reliable proceedings match.,2026-04-06T13:52:59.279753+00:00
1112,1112,Practical management of stiff person syndrome in a limited resource setting-report of experiences in a two year follow-up,Siddi Ganie N.; Nichol R.; Janse Van Rensberg E.; Smit L.; Kruger A.; Nel M.; Lecuona E.,conference_abstract,multi_case_conference_abstract,manual_review,data\extraction_json\text\1112.json,data\extraction_json\text_trimmed\1112.json,data\extraction_json\text_trimmed\1112.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,41,0.7010,1.0000,0.7758,3,1381,false,false,true,trim_record_indices,true,coded_boundary,next_soft_header,0,"F1087 Practical management of stiff person syndrome in a limited resource setting – report of experiences in a two year follow-up N. Siddi Ganie1, R. Nichol2, E. Janse Van Rensberg2, L. Smit2, A. Kruger2, M. Nel3, E. Lecuona4 1Durban, South Africa, 2University of Free State, Neurology, Bloemfontein, South Africa, 3University of Free State, Psych- iatry, Bloemfontein, South Africa, 4University of Free State, Occupational Therapy, Bloemfontein, South Africa Background and aims: Stiff person syndro",Trimmed proceedings text matches and appears complete.,2026-04-06T13:53:02.304682+00:00
1116,1116,Paediatric neurological syndromes associated with glycine receptor antibodies,Gadian J.; Hacohen Y.; Kariyawasam S.; Woodhall M.; Brilot F.; Pillai S.; Suleiman J.; Lascelles K.; Pike M.; Munot P.; Vincent A.; Dale R.C.; Lim M.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1116.json,data\extraction_json\text_trimmed\1116.json,data\extraction_json\text_trimmed\1116.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.6724,1.0000,0.7543,1,2108,false,false,true,trim_record_indices,true,coded_boundary,no_header_found,0,"OP87 - 3001 Paediatric neurological syndromes associated with glycine receptor antibodies J. Gadian, Y. Hacohen, S. Kariyawasam, M.Woodhall, F. Brilot, S. Pillai, J. Suleiman, K. Lascelles, M. Pike, P. Munot, A. Vincent, R.C. Dale, M. Lim. Children’sN eurosciencesC entre,E velina London Children’s Hospital,S tT homas’H ospital, London, UK Background: In patients with glycine recept o r antibodies (GlyR- Ab), a range of neurological syndromes that includes Stiff Person Syndrome (SPS) and its more",Trimmed proceedings text matches and appears complete.,2026-04-06T13:53:02.338219+00:00
1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1117.json,,data\extraction_json\text\1117.json,full_text,true,manual_review_required,Matched entry appears truncated or lacks sufficient abstract body content.,untrimmed_localised,true,0,0.6503,1.0000,0.7377,6,6811,false,false,false,,false,,,0,S62 EUROPEAN JOURNAL O F PAEDIATRIC NEU ROLOGY 19s (2015) S 1 – S 152 muscle strength was 2/5 onl ower extremities and 4/5 in upper extremities. Case 2: A 17-year-old boy with known spondylarthri- tis presented with complaints of weakness ofl ower extremities over 10 days. On physical system examinationm u s cle strength was 4/5 onl ower extremities and 5/5 on upper extremities. Case 3: A 9-year-old boy was admitted with weakness and pain in the lower extremities over 10 days. His CK was 2988 (1,Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-06T13:53:02.345836+00:00
1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1118.json,,data\extraction_json\text\1118.json,full_text,true,manual_review_required,Matched entry appears truncated or lacks sufficient abstract body content.,untrimmed_localised,true,0,0.6502,1.0000,0.7376,11,14627,false,false,false,,false,,,0,"S86 EUROPEAN JOURNAL O F PAEDIATRIC NEUROLOGY disease, presenting with symptoms and signs of intracranial hypertension such as headache and papilledema due to cerebrovascular thrombosis. Case 1: A 16 year-old boy was admitted with a throbbing headache. Three months prior he was evaluated with fever of unknown origin, weight loss, and headache, however no specific etiology was discovered. His brain magnetic resonance venography revealed venous thrombosis in the right transverse sinus, in the sigm",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-06T13:53:02.358738+00:00
