paper_id,covidence_id,title,authors,published_year,journal,tags,notes,text_json_path,preferred_text_json_path,preferred_text_source,proceedings_detected,trim_status,source_category,source_subtype,classification_confidence,likely_case_count,contains_individual_level_data,contains_group_level_data,case_series_split_candidate,preferred_langextract_mode,langextract_eligible,manual_review_required,recommended_next_action,conference_marker_hits,review_marker_hits,case_report_marker_hits,multi_case_marker_hits,observational_marker_hits,interventional_marker_hits,non_clinical_marker_hits,translational_marker_hits,patient_label_count,categorisation_reason,categorisation_version,categorised_at_utc
10,10,Stiff-person syndrome: an autoimmune disease.,"Blum, P; Jankovic, J",1991,Movement disorders : official journal of the Movement Disorder Society,Awaiting classification,,data/extraction_json/text/10.json,data/extraction_json/text/10.json,full_text,false,,case_series_or_multi_case,case_series,high,2,true,false,true,individual_case_split,true,false,split_cases_then_langextract,,,,,,,,,,"This is a case series describing two original SPS patients with detailed individual-level clinical data, including presentation, workup, and response to therapy. The paper is not a review, group study, or basic science report.",llm_v1_gpt4.1,2026-04-05T19:01:39.499989+00:00
1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,2014,Journal of Neurology,Treatment,,data/extraction_json/text/1001.json,data/extraction_json/text_trimmed/1001.json,trimmed,true,trimmed_auto,conference_abstract,single_case_conference_abstract,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Proceedings abstract matched by title and authors; describes one 65-year-old SPS patient receiving inpatient physiotherapy.,llm_v1_gpt4.1,2026-04-05T19:01:39.527720+00:00
101,101,Progressive encephalomyelitis with rigidity responsive to plasmapheresis and immunosuppression.,"Fogan, L",1996,Annals of neurology,Clinical manifestations; Treatment,,data/extraction_json/text/101.json,data/extraction_json/text/101.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a classic single case report: the entire article is devoted to the clinical course, workup, and treatment of one patient with PEMWRS, including detailed history, examination, investigations, and long-term outcome. There is no evidence of additional original SPS-spectrum patients.",llm_v1_gpt4.1,2026-04-05T19:01:43.930491+00:00
1010,1010,Intrathecal baclofen pump placement in a patient with stiff person syndrome: A case report,Avraham R.; Sharma A.; Channick R.; Angles C.A.,2014,PM and R,Treatment,,data/extraction_json/text/1010.json,data/extraction_json/text/1010.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report, as indicated by the title and the detailed description of one patient's clinical presentation, diagnosis, treatment, and outcome. The abstract and extracted text both confirm only one SPS-spectrum patient is discussed.",llm_v1_gpt4.1,2026-04-05T19:01:48.147469+00:00
1011,1011,Two cases of stiff person syndrome treated with intrathecal baclofen pump in an inpatient rehabilitation unit: A case series,Shoval H.A.; Hamer O.; Chantasi K.; Nanda U.,2014,PM and R,Treatment,,data/extraction_json/text/1011.json,data/extraction_json/text/1011.json,full_text,false,,conference_abstract,single_case_conference_abstract,high,2,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a conference abstract (poster) presenting a case series of two SPS patients treated with intrathecal baclofen pump, with individual-level clinical data reported for both. The format, page span, and 'Poster' label confirm the conference abstract category.",llm_v1_gpt4.1,2026-04-05T19:01:52.625143+00:00
1017,1017,Therapeutic plasma exchange in a patient with paraneoplastic variant of stiff-person syndrome,Madrigal E.; Fisher R.; Friedman M.T.,2014,Transfusion,Treatment,Karlo Lizarraga (2021-10-14 06:56:40)(Select): Unable to find abstract or full text. Looks like conference paper. Full text review required.;,data/extraction_json/text/1017.json,data/extraction_json/text/1017.json,full_text,false,not_needed,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report, as indicated by the detailed description of one patient's clinical course, laboratory findings, and treatment outcomes. No evidence of additional patients is present.",llm_v1_gpt4.1,2026-04-05T19:01:55.876517+00:00
102,102,The insulin-dependent diabetes mellitus-associated ICA 105 autoantigen in stiff-man syndrome patients.,"Martino, G; Grimaldi, L M; Bazzigaluppi, E; Passini, N; Sinigaglia, F; Rogge, L",1996,Journal of neuroimmunology,Immunological - Lab tests,,data/extraction_json/text/102.json,data/extraction_json/text/102.json,full_text,false,,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,high,11,true,true,false,group,true,false,run_langextract_group,,,,,,,,,,"This is a laboratory-heavy translational study that investigates the presence of anti-ICA 105 antibodies in a cohort of 11 SMS patients, providing both group-level and individual-level clinical and serological data. The focus is on immunological assays, but the patient data are original and extractable.",llm_v1_gpt4.1,2026-04-05T19:01:59.577017+00:00
1028,1028,Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,Probst C.; Blocker I.-M.; Mindorf S.; Unger M.; Fechner K.; Meinck H.-M.; Balint B.; Stocker W.; Schlumberger W.; Komorowski L.,2014,Journal of Neuroimmunology,Clinical manifestations; Immunological - Lab tests,,data/extraction_json/text/1028.json,data/extraction_json/text_trimmed/1028.json,trimmed,true,trimmed_auto,conference_abstract,group_conference_abstract,high,44,false,true,false,group,true,false,run_langextract_group,,,,,,,,,,"This is a conference abstract (published in a proceedings issue, 2 pages, 'Abstracts' section) reporting original laboratory findings from a cohort of SPS and related movement disorder patients. It provides group-level data on 44 SPS patients, but does not present individual-level case details.",llm_v1_gpt4.1,2026-04-05T19:02:04.134053+00:00
103,103,Electrophysiological evaluation of the stiff-man syndrome: further data.,"Martinelli, P; Nassetti, S; Minardi, C; Macri, S; Ippoliti, M",1996,Journal of neurology,Electrophysiology,,data/extraction_json/text/103.json,data/extraction_json/text/103.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report, as it presents the clinical and electrophysiological evaluation of one new SMS patient with detailed individual-level data. The rest of the paper discusses prior literature and comparative findings, but only one original patient is described.",llm_v1_gpt4.1,2026-04-05T19:02:09.530404+00:00
1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,2014,Clinical Autonomic Research,Clinical manifestations; Electrophysiology; Treatment,Karlo Lizarraga (2021-07-08 06:39:22)(Screen): Conference abstract/poster;,data/extraction_json/text/1031.json,data/extraction_json/text_trimmed/1031.json,trimmed,true,trimmed_auto,conference_abstract,single_case_conference_abstract,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Proceedings abstract matched by title and author; autonomic findings across 8 SPS cases.,llm_v1_gpt4.1,2026-04-05T19:02:09.533771+00:00
