paper_id,covidence_id,title,authors,source_category,source_subtype,preferred_text_json_path,preferred_text_source,count_eligible,likely_sps_case_count,count_confidence,count_basis,count_manual_review_required,count_original_cohort_provenance_uncertain,count_reason,count_version,heuristic_likely_sps_case_count,heuristic_count_confidence,heuristic_count_basis,count_candidate_json_path,heuristic_candidate_count,llm_likely_sps_case_count,llm_count_confidence,llm_selected_candidate_id,heuristic_fallback_used,count_audit_status,count_verification_status,count_validator_flags,count_evidence_json_path,counted_at_utc
10,10,Stiff-person syndrome: an autoimmune disease.,"Blum, P; Jankovic, J",case_series_or_multi_case,case_series,data\extraction_json\text\10.json,full_text,true,2,high,abstract_count_signal,false,false,"challenge_stage=challenge | verification_status=llm_candidate_exact | llm_count_confidence=high | challenge_reasons=local_safer_abstention_conflict=0 vs 2; local_validation_conflict=0 vs 2 | llm_selected_candidate_id=cand01 | The paper explicitly states that the authors describe two patients with stiff-person syndrome, and the body text introduces two original case reports (Patient 1 and implicitly Patient 2). Larger numbers mentioned in the paper refer to prior literature, not this paper's original cohort.",hybrid_v2_gpt-5.4,2,high,abstract_count_signal,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\10.json,2,2,high,cand01,false,hybrid_local_gpt,llm_candidate_exact,,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\10.json,2026-04-18T10:40:45.123237+00:00
11,11,A therapeutic trial of milacemide in myoclonus and the stiff-person syndrome.,"Brown, P; Thompson, P D; Rothwell, J C; Day, B L; Marsden, C D",interventional_study,controlled_or_therapeutic_group_study,data\extraction_json\text\11.json,full_text,true,3,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_01 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=3 | reviewed_source_category=interventional_study | predicted_count=3 | predicted_source_category=interventional_study,gold_reviewed_stage06_v1,,,,,,,,,,manual_gold_review,manual_gold_review,,,2026-04-05T12:43:27.903230+00:00
17,17,Muscle spasms and stiffness that progressed for four years.,"Bhutani, M S; Mathews, T; Akuthota, P",single_case_report,case_report,data\extraction_json\text\17.json,full_text,true,1,high,source_single_case_default,false,false,challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=high | llm_selected_candidate_id=cand01 | The full-text excerpt clearly describes one original patient in a case presentation and explicitly states that stiff-man syndrome was diagnosed. This supports the single-case default candidate of 1 unique SPS-spectrum patient.,hybrid_v2_gpt-5.4,1,medium,source_single_case_default,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\17.json,2,1,high,cand01,false,hybrid_local_gpt,llm_candidate_exact,,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\17.json,2026-04-18T10:48:53.939123+00:00
19,19,Stiff-man syndrome.,"Clifton, E R; Subramony, S H",case_series_or_multi_case,case_series,data\extraction_json\text\19.json,full_text,true,2,high,abstract_count_signal,false,false,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=high | llm_selected_candidate_id=cand01 | The paper explicitly states that the authors describe two patients with stiff-man syndrome, and the body text presents case reports for Case 1 and Case 2. Larger numbers in the text refer to previously reported literature cases, not original patients in this paper.",hybrid_v2_gpt-5.4,2,high,abstract_count_signal,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\19.json,3,2,high,cand01,false,hybrid_local_gpt,llm_candidate_exact,,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\19.json,2026-04-18T10:51:19.661756+00:00
22,22,Therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.,"Gordon, M F; Diaz-Olivo, R; Hunt, A L; Fahn, S",interventional_study,controlled_or_therapeutic_group_study,data\extraction_json\text\22.json,full_text,true,1,high,manual_gold_review,false,false,"count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_02 | selection_bucket=count_ambiguity | prediction_correct=false | reviewed_count=1 | reviewed_source_category=interventional_study | predicted_count=10 | predicted_source_category=interventional_study | reviewer_notes=only one patient, case 10",gold_reviewed_stage06_v1,,,,,,,,,,manual_gold_review,manual_gold_review,,,2026-04-05T15:02:17.883920+00:00
23,23,Stiff-man syndrome treated with intrathecal baclofen.,"Penn, R D; Mangieri, E A",case_series_or_multi_case,case_series,data/extraction_json/text/23.json,full_text,true,2,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=stage04_llm_category_2026-04-05_round_02 | selection_bucket=case_group_boundary | prediction_correct=true | reviewed_count=2 | reviewed_source_category=case_series_or_multi_case | predicted_count=2 | predicted_source_category=case_series_or_multi_case,gold_reviewed_stage06_v1,,,,,,,,,,manual_gold_review,manual_gold_review,,,2026-04-05T18:38:37.219075+00:00
25,25,Identification of a dominant epitope of glutamic acid decarboxylase (GAD-65) recognized by autoantibodies in stiff-man syndrome.,"Butler, M H; Solimena, M; Dirkx, R Jr; Hayday, A; De Camilli, P",lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,data\extraction_json\text\25.json,full_text,true,30,medium,abstract_count_signal,true,true,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly states that autoantibodies from 30 stiff-man syndrome patients were investigated, which supports an extractable SPS-spectrum cohort count of 30. However, provenance signals indicate possible overlap with previously studied cohorts, so the count should be retained with manual review.",hybrid_v2_gpt-5.4,30,high,abstract_count_signal,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\25.json,2,30,medium,cand01,false,hybrid_local_gpt,llm_candidate_exact,,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\25.json,2026-04-18T10:59:04.365398+00:00
29,29,Significant improvement of stiff-person syndrome after paraspinal injection of botulinum toxin A.,"Davis, D; Jabbari, B",single_case_report,case_report,data\extraction_json\text\29.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_01 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,,manual_gold_review,manual_gold_review,,,2026-04-05T12:44:02.861061+00:00
30,30,Autoantibodies to a 128-kd synaptic protein in three women with the stiff-man syndrome and breast cancer.,"Folli, F; Solimena, M; Cofiell, R; Austoni, M; Tallini, G; Fassetta, G; Bates, D; Cartlidge, N; Bottazzo, G F; Piccolo, G; De Camilli, P",case_series_or_multi_case,case_series,data/extraction_json/text/30.json,full_text,true,3,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=stage04_llm_category_2026-04-05_round_02 | selection_bucket=case_group_boundary | prediction_correct=true | reviewed_count=3 | reviewed_source_category=case_series_or_multi_case | predicted_count=3 | predicted_source_category=case_series_or_multi_case,gold_reviewed_stage06_v1,,,,,,,,,,manual_gold_review,manual_gold_review,,,2026-04-05T18:38:54.830901+00:00
34,34,A novel antineuronal antibody in stiff-man syndrome.,"Darnell, R B; Victor, J; Rubin, M; Clouston, P; Plum, F",lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,data\extraction_json\text\34.json,full_text,true,2,medium,diagnosis_specific_direct_cohort_count,true,true,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly reports two patients with stiff-man syndrome diagnosed by typical symptoms and EMG findings, and the abstract independently states that antisera from two SMS patients were assayed. This supports an extractable original SPS-spectrum count of 2, but provenance overlap with previously reported antisera is flagged as uncertain, so manual review remains appropriate.",hybrid_v2_gpt-5.4,2,high,diagnosis_specific_direct_cohort_count,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\34.json,3,2,medium,cand01,false,hybrid_local_gpt,llm_candidate_exact,,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\34.json,2026-04-18T10:59:27.063181+00:00
