Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence,Study,Notes,Tags
Autoantibodies to GABAergic neurons and response to plasmapheresis in stiff-man syndrome.,"Brashear, H R; Phillips, L H 2nd","Stiff-man syndrome is a rare disorder of unknown etiology in which progressive rigidity, spasms, and continuous motor unit activity may be due to dysfunction of GABAergic inhibition of alpha motor neurons. Some patients with this disorder have evidence of autoantibodies reactive with glutamic acid decarboxylase (GAD). We describe a patient with progressive stiff-man syndrome and high titers of GAD-like immunoreactivity in serum but not spinal fluid. Plasmapheresis resulted in lowered antibody titers, decreased exteroceptive reflex responses, reduced motor unit activity, and marked clinical improvement. Immunohistochemistry using patient serum and plasma produced specific labeling of human and experimental animal tissue consistent with GABAergic neurons and terminal fields. This antibody response was not present in samples from more than 200 other patients. These results provide additional evidence of an autoimmune mechanism for stiff-man syndrome and indicate plasmapheresis may be beneficial in some patients.",1991,/,Neurology,41,10,1588-92,,,1922799,5,Brashear 1991,,Clinical manifestations; Immunological - Lab tests; Treatment
Stiff-person syndrome: an autoimmune disease.,"Blum, P; Jankovic, J","Stiff-person syndrome (SPS) is characterized by progressive, usually symmetric rigidity of the axial muscles with superimposed painful spasms precipitated by tactile stimuli, passive stretch, volitional movement of affected or unaffected muscles, startling noises, and emotional stimuli. Electromyography demonstrates continuous normal motor unit potentials in the affected muscles. Both the rigidity and the spasms are relieved by sleep, general anesthesia, myoneural blockade, peripheral nerve blockade, and partially by diazepam. Evidence for an autoimmune etiology of SPS includes its association with other autoimmune diseases and autoantibodies and the presence of antibodies against glutamic acid decarboxylase (GAD) in the cerebrospinal fluid (CSF) of many affected patients. We describe two patients with this syndrome who had GAD antibodies in both CSF and serum. Partial relief of the symptoms in these patients by corticosteroid therapy provides additional evidence of an autoimmune etiology of SPS and of the role of immunotherapy in its treatment.",1991,/,Movement disorders : official journal of the Movement Disorder Society,6,1,Dec-20,,,2005917,10,Blum 1991,,Awaiting classification
A therapeutic trial of milacemide in myoclonus and the stiff-person syndrome.,"Brown, P; Thompson, P D; Rothwell, J C; Day, B L; Marsden, C D","We investigated the therapeutic effects of milacemide in seven patients with myoclonus and three patients with the stiff-person syndrome in an open-label trial. Milacemide was initiated at 800 mg/day and was gradually increased to a maximum dosage of 2,400 mg/day. No significant improvement occurred in the 10 patients.",1991,/,Movement disorders : official journal of the Movement Disorder Society,6,1,73-5,,,2005926,11,Brown 1991,,Clinical manifestations; Treatment
Muscle spasms and stiffness that progressed for four years.,"Bhutani, M S; Mathews, T; Akuthota, P",,1992,/,Hospital practice (Office ed.),27,5A,131-2,,,1583088,17,Bhutani 1992,Yasamin Mahjoub (2023-06-07 21:51:27)(Select): Requested from UCalgary Interlibrary Loan; ,
Stiff-man syndrome.,"Clifton, E R; Subramony, S H","Stiff-man syndrome (SMS) is a rare disorder of the central nervous system characterized by painful involuntary stiffening of axial muscles accompanied by spasms. These are often precipitated by tactile or emotional stimuli, volitional movement, and startling noises. Until recently, little has been known about the pathogenesis of SMS. There is evidence now to support the hypothesis that SMS may be an autoimmune disease. This is leading to changes in the way this disease is diagnosed and treated. We describe two patients with SMS and review the pathogenesis, diagnosis, and treatment.",1992,/,Southern medical journal,85,7,711-3,,,1631684,19,Clifton 1992,,Review Article
Therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.,"Gordon, M F; Diaz-Olivo, R; Hunt, A L; Fahn, S","We performed a therapeutic trial with the glycine precursor, milacemide, on 10 patients with intractable movement disorders. Six had myoclonus of various etiologies and one each had progressive supranuclear palsy, Filipino X-linked dystonia with parkinsonism, painful legs and moving toes, and stiff-person syndrome. Milacemide was initiated at a dose of 2,400 mg/day, orally, and increased gradually to a maximum of 4,800 mg/day. No clear-cut observable improvement occurred. There were no serious adverse effects.",1993,/,Movement disorders : official journal of the Movement Disorder Society,8,4,484-8,,,8232358,22,Gordon 1993,Yasamin Mahjoub (2023-07-02 04:26:20)(Select): one case of SPS - minimal extractable data present; Yasamin Mahjoub (2023-07-02 04:24:43)(Select): uploaded it; Annu Aggarwal (2023-06-30 00:23:39)(Select): Full txt was not loaded; ,
Stiff-man syndrome treated with intrathecal baclofen.,"Penn, R D; Mangieri, E A",,1993,/,Neurology,43,11,2412,,,8232971,23,Penn 1993,,Treatment
Identification of a dominant epitope of glutamic acid decarboxylase (GAD-65) recognized by autoantibodies in stiff-man syndrome.,"Butler, M H; Solimena, M; Dirkx, R Jr; Hayday, A; De Camilli, P","Glutamic acid decarboxylase (GAD) is the enzyme that synthesizes the neurotransmitter gamma-aminobutyric acid (GABA) in neurons and in pancreatic beta cells. It is a major target of autoimmunity in Stiff-Man syndrome (SMS), a rare neurological disease, and in insulin-dependent diabetes mellitus. The two GAD isoforms, GAD-65 and GAD-67, are the products of two different genes. GAD-67 and GAD-65 are very similar to each other in amino acid sequence and differ substantially only at their NH2-terminal region. We have investigated the reactivity of autoantibodies of 30 Stiff-Man syndrome patients to GAD. All patient sera contained antibodies that recognize strongly GAD-65, but also GAD-67, when tested by immunoprecipitation on brain extracts and by immunoprecipitation or immunocytochemistry on cells transfected with either the GAD-65 or the GAD-67 gene. When tested by Western blotting, all patient sera selectively recognized GAD-65. Western blot analysis of deletion mutants of GAD-65 demonstrated that autoantibodies are directed predominantly against two regions of the GAD-65 molecule. All SMS sera strongly recognized a fragment contained between amino acid 475 and the COOH terminus (amino acid 585). Within this region, amino acids 475-484 and 571-585 were required for reactivity. The requirement of these two discontinuous segments implies that the epitope is influenced by conformation. This reactivity is similar to that displayed by the monoclonal antibody GAD 6, suggesting the presence of a single immunodominant epitope (SMS-E1) in this region of GAD-65. In addition, most SMS sera recognized at least one epitope (SMS-E2) in the NH2-terminal domain of GAD-65 (amino acids 1-95). The demonstration in SMS patients of a strikingly homogeneous humoral autoimmune response against GAD and the identification of dominant autoreactive target regions may help to elucidate the molecular mechanisms of GAD processing and presentation involved in GAD autoimmunity. Moreover, the reactivity reported here of GAD autoantibodies in SMS partially differs from the reactivity of GAD autoantibodies in insulin-dependent diabetes mellitus, suggesting a link between the pattern of humoral autoimmunity and the clinical condition.",1993,/,The Journal of experimental medicine,178,6,2097-106,,,8245784,25,Butler 1993,,Immunological - Lab tests
Significant improvement of stiff-person syndrome after paraspinal injection of botulinum toxin A.,"Davis, D; Jabbari, B","Following several months of low back pain, a 36-year-old man developed progressive stiffness of the abdominal, low back, and thigh muscles. On examination, these muscles demonstrated marked hypertonia consistent with the clinical diagnosis of stiff-person syndrome. The patient demonstrated increased lumbar lordosis and had focal hyperhidrosis at different sites. Electromyography showed continuous activity of the paraspinal and thigh muscles, and serum and cerebrospinal fluid antibodies to glutamic acid decarboxylase (GAD) were markedly elevated. Diazepam and Lioresal offered partial pain relief. Paraspinal muscle administration of botulinum toxin A reduced the tone of paraspinal and thigh muscles significantly and resulted in marked improvement of ambulation and cessation of pain.",1993,/,Movement disorders : official journal of the Movement Disorder Society,8,3,371-3,,,8341305,29,Davis 1993,,Clinical manifestations; Electrophysiology; Treatment
Autoantibodies to a 128-kd synaptic protein in three women with the stiff-man syndrome and breast cancer.,"Folli, F; Solimena, M; Cofiell, R; Austoni, M; Tallini, G; Fassetta, G; Bates, D; Cartlidge, N; Bottazzo, G F; Piccolo, G; De Camilli, P","BACKGROUND: The stiff-man syndrome is a rare disease of the central nervous system characterized by progressive rigidity of the body musculature. Autoantibodies directed against glutamic acid decarboxylase are present in about 60 percent of patients with the syndrome. In this group, there is a striking association of the stiff-man syndrome with organ-specific autoimmune diseases, primarily insulin-dependent diabetes mellitus., METHODS: We studied three women with the stiff-man syndrome and breast cancer, seeking autoantibodies directed against nervous system antigens in serum and cerebrospinal fluid by immunocytochemical techniques, Western blotting, and immunoprecipitation., RESULTS: Autoantibodies directed against a 128-kd brain protein were found in two of the women with the stiff-man syndrome and breast cancer. These results led to a search for breast cancer in the third patient with the stiff-man syndrome, who also had autoantibodies. A small invasive ductal carcinoma was detected by ultrasonography and removed. Serum samples from all three patients were negative for autoantibodies directed against glutamic acid decarboxylase. Autoantibodies against the 128-kd antigen were not detected in control patients with the stiff-man syndrome without breast cancer or in patients with cancer who did not have the syndrome. Within the nervous system, the 128-kd autoantigen was localized in neurons and concentrated at synapses., CONCLUSIONS: In a subgroup of patients with the stiff-man syndrome, the condition is likely to have an autoimmune paraneoplastic origin. The detection of autoantibodies against the 128-kd antigen in patients with this syndrome should be considered an indication to search for an occult breast cancer.",1993,/,The New England journal of medicine,328,8,546-51,,,8381208,30,Folli 1993,,Clinical manifestations; Electrophysiology; Immunological - Lab tests; Treatment
