paper_id,stage07_schema_version,source_text_json_path,source_text_sha256,prepared_source_sha256,prepared_source_character_count,route_mode,annotation_mode,annotation_model,validation_status,roundtrip_status,paper_json_path,annotated_text_path,segments_json_path,target_views_dir,validation_json_path,n_expected_patients,n_declared_patients,n_declared_groups,n_segments,n_patient_specific_segments,n_shared_segments,n_group_specific_segments,n_group_summary_segments,n_uncertain_segments,n_target_views,n_ready_target_views,ready_for_langextract,manual_review_required,manual_review_reasons,stage06_diverged,stage06_final_count,stage06_count_confidence,count_risk_band,manifest_run_id,generated_at_utc
39,stage07_xml_v1,data\extraction_json\text\39.json,a0cc7685238e73dc811149dcb22425af901dd6cb7df909e73610deddf9989537,a61d06a528a33aa69dd61b666c4bc57ce1b59d40c702a379f81375abc0d9ead0,43223,group,stage07_span_metadata,gpt-5.5,passed,passed,data\extraction_json\stage07_xml\papers\39.json,data\extraction_json\stage07_xml\annotated_text\39.annotated.txt,data\extraction_json\stage07_xml\segments\39.segments.json,data\extraction_json\stage07_xml\target_views\39,data\extraction_json\stage07_xml\validation\39.validation.json,13,0,1,23,0,0,0,23,0,1,0,false,true,ambiguous_table_row_mapping:s0005|ambiguous_table_row_mapping:s0009|ambiguous_route_recovery_label_count:2:13,false,13,high,moderate_count,stage07_xml_live_batch2_20260427,2026-04-26T22:03:57.216242+00:00
43,stage07_xml_v1,data\extraction_json\text\43.json,df8df01529f826d039e6f9dcd42d24128ac63e84dee33ced0b2fafb72903198d,3475070fd6a656227c1d31d794f930fe0e737b79ea40b7676231008c237e5456,62850,group,stage07_span_metadata,gpt-5.5,passed,passed,data\extraction_json\stage07_xml\papers\43.json,data\extraction_json\stage07_xml\annotated_text\43.annotated.txt,data\extraction_json\stage07_xml\segments\43.segments.json,data\extraction_json\stage07_xml\target_views\43,data\extraction_json\stage07_xml\validation\43.validation.json,33,0,1,10,0,0,6,4,0,1,0,false,true,ambiguous_table_row_mapping:s0002|ambiguous_table_row_mapping:s0003|ambiguous_table_row_mapping:s0006|ambiguous_table_row_mapping:s0009,false,33,high,high_count,stage07_xml_live_batch2_20260427,2026-04-26T22:04:25.831342+00:00
49,stage07_xml_v1,data\extraction_json\text\49.json,19c5e56339ca0766fed2ec48eab3c25d6b26385be7c043d8e2ee6d5f7aa7ea5c,bee2459f935da9d192555e82b416686e0805d0e5eaf3df6789ca2c3b51e4f8b2,13533,group,stage07_span_metadata,gpt-5.5,passed,passed,data\extraction_json\stage07_xml\papers\49.json,data\extraction_json\stage07_xml\annotated_text\49.annotated.txt,data\extraction_json\stage07_xml\segments\49.segments.json,data\extraction_json\stage07_xml\target_views\49,data\extraction_json\stage07_xml\validation\49.validation.json,18,0,1,2,0,0,0,2,0,1,1,true,false,,false,18,high,moderate_count,stage07_xml_live_batch2_20260427,2026-04-26T22:04:49.676627+00:00
58,stage07_xml_v1,data\extraction_json\text\58.json,e7dbb73645b960e664b02de9fac397bbed7a8be19ddaa310008f910734d0aef6,3ac9b9fc38af446152acdece87d0e6c6701cd251039f1dbdb5c9823e90af66f0,18905,individual_case_split,stage07_span_metadata,gpt-5.5,passed,passed,data\extraction_json\stage07_xml\papers\58.json,data\extraction_json\stage07_xml\annotated_text\58.annotated.txt,data\extraction_json\stage07_xml\segments\58.segments.json,data\extraction_json\stage07_xml\target_views\58,data\extraction_json\stage07_xml\validation\58.validation.json,3,3,0,4,3,1,0,0,0,3,3,true,false,,false,3,high,standard_count,stage07_xml_live_batch2_20260427,2026-04-26T22:05:37.913712+00:00
62,stage07_xml_v1,data\extraction_json\text\62.json,7a64b430e452571e4ee1b7361ca74a1053329445d38348bf2c553fe27adc9c98,ef00c4375aba11a01f42572a8c193dcd514d8419d3169b7dce1075d81e9e20d6,30859,individual,deterministic_clinical_window,none,passed,passed,data\extraction_json\stage07_xml\papers\62.json,data\extraction_json\stage07_xml\annotated_text\62.annotated.txt,data\extraction_json\stage07_xml\segments\62.segments.json,data\extraction_json\stage07_xml\target_views\62,data\extraction_json\stage07_xml\validation\62.validation.json,1,1,0,15,15,0,0,0,0,1,1,true,false,,true,1,high,standard_count,stage07_xml_live_batch2_20260427,2026-04-26T22:05:37.988917+00:00
65,stage07_xml_v1,data\extraction_json\text\65.json,9361e52aa5ae4212c46fc21b27aed32df97cf0660fd71e5b41ee5a9b24af9c54,b1e3a8cc76de0a5e1f1a9d6872ed71537ac60820684873e1c83e09bb1cc9ffee,40643,individual_case_split,stage07_span_metadata,gpt-5.5,failed,passed,data\extraction_json\stage07_xml\papers\65.json,data\extraction_json\stage07_xml\annotated_text\65.annotated.txt,data\extraction_json\stage07_xml\segments\65.segments.json,data\extraction_json\stage07_xml\target_views\65,data\extraction_json\stage07_xml\validation\65.validation.json,8,8,0,27,2,25,0,0,0,8,0,false,true,offset_text_mismatch:l0001:b0002:451:611|ambiguous_table_row_mapping:s0002|ambiguous_table_row_mapping:s0003|ambiguous_table_row_mapping:s0004|ambiguous_table_row_mapping:s0006|ambiguous_table_row_mapping:s0010|ambiguous_table_row_mapping:s0014,false,8,high,standard_count,stage07_xml_live_batch2_20260427,2026-04-26T22:06:38.909698+00:00
71,stage07_xml_v1,data\extraction_json\text\71.json,30883402ed3f3b307e36989b193362f32e89e9827388149e44f559f01c8c0944,a6b6c231f303bfd838a52ff2c7a9226a0159e5dda4e660b4224b32218471faec,27570,group,stage07_span_metadata,gpt-5.5,passed,passed,data\extraction_json\stage07_xml\papers\71.json,data\extraction_json\stage07_xml\annotated_text\71.annotated.txt,data\extraction_json\stage07_xml\segments\71.segments.json,data\extraction_json\stage07_xml\target_views\71,data\extraction_json\stage07_xml\validation\71.validation.json,3,0,1,81,0,0,0,81,0,1,0,false,true,ambiguous_table_row_mapping:s0024|ambiguous_table_row_mapping:s0025|ambiguous_table_row_mapping:s0056|ambiguous_table_row_mapping:s0077|ambiguous_route_recovery_label_count:1:3,false,3,high,standard_count,stage07_xml_live_batch2_20260427,2026-04-26T22:06:38.996473+00:00
80,stage07_xml_v1,data\extraction_json\text\80.json,4b02087cdd1b51ce29da599844dd01785e21357eea4f317996007bb02a8ec1c8,9112c3e25542e9283773221f5c8bd53718a7c7367af10e32288371c31134d856,38990,individual_case_split,stage07_span_metadata,gpt-5.5,passed,passed,data\extraction_json\stage07_xml\papers\80.json,data\extraction_json\stage07_xml\annotated_text\80.annotated.txt,data\extraction_json\stage07_xml\segments\80.segments.json,data\extraction_json\stage07_xml\target_views\80,data\extraction_json\stage07_xml\validation\80.validation.json,8,8,0,14,2,12,0,0,0,8,8,true,false,,false,8,high,standard_count,stage07_xml_live_batch2_20260427,2026-04-26T22:07:20.738850+00:00
89,stage07_xml_v1,data\extraction_json\text\89.json,00d160fc606d3d403deacfbcf08129a2a32e382272c07ea4a3bc833d569af406,cf66d84a872e87140b183295f4ef95c57e3e3985bfbd0c2e7675c9b3f106fa79,60695,group,stage07_span_metadata,gpt-5.5,failed,passed,data\extraction_json\stage07_xml\papers\89.json,data\extraction_json\stage07_xml\annotated_text\89.annotated.txt,data\extraction_json\stage07_xml\segments\89.segments.json,data\extraction_json\stage07_xml\target_views\89,data\extraction_json\stage07_xml\validation\89.validation.json,5,0,1,7,0,0,4,3,0,1,0,false,true,offset_text_mismatch:l0001:b0005:1586:2058|offset_text_mismatch:l0004:b0011:82:1473,false,5,high,standard_count,stage07_xml_live_batch2_20260427,2026-04-26T22:07:54.987205+00:00
92,stage07_xml_v1,data\extraction_json\text\92.json,57661c8b1b022672e09e68059d420b409e972a69ae609807c6911cabbba6fa32,c5c22059a8036c5cd21adda72aca29cba41e369b466f426cd331b49cc0502ee7,46776,individual_case_split,stage07_span_metadata,gpt-5.5,passed,passed,data\extraction_json\stage07_xml\papers\92.json,data\extraction_json\stage07_xml\annotated_text\92.annotated.txt,data\extraction_json\stage07_xml\segments\92.segments.json,data\extraction_json\stage07_xml\target_views\92,data\extraction_json\stage07_xml\validation\92.validation.json,1,1,0,3,3,0,0,0,0,1,1,true,false,,false,1,high,standard_count,stage07_xml_live_batch2_20260427,2026-04-26T22:08:13.427392+00:00
