paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,ready_text_json_path,ready_source_kind,ready_text_mode,ready_source_detail,ready_source_input_path,source_text_json_path,llm_candidate_json_path,llm_trimmed_json_path,gold_json_path,ready_start_line_global_index,ready_end_line_global_index_exclusive,llm_trim_status,llm_validation_passed,llm_validation_reason,ready_reason,published_at_utc
1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1001.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1001.json,data\extraction_json\text\1001.json,data\extraction_json\text_trimmed_llm_candidates\1001.json,data\extraction_json\text_trimmed_llm\1001.json,qa\trimming\gold_standard\papers\1001.json,39064,39099,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.839624+00:00
1011,1011,Two cases of stiff person syndrome treated with intrathecal baclofen pump in an inpatient rehabilitation unit: A case series,Shoval H.A.; Hamer O.; Chantasi K.; Nanda U.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1011.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1011.json,data\extraction_json\text\1011.json,data\extraction_json\text_trimmed_llm_candidates\1011.json,data\extraction_json\text_trimmed_llm\1011.json,qa\trimming\gold_standard\papers\1011.json,2,47,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.843705+00:00
1028,1028,Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,Probst C.; Blocker I.-M.; Mindorf S.; Unger M.; Fechner K.; Meinck H.-M.; Balint B.; Stocker W.; Schlumberger W.; Komorowski L.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1028.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1028.json,data\extraction_json\text\1028.json,data\extraction_json\text_trimmed_llm_candidates\1028.json,data\extraction_json\text_trimmed_llm\1028.json,qa\trimming\gold_standard\papers\1028.json,79,136,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.847909+00:00
1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1031.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1031.json,data\extraction_json\text\1031.json,,,qa\trimming\gold_standard\papers\1031.json,2574,2612,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.851054+00:00
1112,1112,Practical management of stiff person syndrome in a limited resource setting-report of experiences in a two year follow-up,Siddi Ganie N.; Nichol R.; Janse Van Rensberg E.; Smit L.; Kruger A.; Nel M.; Lecuona E.,conference_abstract,multi_case_conference_abstract,data\extraction_json\text_proceedings_ready\1112.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1112.json,data\extraction_json\text\1112.json,data\extraction_json\text_trimmed_llm_candidates\1112.json,data\extraction_json\text_trimmed_llm\1112.json,qa\trimming\gold_standard\papers\1112.json,3221,3263,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.855102+00:00
1116,1116,Paediatric neurological syndromes associated with glycine receptor antibodies,Gadian J.; Hacohen Y.; Kariyawasam S.; Woodhall M.; Brilot F.; Pillai S.; Suleiman J.; Lascelles K.; Pike M.; Munot P.; Vincent A.; Dale R.C.; Lim M.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1116.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1116.json,data\extraction_json\text\1116.json,data\extraction_json\text_trimmed_llm_candidates\1116.json,data\extraction_json\text_trimmed_llm\1116.json,qa\trimming\gold_standard\papers\1116.json,83,125,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.859082+00:00
1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1117.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1117.json,data\extraction_json\text\1117.json,,,qa\trimming\gold_standard\papers\1117.json,60,106,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.862441+00:00
1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1118.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1118.json,data\extraction_json\text\1118.json,,,qa\trimming\gold_standard\papers\1118.json,91,123,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.865989+00:00
1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,conference_abstract,group_conference_abstract,data\extraction_json\text_proceedings_ready\1119.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1119.json,data\extraction_json\text\1119.json,data\extraction_json\text_trimmed_llm_candidates\1119.json,data\extraction_json\text_trimmed_llm\1119.json,qa\trimming\gold_standard\papers\1119.json,29639,29685,trimmed_auto_llm_candidate_exact,true,ok,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.869935+00:00
1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,conference_abstract,single_case_conference_abstract,data\extraction_json\text_proceedings_ready\1120.json,gold_manual,trimmed_abstract,active_gold_manifest,qa\trimming\gold_standard\papers\1120.json,data\extraction_json\text\1120.json,,,qa\trimming\gold_standard\papers\1120.json,32673,32708,,,,Published active manually checked gold-standard proceedings trim.,2026-04-13T03:13:16.874280+00:00
