paper_id,covidence_id,title,authors,source_filename,source_text_json_path,candidate_source_json_path,trimmed_text_json_path,trim_workflow_version,trim_workflow_stage,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,end_selection_mode,candidate_count,baseline_candidate_id,overshoot_candidate_id,candidate_ids,llm_used,llm_model,llm_api_mode,llm_prompt_version,llm_decision_type,llm_selected_candidate_id,llm_last_abstract_line_global_index,llm_confidence,llm_end_reason,llm_explanation_short,llm_validation_passed,llm_validation_reason,heuristic_fallback_used,trimmed_at_utc
1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,1001_Kahraman T. et al. - 2014 - Inpatient physiotherapy management for Stiff Perso.pdf,data\extraction_json\text\1001.json,data\extraction_json\text_trimmed_llm_candidates\1001.json,data\extraction_json\text_trimmed_llm\1001.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,PP2210,PP2210 Inpatient physiotherapy management for Stiff Person syndrome,0.9807,0.6667,0.9022,,llm_candidate_exact::tail_metadata_trim_end,350,350,39064,39099,llm_candidate_exact,2,cand_01_tail_metadata_trim_end,cand_02_last_non_metadata_end,cand_01_tail_metadata_trim_end|cand_02_last_non_metadata_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_tail_metadata_trim_end,39098,high,metadata_starts,Line 36 begins 'Disclosure: Nothing to disclose.' which is metadata; thus the abstract ends at line 35 and cand_01 matches exactly.,true,ok,false,2026-04-12T09:15:12.972545+00:00
1011,1011,Two cases of stiff person syndrome treated with intrathecal baclofen pump in an inpatient rehabilitation unit: A case series,Shoval H.A.; Hamer O.; Chantasi K.; Nanda U.,1011_Shoval-2014-Two cases of stiff person syndrome.pdf,data\extraction_json\text\1011.json,data\extraction_json\text_trimmed_llm_candidates\1011.json,data\extraction_json\text_trimmed_llm\1011.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,page_local_sliding_window_match,page_local_sliding_window_match,Poster 313,Two Cases of Stiff Person Syndrome Treated with Intrathecal Baclofen Pump in an Inpatient,0.9114,1.0000,0.8703,backtrack_abstract_boundary,llm_candidate_exact::tail_metadata_trim_end,0,0,2,47,llm_candidate_exact,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_tail_metadata_trim_end,46,high,candidate_is_exact,"The provided candidate ends at line 45, which is the final line of the abstract (concluding sentence). No subsequent metadata or next header is present in the given lines.",true,ok,false,2026-04-12T09:15:18.526390+00:00
1028,1028,Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,Probst C.; Blocker I.-M.; Mindorf S.; Unger M.; Fechner K.; Meinck H.-M.; Balint B.; Stocker W.; Schlumberger W.; Komorowski L.,1028_Probst C. et al. - 2014 - Autoantibodies against glycine-associated synaptic.pdf,data\extraction_json\text\1028.json,data\extraction_json\text_trimmed_llm_candidates\1028.json,data\extraction_json\text_trimmed_llm\1028.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,96,96 Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,0.9939,0.7500,0.9329,,llm_candidate_exact::tail_metadata_trim_end,0,1,79,125,llm_candidate_exact,2,cand_02_last_non_metadata_end,cand_02_last_non_metadata_end,cand_01_tail_metadata_trim_end|cand_02_last_non_metadata_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_tail_metadata_trim_end,124,high,metadata_starts,"Line 47 is the References header, so the abstract ends at line 46; cand_01 matches this exact boundary.",true,ok,false,2026-04-12T09:15:23.184807+00:00
1112,1112,Practical management of stiff person syndrome in a limited resource setting-report of experiences in a two year follow-up,Siddi Ganie N.; Nichol R.; Janse Van Rensberg E.; Smit L.; Kruger A.; Nel M.; Lecuona E.,1112_Siddi Ganie-2015-Practical management of stiff.pdf,data\extraction_json\text\1112.json,data\extraction_json\text_trimmed_llm_candidates\1112.json,data\extraction_json\text_trimmed_llm\1112.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,F1087,F1087 Practical management of stiff person syndrome in a limited resource setting – report of experiences in a two year follow-up,0.9915,1.0000,0.9936,,llm_candidate_exact::current_selected_end,41,41,3221,3263,llm_candidate_exact,2,cand_01_current_selected_end,cand_02_tail_metadata_trim_end,cand_01_current_selected_end|cand_02_tail_metadata_trim_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_current_selected_end,3262,high,disclosure_starts,"Line 43 begins with 'Disclosure: Nothing to disclose', marking metadata; the abstract text ends at line 42, so cand_01 exactly matches the abstract end.",true,ok,false,2026-04-12T09:15:29.975301+00:00
1116,1116,Paediatric neurological syndromes associated with glycine receptor antibodies,Gadian J.; Hacohen Y.; Kariyawasam S.; Woodhall M.; Brilot F.; Pillai S.; Suleiman J.; Lascelles K.; Pike M.; Munot P.; Vincent A.; Dale R.C.; Lim M.,1116_Gadian - PIIS109037981530088X.pdf,data\extraction_json\text\1116.json,data\extraction_json\text_trimmed_llm_candidates\1116.json,data\extraction_json\text_trimmed_llm\1116.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,OP87 - 3001,3001 Paediatric neurological syndromes associated with glycine receptor antibodies,0.9890,1.0000,0.9917,,llm_candidate_exact::tail_metadata_trim_end,0,0,83,125,llm_candidate_exact,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_tail_metadata_trim_end,124,high,candidate_is_exact,"Candidate ends exactly at the final abstract line (line 42: 'determined, to help guide therapies.'), matching the abstract boundary.",true,ok,false,2026-04-12T09:15:34.515000+00:00
1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,1119_Balint B. et al. - 2015 - Antibody spectrum in stiff person syndrome and rel.pdf,data\extraction_json\text\1119.json,data\extraction_json\text_trimmed_llm_candidates\1119.json,data\extraction_json\text_trimmed_llm\1119.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,670,670 Antibody spectrum in stiff person syndrome and related disorders,0.9894,0.8571,0.9563,,llm_candidate_exact::tail_metadata_trim_end,262,262,29639,29685,llm_candidate_exact,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_tail_metadata_trim_end,29684,high,candidate_is_exact,Candidate ends exactly at a complete concluding sentence (line 46) with no following metadata or header in the provided span.,true,ok,false,2026-04-12T09:15:41.418889+00:00
1138,1138,Stiff person syndrome: Review of 14 patients,Cavalcante V.; Souza Bulle Oliveira A.,1138_Cavalcante V. and Souza Bulle Oliveira A. - 2015 - Stiff person syndrome Review of 14 patients.pdf,data\extraction_json\text\1138.json,data\extraction_json\text_trimmed_llm_candidates\1138.json,data\extraction_json\text_trimmed_llm\1138.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,Stiff person syndrome: review of 14 patients,1.0000,1.0000,1.0000,,llm_candidate_exact::tail_metadata_trim_end,0,0,58,91,llm_candidate_exact,2,cand_02_last_non_metadata_end,cand_02_last_non_metadata_end,cand_01_tail_metadata_trim_end|cand_02_last_non_metadata_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_tail_metadata_trim_end,90,high,candidate_is_exact,"Line 33 is the final abstract sentence; line 34 is DOI metadata, so cand_01 ends exactly at the last abstract line.",true,ok,false,2026-04-12T09:15:44.629153+00:00
1227,1227,Role of plasma exchange in stiff person syndrome,Albahra S.; Yates S.; Matevosyan K.; Sarode R.,1227_Albahra S. et al. - 2016 - Role of plasma exchange in stiff person syndrome.pdf,data\extraction_json\text\1227.json,data\extraction_json\text_trimmed_llm_candidates\1227.json,data\extraction_json\text_trimmed_llm\1227.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,page_local_sliding_window_match,page_local_sliding_window_match,77,ROLE OF PLASMA EXCHANGE IN STIFF PERSON SYNDROME,1.0000,1.0000,0.8843,backtrack_abstract_boundary,llm_candidate_exact::current_selected_end,44,44,4995,5057,llm_candidate_exact,2,cand_01_current_selected_end,cand_02_tail_metadata_trim_end,cand_01_current_selected_end|cand_02_tail_metadata_trim_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_current_selected_end,5056,high,candidate_is_exact,"Line 62 ends with the abstract conclusion; line 63 begins the next paper (header '79'), so cand_01 matches the exact abstract boundary.",true,ok,false,2026-04-12T09:15:48.478413+00:00
1229,1229,Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of hodgkin's lymphoma: A case report,Borellini L.; Lanfranconi S.; Trezzi I.; Franco G.; Di Fonzo A.; Bonato S.; Bresolin N.,1229_Borellini L. et al. - 2016 - Progressive encephalomyelitis with rigidity and my.pdf,data\extraction_json\text\1229.json,data\extraction_json\text_trimmed_llm_candidates\1229.json,data\extraction_json\text_trimmed_llm\1229.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P11168,P11168 Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of Hodgkin’s lymphoma: a,0.8565,1.0000,0.8924,,llm_candidate_exact::last_non_metadata_end,79,79,6468,6512,llm_candidate_exact,2,cand_01_last_non_metadata_end,cand_02_tail_metadata_trim_end,cand_01_last_non_metadata_end|cand_02_tail_metadata_trim_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_last_non_metadata_end,6511,high,candidate_is_exact,"Line 44 is the final sentence of the abstract; line 45 begins the disclosure/metadata, so cand_01 matches the exact abstract end.",true,ok,false,2026-04-12T09:15:52.223432+00:00
1230,1230,Stiff Person Syndrome: A female case report with focal onset and multiple limb involvement,Vaz S.; Barros A.; Calado A.; Sequeira J.; Melancia D.; Fernandes A.,1230_Vaz S. et al. - 2016 - Stiff Person Syndrome A female case report with f.pdf,data\extraction_json\text\1230.json,data\extraction_json\text_trimmed_llm_candidates\1230.json,data\extraction_json\text_trimmed_llm\1230.json,proceedings_llm_v1,llm_validated,trimmed_auto_llm_candidate_exact,LLM selected an existing end candidate as the exact abstract boundary.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P32164,P32164 Stiff Person Syndrome: a female case report with focal onset and multiple limb involvement,0.9868,1.0000,0.9901,,llm_candidate_exact::tail_metadata_trim_end,228,228,18442,18485,llm_candidate_exact,2,cand_01_tail_metadata_trim_end,cand_02_last_non_metadata_end,cand_01_tail_metadata_trim_end|cand_02_last_non_metadata_end,true,gpt-5-mini,responses_json_schema,proceedings_llm_trim_prompt_v1,candidate_exact,cand_01_tail_metadata_trim_end,18484,high,metadata_starts,"Line 44 is a disclosure (metadata), so the abstract ends at line 43; cand_01 matches this exactly.",true,ok,false,2026-04-12T09:15:57.004451+00:00
