paper_id,covidence_id,title,authors,source_filename,source_text_json_path,trimmed_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,index_detected,index_confidence,index_listed_page,index_prev_code,index_next_code,page_map_method,estimated_offset,offset_confidence,fallback_triggered,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,body_signal_count,spillover_flag,header_only_flag,candidate_rank,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,trimmed_at_utc
969,969,Novel clinical features of glycine receptor antibody syndrome: A series of 17 cases.,"Piquet, Amanda L; Khan, Murtaza; Warner, Judith E A; Wicklund, Matthew P; Bennett, Jeffrey L; Leehey, Maureen A; Seeberger, Lauren; Schreiner, Teri L; Paz Soldan, M Mateo; Clardy, Stacey L",969_Piquet et al. - 2019 - Novel clinical features of glycine receptor antibo.pdf,data\extraction_json\text\969.json,data\extraction_json\text_trimmed\969.json,7,40,214,185,0,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,,Novel clinical features of glycine receptor,0.8583,1.0000,0.8422,backtrack_soft_header,next_soft_header,2,false,false,1,0,0,0,15,2026-04-06T13:52:29.734705+00:00
980,980,An unusual cause of older adult falls: Stiff Leg Syndrome,Michaud M.; Gaudin C.; Brechemier D.; Cintas P.; Gauchet C.; Moulis G.; Vellas B.; Balardy L.,980_Michaud M. et al. - 2013 - An unusual cause of older adult falls Stiff Leg S.pdf,data\extraction_json\text\980.json,data\extraction_json\text_trimmed\980.json,2,11,49,53,0,5,true,false,,,,,,,,true,header_only_source,Matched entry appears to contain header-only listing without abstract body.,page_local_sliding_window_match,page_local_sliding_window_match,,An unusual cause of older adult falls: Stiff Leg Syndrome,1.0000,1.0000,0.8099,backtrack_title_cluster,next_abstract_boundary,0,false,true,1,0,0,1,6,2026-04-06T13:52:32.170074+00:00
1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,1001_Kahraman T. et al. - 2014 - Inpatient physiotherapy management for Stiff Perso.pdf,data\extraction_json\text\1001.json,data\extraction_json\text_trimmed\1001.json,524,222,1356,1176,2,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,PP2210,Inpatient physiotherapy management for Stiff Person,0.9391,0.6667,0.7801,backtrack_abstract_boundary,next_soft_header,1,false,false,1,350,350,39064,39074,2026-04-06T13:06:59.826836+00:00
1011,1011,Two cases of stiff person syndrome treated with intrathecal baclofen pump in an inpatient rehabilitation unit: A case series,Shoval H.A.; Hamer O.; Chantasi K.; Nanda U.,1011_Shoval-2014-Two cases of stiff person syndrome.pdf,data\extraction_json\text\1011.json,data\extraction_json\text_trimmed\1011.json,1,6,46,54,1,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,,Two Cases of Stiff Person Syndrome Treated with,0.8110,1.0000,0.8076,backtrack_soft_header,next_soft_header,3,false,false,1,0,0,0,34,2026-04-06T13:07:04.046775+00:00
1028,1028,Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,Probst C.; Blocker I.-M.; Mindorf S.; Unger M.; Fechner K.; Meinck H.-M.; Balint B.; Stocker W.; Schlumberger W.; Komorowski L.,1028_Probst C. et al. - 2014 - Autoantibodies against glycine-associated synaptic.pdf,data\extraction_json\text\1028.json,data\extraction_json\text_trimmed\1028.json,2,13,106,85,0,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,96,96 Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,0.9939,0.7500,0.9329,,,1,false,false,1,0,0,79,89,2026-04-06T13:07:11.404229+00:00
1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,1031_Barboi A. - 2014 - Autonomic dysfunction in stiff person syndrome (SP.pdf,data\extraction_json\text\1031.json,,45,135,1378,1205,0,6,true,false,,,,,,,,true,manual_review_required,Matched entry appears truncated or lacks sufficient abstract body content.,,fuzzy_title_author_block_match,123,123 Poster 20 Autonomic dysfunction in stiff person syndrome (SPS): observations in 8 cases A. Barboi,0.9529,1.0000,0.9647,,,1,false,false,1,25,26,2573,2581,
1112,1112,Practical management of stiff person syndrome in a limited resource setting-report of experiences in a two year follow-up,Siddi Ganie N.; Nichol R.; Janse Van Rensberg E.; Smit L.; Kruger A.; Nel M.; Lecuona E.,1112_Siddi Ganie-2015-Practical management of stiff.pdf,data\extraction_json\text\1112.json,data\extraction_json\text_trimmed\1112.json,345,151,1064,790,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,F1087,F1087 Practical management of stiff person syndrome in a limited resource setting – report of experiences in a two year follow-up,0.9915,1.0000,0.9936,,,3,false,false,1,41,41,3221,3252,2026-04-06T13:08:09.756515+00:00
1116,1116,Paediatric neurological syndromes associated with glycine receptor antibodies,Gadian J.; Hacohen Y.; Kariyawasam S.; Woodhall M.; Brilot F.; Pillai S.; Suleiman J.; Lascelles K.; Pike M.; Munot P.; Vincent A.; Dale R.C.; Lim M.,1116_Gadian - PIIS109037981530088X.pdf,data\extraction_json\text\1116.json,data\extraction_json\text_trimmed\1116.json,1,6,75,32,0,3,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,OP87,3001 Paediatric neurological syndromes associated with glycine receptor antibodies,0.9890,1.0000,0.9917,,,1,false,false,1,0,0,83,125,2026-04-06T13:08:15.058030+00:00
1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,1117_Patel - Glycine receptor antibody mediated progressive.pdf,data\extraction_json\text\1117.json,,1,7,56,50,1,6,true,true,0.1131,,,,,,,true,manual_review_required,Matched entry appears truncated or lacks sufficient abstract body content.,,page_local_sliding_window_match,,presenting as an abnormal startle response in an adolescent girl,0.9026,1.0000,0.8106,backtrack_title_cluster,next_soft_header,1,false,false,1,0,0,61,71,
1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,1118_Patel Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies.pdf,data\extraction_json\text\1118.json,,2,20,114,78,1,7,true,true,0.0300,,,,,,,true,manual_review_required,Matched entry appears truncated or lacks sufficient abstract body content.,,fuzzy_title_author_block_match,PP14,3 - 2698 Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,0.9887,1.0000,0.9915,,,1,false,false,1,0,0,91,99,
