paper_id,covidence_id,title,authors,source_filename,source_text_json_path,trimmed_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,index_detected,index_confidence,index_listed_page,index_prev_code,index_next_code,page_map_method,estimated_offset,offset_confidence,fallback_triggered,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,body_signal_count,spillover_flag,header_only_flag,candidate_rank,start_page_index,end_page_index,trimmed_at_utc
1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,1001_Kahraman T. et al. - 2014 - Inpatient physiotherapy management for Stiff Perso.pdf,data\extraction_json\text\1001.json,data\extraction_json\text_trimmed_trial_index_patch\1001.json,524,102,1489,1176,2,7,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,PP2210,Inpatient physiotherapy management for Stiff Person,0.9391,0.6667,0.7801,backtrack_abstract_boundary,next_abstract_boundary,4,false,false,1,350,350,2026-03-05T18:21:56.608989+00:00
1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,1120_Zhang G. et al. - 2015 - Anti-GAD65 negative stiff-person syndrome with a f.pdf,data\extraction_json\text\1120.json,data\extraction_json\text_trimmed_trial_index_patch\1120.json,567,79,1743,997,0,5,true,true,0.0673,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,740,740 Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,0.9952,1.0000,0.9964,,,5,false,false,1,292,292,2026-03-05T18:22:22.063100+00:00
1229,1229,Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of hodgkin's lymphoma: A case report,Borellini L.; Lanfranconi S.; Trezzi I.; Franco G.; Di Fonzo A.; Bonato S.; Bresolin N.,1229_Borellini L. et al. - 2016 - Progressive encephalomyelitis with rigidity and my.pdf,data\extraction_json\text\1229.json,data\extraction_json\text_trimmed_trial_index_patch\1229.json,234,69,1228,822,1,7,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,P11168,with glycine receptor antibodies as first,0.8478,1.0000,0.8238,backtrack_abstract_boundary,next_abstract_boundary,5,false,false,1,79,80,2026-03-05T18:22:39.590203+00:00
1231,1231,Therapeutic challenges of stiff person syndrome: A case report,Varga E.T.; Gyorgyi Md T.; Vecsei L.,1231_Varga E.T. et al. - 2016 - Therapeutic challenges of stiff person syndrome A.pdf,data\extraction_json\text\1231.json,data\extraction_json\text_trimmed_trial_index_patch\1231.json,279,70,1257,865,1,7,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P32209,"P32209 Therapeutic challenges of stiff person syndrome: a case report E.T. Varga1, T. Györgyi Md2, L. Vécsei1",0.9104,1.0000,0.9328,,,5,false,false,1,253,253,2026-03-05T18:22:50.298798+00:00
12807,12807,Stiff Person Syndrome in a Patient with Atypical Carcinoid Tumor of the Lung Secondary to Antiamphiphysin Antibodies: A Case Report and Literature Review,"Abusamra, K; Thandampallayam, M; Sudhakar, P; Lukins, D",12807_Annals of Neurology - 2022 - - 147th Annual Meeting American Neurological Association.pdf,data\extraction_json\text\12807.json,data\extraction_json\text_trimmed_trial_index_patch\12807.json,243,370,27,2638,3,7,true,false,,,,,,,,true,header_only_source,Matched entry appears to contain header-only listing without abstract body.,page_local_sliding_window_match,page_local_sliding_window_match,M207,Stiff Person Syndrome in a Patient with Atypical,0.9180,1.0000,0.8570,backtrack_abstract_boundary,next_abstract_boundary,0,false,true,1,28,28,2026-03-05T18:23:02.642705+00:00
1439,1439,Unrecognized respiratory manifestations of stiff person syndrome (SPS),Rakocevic G.; Woodford M.; Pack K.; Allen A.; Sexaur W.,1439_Rakocevic G. et al. - 2017 - Unrecognized respiratory manifestations of stiff p.pdf,data\extraction_json\text\1439.json,data\extraction_json\text_trimmed_trial_index_patch\1439.json,233,487,418,2383,2,7,true,true,0.1303,,,,,,,true,header_only_source,Matched entry appears to contain header-only listing without abstract body.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,M300,Unrecognized Respiratory Manifestations of Stiff,0.9072,1.0000,0.9304,,,0,false,true,1,22,22,2026-03-05T18:23:21.922606+00:00
1605,1605,A stiff woman,Srinithya F.; Gadde S.,1605_s11606-019-05007-5.pdf,data\extraction_json\text\1605.json,,769,8,1821,1344,2,7,true,false,,,,,,,,true,manual_review_required,Matched entry appears truncated or lacks sufficient abstract body content.,,page_local_sliding_window_match,,A STIFF WOMAN,1.0000,1.0000,0.7893,backtrack_title_cluster,window_extent_cap,1,false,false,1,360,360,
1793,1793,Stiff-person syndrome: The analyses of 15 cases and their prognosises,Wei X.; Cai J.; Zhang C.; Lin H.,1793_Basic Clin Pharma Tox - 2019 - - Expression of Concern Abstracts.pdf,data\extraction_json\text\1793.json,data\extraction_json\text_trimmed_trial_index_patch\1793.json,154,72,1461,1106,1,7,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,144,Stiff- person syndrome: The analyses of 15 cases and their prognosises,1.0000,1.0000,1.0000,,,3,false,false,1,85,86,2026-03-05T18:23:45.144609+00:00
5552,5552,"Stiff-person syndrome associated with invasive thymoma, pemphigus and myasthenia gravis: a case report","Gao, X.; Zheng, X.; Li, H.",5552_Euro J of Neurology - 2012 - - Poster Session 1 Sunday 9 September (1).pdf,data\extraction_json\text\5552.json,data\extraction_json\text_trimmed_trial_index_patch\5552.json,368,73,1381,942,0,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P1790,"P1790 Stiff-person syndrome associated with invasive thymoma, pemphigus and myasthenia gravis: a case report X. Gao, X. Zheng, H. Li",0.9611,1.0000,0.9708,,,2,false,false,1,295,296,2026-03-05T18:23:58.067889+00:00
6141,6141,Patient with stiff-person syndrome and negative anti-GAD antibodies,"Petelin, Z.; Brinar, V.; Honnorat, J.; Budisic, Z.; Podolski, P.",6141_s00415-007-3001-6.pdf,data\extraction_json\text\6141.json,data\extraction_json\text_trimmed_trial_index_patch\6141.json,212,120,1906,1544,3,7,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,P548,Patient with stiff-person syndrome and negative anti-GAD antibodies,1.0000,0.0000,0.6201,backtrack_abstract_boundary,next_abstract_boundary,0,false,false,1,137,137,2026-03-05T18:24:15.772968+00:00
