,,STUDY DETAILS,,,Study Characteristics,,,,,Population Characteristics,,,,,,,,,,Disease Characteristics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investigations and Tests,,,,,,,,,,,,,,,,,,,,,,,,,Sampling and Analysis,,,Additional Relevant Information ,,Notes ,,,
Study ID,Initials of extractor,First author's last name ,Publication year,Country/Countries where study was conducted,"Study Design (for case reports or small series, use the case report form)",Aims of the Study,Number of participants,"Age - measure of central tendency. Select one of the following:
- mean
- median
 NA = not available, NR, not reported
",Age - value of central tendency (numeric),"Age - measure of variability (listed in order of preference)

SD = standard deviation (1st preference)
SE = standard error (2nd)
95CI = 95% confidence interval (3rd)
IQR = interquartile range
range = range (5th)
NA = not available, not reported (6th)",Age - value(s) of variability,"Ethnicity (select one)
- white = White/Caucasian
- africa = African/ Afro-Caribbean
- E_asia = East Asia (Japan, Korea, China)
- S_asia = South Asia (India, Pakistan, Bangladesh, Sri Lanka)
- SE_asia = South East Asian (everything East of India and South of China which will cover Thailand, Malaysia, Singapore)
- latin = Latin American (non-African origin; central and S America, without Caribbean)
- other = other (specify in next column)","Ethnicity (specify)
If you selected ""other"", specify with text. Otherwise leave blank.","Percent Males
Male patients/Total patients. List the value to two decimal places (e.g. ""45.55"")","Diagnosis of participants included (select)
- Stiff_Person
- Stiff_Limb
- PERM
- new_category = new category if identified, specify
- mixed = mixed population
- other = other, specify in next column
- NA = not available, NR, not reported","Diagnosis (specify)
If you selected new_category or other, specify with text","Criteria used to make the diagnosis
Provide below the details of the criteria used to make the diagnosis - copy and paste from text if needed (no special characters)","Disease Severity
If the study recruited patients with a specified severity - Copy and paste from manuscript the explanation of severity and how this was defined. ","First manifestation
If study reports first symptoms of a group of participants, copy and paste below from the manuscript. If details for individual cases provided, use case report form. ","SPSD symptoms in early disease (select)
- stiffness
- spasms
- startle = excessive startle
- multiple = multiple, specify in next col
- other = other, specify in next col","Additional data for previous column - if multiple symptoms reported
List symptoms as text, separated with semicolons. Otherwise, leave blank.","Additional data for previous column - if other symptoms reported
List symptoms as text, separated with semicolons. Otherwise, leave blank.","Stiffness distribution at onset (select)
- lumb_prox_LE = lumbar/proximal legs
- distal_LE = distal leg(s)
- UE = arm(s) / upper extremity
- axial = axial(thoracic,neck)
- multiple = multiple, but not generalised (specify in next col)
- generalised = generalised
- other = other, specify in next col","Stiffness at onset (multiple)
If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.","Stiffness at onset (other)
If ""other"" was selected, specify with text. Otherwise, leave blank.","Excessive startle (select)
- touch = to touch
- noise = to noise
- visual = to visual stimuli","SPSD symptoms in established disease (select single option from list)
- stiffness
- spasms
- startle = excessive startle
- anxiety
- oculomotor = oculomotor disturbance
- cerebellar
- visual = visual symptoms (e.g. photosensitivity)
- cognitive
- gastrointestinal = other than abdominal wall muscle cramps)
- multiple = multiple, specify in next col
- other = other, specify in overnext col","SPSD symptoms in established disease (multiple)
If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.","SPSD symptoms in established disease (other)
If ""other"" was selected, list as text. Otherwise, leave blank.","Stiffness distribution in established disease (select)
- lumb_prox_LE = lumbar/proximal legs
- distal_LE = distal leg(s)
- UE = arm(s) / upper extremity
- axial = axial(thoracic,neck)
- trismus
- multiple = multiple, but not generalised
- generalised = generalised
- other = other, specify in next col","SPSD distribution in established disease (multiple)
If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.","SPSD distribution in established disease (other)
If ""other"" was selected, list as text, separated by semicolons. Otherwise, leave blank.","Disability when disease fully established
(SPSD symptoms established; mRS)
0 - No symptoms.
1 - No significant disability.
2 - Slight disability. 
3 - Moderate disability. 
4 - Moderately severe disability. 
5 - Severe disability.  incontinent.
6 - Dead","Spasms distribution
- lumb_prox_LE = lumbar/proximal legs
- distal_LE = distal leg(s)
- UE = arm(s) / upper extremity
- axial = axial(thoracic,neck)
- multiple = multiple, but not generalised
- generalised = generalised
- other = other, specify in next col","Spasms distribution (multiple)
If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.","Spasms distribution (other)
If ""other"" was selected, list as text. Otherwise, leave blank.",Duration of follow up (months),"Course / symptoms potentially influenced by treatment ? (select)
- none = no treatment
- BZD = benzodiazepine or similar
- immunotherapy
- both = both symptomatic and immunotherapy
- NA = not available, not reported","Antibody status (select)
- GAD
- GlyR
- amphiphysin
- DPPX
- seronegative
- multiple = multiple, specify in next col
- other = other, specify in next col
- not_tested = no test performed
- NA = not available, not reported, unclear if tested","Antibody status (multiple)
If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.","Antibody status (other)
If ""other"" was selected, list as text. Otherwise, leave blank.",Antibody titre,Antibody units,Antibody test system,"Antibodies tested 
list all antibodies that were tested, separated by semicolons","Antibody notes
If not covered by columns to the left, give as text note. Otherwise, leave blank.","CSF (select)
 - normal
- inflammatory
- isolated protein elevation
- not_done = no CSF analysis performed
- antibody_present = antibody present in CSF (specify Ab and titre in next cols)
- NA = not available / NR",CSF antibody (specify),CSF antibody titre (numeric),"continuous motor unit activity (CMUA)
0 = not detected
1 = present
NA = no EMG, NR, unknown","enhanced exteroceptive reflexes
0 = not detected
1 = present
NA = not done, NR, unknown","brainstem reflexes
0 = not detected
1 = present
NA = not done, NR, unknown","MRI
0 = normal
1 = abnormal (specify in next col)
NA = no MRI performed, not reported, unclear",MRI abnormalities (text),"Tumour screening
0 = normal / no tumour detected
1 = abnormal (specify in next col)
NA = not performed, NR","Tumour screening abnormal
specify tumour entity with text","Family history (select)
- none = no fhx for SPSD or autoimmunity
- autoimmune = fhx for autoimmunity (specify in next col)
- SPSD = fhx for SPSD (specify in next col)
- NA = unknown, not reported","Family history (text)
if autoimmune diseases and/or SPSD are present, specify with text","Concomitant autoimmunity (select)
- none
- thyroid = thyroid disease/thyroid antibodies
- diabetes
- vitiligo
- gastric = pernicious anaemia/parietal cell antibodies
- other= other, specify in next col","Concomitant autoimmunity (specify with text)
","Immunotherapy (specify)
- none = not done
- steroids
- IVIG
- PLEX
- RXB = Rituximab
- CP = Cyclophopsphamide
- Aza = Azathioprine
- multiple = specify in next col
- other = specify in next col
- NA = unknown, NR","If more than one type of treatment, report here from previous column","If other treatment, report here from previous column","Immunotherapy in detail (text)
report the immunotherapy protocol in detail","Effect of immunotherapy (select)
- none
- worsening
- improvement
- stabilisation
- NA = not known","Symptomatic treatment (select)
- none
- clonazepam
- benzo = other benzodiazepines
- baclofen
- gabapentin
- pregabalin
- tizanidine
- valproate
- other (specify)","If more than one type of symptomatic treatment, report here from previous column, separate with semicolons","If other symptomatic treatment, report here from previous column","Symptomatic treatment in detail (text)
please describe way of administration and dose","Effect of symptomatic treatment (select)
- none
- improvement
- NA = not known, NR","Other treatment (text)
 (e.g. tumour therapy)","If treatment description does not fit the previous columns, specify the treatment as text and use the next columns to provide details.",Different treatment: duration (days),Different treatment: response (text),"Results of treatment, if more than one type of response and differential responses to types of treatments","Adverse events (text)
Copy paste the definition(s) of adverse events if one is provided by the authors.","Sampling (text)
Copy from methods how recruitment was performed, such as single site or multicentric, consecutive patients, clinic, community, and other details. ","Sample size calculation, study power (text)
Does the study provide a sample size calculation, power,   and other additional information about sampling and analysis? Copy and pasted if available. ","Analysis (text)
Statistical tests used to find the results - Copy and pasted if available. ",Use this column to add any finding or comments that can be relevant,Use this column to make comments related to study limitations,Use this column to make comments related to study weaknesses,Use this column to make comments related to study strenghts. ,"Initial diagnosis (text)
state which diagnosis was suspected at symptom onset (SPSD or specific other diagnosis)","Differential diagnosis (text)
Which DDx were considered?"
ID,extractor,first_author,pub_year,country,study_design,aims,participant_number,"age_central_measure
",age_central,age_variability_measure,age_variability,ethnicity,ethnicity_specify,percent_males,included_diagnosis,included_diagnosis_specify,diagnostic_criteria,disease_severity,first_manifestation,spsd_symptom,spsd_symptom_multiple,spsd_symptom_other,stiffness_onset_distribution,stiffness_onset_distribution_multiple,stiffness_onset_distribution_other,startle_stimulus,symptoms_established,symptoms_established_multiple,symptoms_established_other,stiffness_established_distribution,stiffness_established_distribution_multiple,stiffness_established_distribution_other,established_mRS,spasms_distribution,spasms_distribution_multiple,spasms_distribution_other,duration_FU,treatment,antibody_status,antibody_status_multiple,antibody_status_other,antibody_titre,antibody_units,antibody_testsystem,antibody_tests,antibody_notes,CSF_status,CSF_antibody,CSF_antibody_titre,CMUA,exteroceptive_refl,brainstem_refl,MRI_normal,MRI_abnormalities,tu_screening,tu_screening_abnormal,family_history,family_history_abnormal,autoimmunity,autoimmunity_specify,immunotherapy,immunotherapy_multiple,immunotherapy_other,immunotherapy_detail,immunotherapy_effect,sympt_treatment,sympt_treatment_multiple,sympt_treatment_other,sympt_treatment_detail,sympt_treatment_effect,other_treatment,different_treatment,different_treatment_duration,different_treatment_response,different_treatment_extra,adverse_events,sampling,sample_size_calc,stat_methods,additional_relevant,limitations,weaknesses,strengths,initial_diagnosis,differential_diagnosis
3139,MC,Budhram,2021,USA,retrospective cohort study,"to determine clinical manifestations, immunotherapy responsiveness and outcomes of glutamic acid decarboxylase-65 (GAD65) neurological autoimmunity",107,median,46,range,range 5-76,white,white/Caucasian 76%,25,mixed,"The most common core manifestation was SPSD, which was 
reported in 107/212 (50%). The majority (73/107, 68%) had 
classical SPSD. Partial SPSD was documented in 30/107 (28%), 
and a small minority were classified as SPSD with prominent 
exaggerated startle response (4/107, 4%).",,,,multiple,,,,,,,multiple,spasms;gait dysfunction;hyperlordosis,,,,,,,,,,both,GAD,,,537,nmol/L,RIA,,range was 25.6-7668,antibody_present,GAD,tested: 93/212 with anti-GAD in serum; median CSF titre in SPS = 6.5 nM (range: 0.2-163,1,1,NA,NA,NA,NA,0% with cancer diagnosed within 5 years of symptom onset,NA,,other,"systemic autoimmunity (61%), T1DM (32%), thyroid (38%), pernicious anaemia (20%), other (8%)",multipl,steroids;IVIG;PLEX;RXB;CP,,"treated patients n = 44; response to steroids 7/44 (16%), IVIG 38/44 (86%), PLEX 7/44 (16%), Rituximab 5/44 (11%), CP 1/44 (2)","response 34/44 (77%), partial 24/44 (55%), near-complete 10/44 (23%), complete 0/44 (0%); initial responders with sustained response 32/34 (94%), all treated with sustained response 32/44 (73%)",,,,,,,,,,see Table 3 for detailed data,,"Retrospective evaluation of EMR for GAD65 antibodies, single site, outpatient tertiary clinic",NA,"Statistical analyses were performed using JMP Pro V.14.1.0. 
Continuous and categorical variables were reported as median 
(range) and number (percentage), respectively. Differences across 
multiple groups were assessed by the Kruskal-Wallis, Pearson’s 
χ2 or Fisher’s exact test for multiple categories, as appropriate. 
Associations with a poor outcome at last clinical follow-up 
were explored by univariate logistic regression analysis, while 
the simultaneous effect of multiple significant variables was 
assessed by multivariate logistic regression. A two-sided p<0.05 
was considered statistically significant. Adjustment for multiple 
comparisons was not performed.",see Table 1 for detailed autoimmunity and thyroid findings,"retrospective, further antibody testing not always available","details of electrophysilogical assessment, clinical examination, symptomatic treatment and disease course not given","large sample sizes, detailed evaluation of autoimmunity, comparisons between multiple treatments",,"other anti-GAD65 syndromes: cerebellar ataxia, epilepsy, limbic encephalitis, atypical hyperkinetic movement disorders"
233,MC,Berger,2003,Germany,observational cohort study,"investigate the prevalence and electrophysiological characteristics of the head retraction reflex (HRR) in patients diagnosed with stiff-man syndrome (SMS), stiff-limb syndrome (SLS), and progressive encephalomyelitis with rigidity and myoclonus (PERM).",50,NA,45.7,NA,2.8,NA,NA,45,mixed,"SMS (n=28)
SLS (n=2)
PERM (n=20)",,,,,,,,,,,,,,,,,,,,,,,GAD,,,,,,,"GAD positivity: SMS 15/28 (54%), SLS 2/2 (100%), 15/20 (75%)",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Single site. No further details.,NA,The results were evaluated statistically using Student’s unpaired t test. A value of P < 0.05 was considered significant.,see Table 1 for prevalence of head retraction reflex and anti-GAD prevalence,focus on HRR alone,no detailed description of symptoms or patient history,"good sample size, HRR and anti-GAD prevalence",,
13224,MC,Boronat,2011,Spain,observational cohort study,analyzed the frequency of GABABR-ab in 147 patients with limbic encephalitis or neurologic syndromes associated with GAD-ab.,29,NA,NA,NA,NA,NA,NA,NA,Stiff_Person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAD,NA,NA,NA,NA,NA,GABAB,All SPS were GABAB negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Retrospective evaluation of EMR. Tertiary clinic.,NA,,"All SPS were negative for GABABR, as were all GAD-positive patients","primary focus on GABABR and LE, not on SPSD",no  description of SPSD characteristics,decent sample size,,"Limbic encephalitis, GAD-related (cerebellar ataxia, epilepsy, paraneoplastic)"
11916,MC,Chia,2023,USA,retrospective cohort study,propose diagnostic criteria for SPSD,48,median,47,range,range 8-76,,,31.2,mixed,"Total SPSD patients: 48
Classic distribution of limb and truncal involvement: 44/48 (92%)
Stiff limb presentation alone: 2/48 (4%)
PERM presentation: 2/48 (4%)

Autoimmune neurologic overlap syndromes (GAD65-IgG positive)	32% of GAD65+
Myelopathy (GAD65-IgG positive)	14% of GAD65+
Ataxia (GAD65-IgG positive)	11% of GAD65+
Cognitive impairment and epilepsy (GAD65-IgG positive)	4% of GAD65+
Ataxia, cognitive impairment, and epilepsy (GAD65-IgG positive)	4% of GAD65+
PERM (GlyR-IgG positive)	40% of GlyR+
Ataxia (GlyR-IgG positive)	20% of GlyR+
Neuropathy (GlyR-IgG positive)	20% of GlyR+
Neuropathy and cognitive impairment (GlyR-IgG positive)	20% of GlyR+
Myeloneuropathy (amphiphysin-IgG positive)	One case","diagnosis by autoimmune neurologist, with high-titer GAD65, GlyR, Amphiphysin IgG and abnormal electrophysiological exam; seronegative: only abnormal ephys",,"""Most patients presented with a classic distribution of limb and truncal involvement (44/48 [92%]).""
""Only two patients had stiff limb presentation alone.""
""45/48 had an insidious and progressive course, while three reported an episodic course with extended periods of symptomatic remission followed by relapse.""",,,,multiple,lumb_prox_LE;distal_LE;UE;axial,,"SPSD patients more commonly reported exaggerated startle (81% vs. 56%, p = 0.02)",multiple,stiffness;spasms;startle;falls;increased_tone;hyperreflexia;lumbar_lordosis;reduced_spinal_range_of_motion,,lumb_prox_LE;distal_LE;UE;axial,,,,multiple,axial;lumb_prox_LE;distal_LE;UE,"Spasms were often triggered by tactile, auditory, or emotional stimuli",,both,mutiple,"Antibody	Number of Positive Cases	Percentage of SPSD Patients (N = 48)
Overall Seropositivity	41/48	85.4%
GAD65-IgG	28/41	68.3%
GlyR-IgG	12/41	29.3%
- Serum only	10	-
- Serum and CSF	2	-
Amphiphysin-IgG	2/41	4.9%
Seronegative	7/48	14.6%",,GAD: median 509.6nmol/L (range: 27-5179),nmol/L,RIA;ELISA,,,inflammatory,"CSF Analysis	Number of Positive Cases	Percentage of Cases Analyzed
Elevated CSF GAD65-IgG	19/30	63.3%
CSF Pleocytosis	5/34	14.7%
Elevated CSF-specific Oligoclonal Bands	12/32	37.5%
- GAD65-IgG Positive	10/12	83.3%
- Amphiphysin-IgG Positive	2/12	16.7%
Negative Oligoclonal Bands (GlyR-IgG Positive)	5/5	100%",,"Electrophysiological Abnormality	Number of Positive Cases	Percentage of Cases Analyzed
Any Electrodiagnostic Abnormality	28/38	74%
MDL Abnormal Acoustic Startle Response	22/38	58%
MDL Abnormal Exteroceptive Responses	22/37	59%
EMG Continuous Paraspinal Activity	10/32	31%",22/37 (59%) of SPSD patients had abnormal exteroceptive responses,22/38 (58%) of SPSD patients had an abnormal acoustic startle response,NA,,1,"Type of Tumor	Number of Cases	Antibody Association
Total Malignancies	3	
Breast Cancer	1	Amphiphysin-IgG
Seminoma	1	GlyR-IgG
Colorectal Cancer	1	GAD65-IgG",autoimmune,22/48 (46%) of SPSD patients had a family history of autoimmunity,other,"thyroid 13/48 (42%), Type 1 Diabetes Mellitus 7/48 (15%), multiple autoimmune conditions 8/48 (17%)",multiple,IVIG;steroids;PLEX;RXB;MMF;CP,,"First-line Immunotherapy  
IVIg (Intravenous Immunoglobulin): 35/48, 72.9%
Steroids: 20/48, 41.7%
PLEX (Plasma Exchange) : 7/48, 14.6%
Second-line Immunotherapy  
Rituximab: 13/48, 27.1%
Mycophenolate Mofetil: 3/48, 6.3%
Cyclophosphamide: 2/48, 4.2%
Multiple second-line treatments: 2/48, 4.2%","Immunotherapy	Number of Patients with Moderate or Marked Response	Percentage of Patients Receiving Treatment
IVIg (Intravenous Immunoglobulin)	12/32	38%
Steroids	8/20	40%
PLEX (Plasma Exchange)	3/7	43%",benzo;baclofen,,,"Symptomatic Therapy	Number of Patients	Percentage of SPSD Patients (N = 48)	Moderate or Marked Response	Percentage of Patients with Response
Benzodiazepines	40	83%	18/35	51%
Baclofen	N/A	N/A	3/30	10%","""Most (40/48; 83%) SPSD patients received benzodiazepines; over half (18/35) had a moderate or marked response at a median diazepam equivalent dose of 40 mg (range 4–170).""
""Only 3/30 (10%) reported moderate or excellent response to baclofen at a median dose of 30 mg (range 10–120).""",,,,,,,Single site. The EMR of the identified patients was reviewed manually to determine whether they had been referred to Mayo Clinic with a suspected or previously established diagnosis of SPSD.,,,,,,"Clear inclusion criteria, detailed description of clinics and treatment response, but no individual descriptions",,
899,MC,Dekker,2015,Tanzania,retrospective cohort study,describe SPS cases in Tanzania,9,mean,36.700000000000003,range,range 12-49,africa,,77.78,mixed,,Dalakas criteria,,"1 juvenile onset (12y); 1 anti-GAD with breast carcinoma 4y after SPS diagnosis, 1 stiff limb, 1 with encephalopathic features, 2 with femoral fracture secondary to muscle spasms",,,,,,,,multiple,lumbar_hyperlordosis;opisthotonus;abdominal_rigidity;spasms;hyperreflexia;extensor_plant_response,,,,,,,,,,both,mixed,"1 anti-GAD, others NR",,,,,GAD,,,,,,,,,,1,1 patient with breast carcinoma 4y after SPS diagnosis,,,,,IVIG,,,,,benzo;baclofen,,,"Co-treatment with a course of corticosteroids
did not seem to further improve the clinical condition,
but the sample size (n = 2) is too small to draw firm conclusions. ",improvement,,,,,,,Recruited at neurological referral hospital,,,,,,,,
6073,MC,Ishii,2002,Japan,retrospective cohort study,screen for gephyrin antibodies,5,,,,,E_asia,,,Stiff_Person,,,,,,,,,,,,,,,,,,,,,,,,mixed,1 with anti-gephyrin; 4 gephyrin negative,,,,,,,,,,,,,,,1,1 patient with mediastinal cancer had anti-gephyrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,MC,Galli,2018,USA,retrospective cohort study,demographics and clinical findings in GAD65-positive SPS in VA database,15,mean,43.6,SD,16.100000000000001,mixed,"white 60%, African American 13.3%, latin 26%, NA 6.7%",93.3,Stiff_Person,,SPS (specified by clinician) with GAD65 positivity,,,,,,,,,,,,,,,,,multiple,"axial: 33.3%. Lower extremities: 53.3%. Neck: 6.7%. Upper extremities: 13.3%, all extremities: 13.3%. Unilateral UE: 6.7%. Unilateral LE: 13.3%.",,,,GAD65,,,,,,,,normal (tested in 5/15 pat),,,"EMG performed in 10 patients, 3 patients with CMUA",,,0,"performed in 13/15 patients, all MRI were normal",1,13.3% (2 pat) with prostate cancer,,,other,Crohn 6.7%. DM1 6.7%. Lupus and Sjögren 6.7%. Elevated dsDNA and ANA without diagnosis 6.7%.,IVIG,,,"IVIG performed in 10 (66.7%) of patients, 9 reported benefit. 1 patient didn't report benefit from IVIG, but reported benefit from IV steroids. ",,benzo;baclofen,,,diazepam and baclofen were beneficial (no exact data available),,,,,,,,,,,,,,,,
893,MC,Gu Urban,2015,Sweden,basic lab research,detect GAD65-immune complexes in SPS,7,median,50,range,range 34-71,,,42.9,Stiff_Person,,,,,,,,,,,,,,,,,,,,,,,,GAD65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
