paper_id,covidence_id,title,authors,source_filename,source_text_json_path,trimmed_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,index_detected,index_confidence,index_listed_page,index_prev_code,index_next_code,page_map_method,estimated_offset,offset_confidence,fallback_triggered,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,body_signal_count,spillover_flag,header_only_flag,candidate_rank,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,trimmed_at_utc
1838,1838,Progressive encephalomyelitis with rigidity and myoclonus with multiple autoantibodies as a first manifestation of thymoma,Florea A.; Matei A.; Mitu C.E.; Popescu B.O.,1838_Euro J of Neurology - 2020 - - ePoster Sessions.pdf,data\extraction_json\text\1838.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1838.json,706,57,298,222,2,7,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,EPO2344,EPO2344 Progressive encephalomyelitis with rigidity and myoclonus with multiple autoantibodies as a first manifestation of thymoma,0.9889,1.0000,0.9917,,,4,false,false,1,455,455,32719,32762,2026-04-11T23:11:23.877919+00:00
1897,1897,Autologous hematopoietic stem cell transplantation may be highly effective treatment for severe stiff person syndrome,Georges G.E.; Bowen J.D.; Pearlman M.; Wundes A.; Von Geldern G.; Kraft G.H.; Weiss M.D.; McLaughlin B.; Sytsma J.; Nash R.,1897_Georges-2018-Autologous hematopoietic stem cell transplantation may be highly effective treatment for severe stiff person syndrome.pdf,data\extraction_json\text\1897.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1897.json,1,0,22,22,1,6,true,true,0.0804,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,,May be Highly Effective Treatment for Severe Stiff Person Syndrome,0.8700,0.5000,0.6853,backtrack_title_cluster,next_abstract_boundary,0,false,false,1,0,0,1,63,2026-04-11T23:11:54.937694+00:00
1898,1898,"Anti-gad positive syndrome (stiff-man): A 9-years-case report of treatment, evolution and a review",De Camargo Carmello J.F.; Oliveira A.S.B.,1898_De Camargo Carmello J.F. and Oliveira A.S.B. - 2018 - Anti-gad positive syndrome (stiff-man) A 9-years-.pdf,data\extraction_json\text\1898.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1898.json,199,89,436,422,0,3,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,A25,"of treatment, evolution and a review",0.8074,0.0000,0.5326,backtrack_abstract_boundary,next_abstract_boundary,2,false,false,1,11,12,1180,1234,2026-04-11T23:14:19.484937+00:00
1899,1899,Stiff-person syndrome and type 1 diabetes mellitus: Report of a family,Faro F.N.; Bussular T.C.; Feder C.K.R.; Salles J.E.N.; Scalissi N.M.; Pereira M.V.,1899_Faro F.N. et al. - 2018 - Stiff-person syndrome and type 1 diabetes mellitus.pdf,data\extraction_json\text\1899.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1899.json,199,89,436,422,0,3,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,A394,A394 Stiff‑person syndrome and type 1 diabetes mellitus: report of a family,0.8227,0.0000,0.6170,,,3,false,false,1,175,175,18152,18199,2026-04-11T23:16:33.182166+00:00
1900,1900,Stiff person syndrome exacerbations & therapeutic plasma exchange,Stiefel E.; Leeper J.; Alquist C.,1900_Stiefel E. et al. - 2018 - Stiff person syndrome exacerbations & therapeutic .pdf,data\extraction_json\text\1900.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1900.json,74,73,411,316,1,5,true,true,0.0810,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,STIFF PERSON SYNDROME EXACERBATIONS & THERAPEUTIC PLASMA EXCHANGE,1.0000,1.0000,1.0000,,,5,false,false,1,39,40,3807,3888,2026-04-11T23:17:53.871614+00:00
1901,1901,Iatrogenic hypoglobulinemia due to the therapeutic plasma exchange: Managing the patient with allergies to blood products,Linnik Y.A.; Moiseff R.; Thomasson R.; Szczepiorkowski Z.; Dunbar N.,1901_Linnik Y.A. et al. - 2018 - Iatrogenic hypoglobulinemia due to the therapeutic.pdf,data\extraction_json\text\1901.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1901.json,74,73,411,316,1,5,true,true,0.1034,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,,PATIENT WITH ALLERGIES TO BLOOD PRODUCTS,0.8880,1.0000,0.8485,backtrack_soft_header,next_abstract_boundary,4,false,false,1,58,59,5432,5499,2026-04-11T23:19:01.520546+00:00
1903,1903,Stiff person's syndrome: Challenging symptom control,Thakolkaran N.T.; Kaur R.,1903_Thakolkaran N.T. and Kaur R. - 2018 - Stiff person's syndrome Challenging symptom contr.pdf,data\extraction_json\text\1903.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1903.json,369,133,471,450,1,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,C31,C31 Stiff Person’s Syndrome: Challenging symptom control,0.8750,1.0000,0.9062,,,4,false,false,1,182,182,23370,23415,2026-04-11T23:22:26.007245+00:00
1916,1916,A rare cause of progressive encephalopathy - PERM,Hartigan S.; Turner R.; Hastings J.,1916_Hartigan S. et al. - 2018 - A rare cause of progressive encephalopathy - PERM.pdf,data\extraction_json\text\1916.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1916.json,97,192,551,367,0,3,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,"A Rare Cause Of Progressive Encephalopathy - PERM Hartigan S, Turner R , Hastings J",0.9132,1.0000,0.9349,,,3,false,false,1,69,70,8082,8126,2026-04-11T23:23:59.763157+00:00
1918,1918,Spasmodic reflex myoclonus-an characteristic electrophysiological manifestation for the diagnosis of Stiff-person syndrome,Tsai C.-H.,1918_Tsai C.-H. - 2018 - Spasmodic reflex myoclonus-an characteristic elect.pdf,data\extraction_json\text\1918.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1918.json,2,8,21,5,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,F59,Spasmodic reflex myoclonus-an characteristic electrophysiological manifestation for the diagnosis of Stiff-person syndrome—Chon-Haw Tsai (Taiwan),0.9410,0.0000,0.6022,backtrack_abstract_boundary,override_strip_terminal_doi,4,false,false,1,0,1,89,121,2026-04-11T23:24:40.686150+00:00
1921,1921,Refractory anti-gad positive stiff-person syndrome controlled after rituximab therapy,Aragao V.; Braga E.; Marinho A.R.; Nobrega P.; Simabukuro M.; Ferreira G.; Maia F.,1921_Aragao V. et al. - 2018 - Refractory anti-gad positive stiff-person syndrome.pdf,data\extraction_json\text\1921.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1921.json,104,82,476,361,0,4,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,171,Refractory Anti-GAD Positive Stiff-person Syndrome Controlled,0.9100,0.8571,0.8264,backtrack_abstract_boundary,next_abstract_boundary,5,false,false,1,67,68,8035,8093,2026-04-11T23:26:28.488208+00:00
