paper_id,covidence_id,title,authors,source_filename,source_text_json_path,trimmed_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,index_detected,index_confidence,index_listed_page,index_prev_code,index_next_code,page_map_method,estimated_offset,offset_confidence,fallback_triggered,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,body_signal_count,spillover_flag,header_only_flag,candidate_rank,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,trimmed_at_utc
1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,1117_Patel - Glycine receptor antibody mediated progressive.pdf,data\extraction_json\text\1117.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1117.json,1,5,12,24,1,9,true,true,0.1131,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,PP08.9 - 2594,2594 Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,0.9947,1.0000,0.9960,,,3,false,false,1,0,0,60,106,2026-04-11T21:06:26.028891+00:00
1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,1118_Patel Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies.pdf,data\extraction_json\text\1118.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1118.json,2,9,29,19,1,11,true,true,0.0300,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,PP14,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,1.0000,1.0000,0.8904,backtrack_abstract_boundary,next_abstract_boundary,2,false,false,1,0,1,91,123,2026-04-11T21:07:03.625710+00:00
1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,1119_Balint B. et al. - 2015 - Antibody spectrum in stiff person syndrome and rel.pdf,data\extraction_json\text\1119.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1119.json,567,80,418,220,0,6,true,true,0.0807,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,670,670 Antibody spectrum in stiff person syndrome and related disorders,0.9894,0.8571,0.9563,,,5,false,false,1,262,262,29639,29685,2026-04-11T21:10:06.929688+00:00
1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,1120_Zhang G. et al. - 2015 - Anti-GAD65 negative stiff-person syndrome with a f.pdf,data\extraction_json\text\1120.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1120.json,567,80,418,220,0,6,true,true,0.0673,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,740,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,1.0000,1.0000,0.9251,backtrack_abstract_boundary,next_abstract_boundary,5,false,false,1,292,292,32673,32708,2026-04-11T21:13:19.159857+00:00
1129,1129,"GAD autoimmunity: Syndromes, comorbidities, and coexisting antibodies in 121 patients",Arino H.; Gresa-Arribas N.; Hoftberger R.; Martinez-Hernandez E.; Armangue T.; Kruer M.C.; Arpa J.; Domingo J.; Rojc B.; Bataller L.; Saiz A.; Dalmau J.; Graus F.,"1129_Arino H. et al. - 2015 - GAD autoimmunity Syndromes, comorbidities, and co.pdf",data\extraction_json\text\1129.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1129.json,132,432,398,1139,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,M103,"GAD Autoimmunity: Syndromes, Comorbidities, and Coexisting Antibodies in 121 Patients",1.0000,0.5000,0.8750,,,0,false,false,1,72,72,8089,8125,2026-04-11T21:14:08.604382+00:00
1138,1138,Stiff person syndrome: Review of 14 patients,Cavalcante V.; Souza Bulle Oliveira A.,1138_Cavalcante V. and Souza Bulle Oliveira A. - 2015 - Stiff person syndrome Review of 14 patients.pdf,data\extraction_json\text\1138.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1138.json,1,6,11,20,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,Stiff person syndrome: review of 14 patients,1.0000,1.0000,1.0000,,override_strip_terminal_doi,4,false,false,1,0,0,58,91,2026-04-11T21:14:17.918516+00:00
1215,1215,Three cases of elevated IL-1beta in common variable immunodeficiency (CVID) with autoimmune complications,Toh J.; Gavrilova T.; Rubinstein A.,1215_Toh Three cases of elevated IL-1beta in common variable immunodeficiency (CVID) with autoimmune complications.pdf,data\extraction_json\text\1215.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1215.json,1,3,19,7,0,4,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,58,58 Three Cases of Elevated IL-1beta in Common Variable Immunodeficiency (CVID) with Autoimmune Complications,0.9950,1.0000,0.9962,,,5,false,false,1,0,0,71,112,2026-04-11T21:14:32.951117+00:00
1227,1227,Role of plasma exchange in stiff person syndrome,Albahra S.; Yates S.; Matevosyan K.; Sarode R.,1227_Albahra S. et al. - 2016 - Role of plasma exchange in stiff person syndrome.pdf,data\extraction_json\text\1227.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1227.json,70,63,507,394,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,77,ROLE OF PLASMA EXCHANGE IN STIFF PERSON SYNDROME,1.0000,1.0000,0.8843,backtrack_abstract_boundary,next_abstract_boundary,4,false,false,1,44,44,4995,5057,2026-04-11T21:15:25.477297+00:00
1229,1229,Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of hodgkin's lymphoma: A case report,Borellini L.; Lanfranconi S.; Trezzi I.; Franco G.; Di Fonzo A.; Bonato S.; Bresolin N.,1229_Borellini L. et al. - 2016 - Progressive encephalomyelitis with rigidity and my.pdf,data\extraction_json\text\1229.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1229.json,234,66,291,232,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P11168,P11168 Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of Hodgkin’s lymphoma: a,0.8565,1.0000,0.8924,,,5,false,false,1,79,79,6468,6512,2026-04-11T21:16:32.739642+00:00
1230,1230,Stiff Person Syndrome: A female case report with focal onset and multiple limb involvement,Vaz S.; Barros A.; Calado A.; Sequeira J.; Melancia D.; Fernandes A.,1230_Vaz S. et al. - 2016 - Stiff Person Syndrome A female case report with f.pdf,data\extraction_json\text\1230.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_002\text_trimmed\1230.json,279,62,293,286,1,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P32164,P32164 Stiff Person Syndrome: a female case report with focal onset and multiple limb involvement,0.9868,1.0000,0.9901,,,4,false,false,1,228,228,18442,18485,2026-04-11T21:17:46.229528+00:00
