paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1339,1339,Anti-GAD65 antibody testing at a tertiary care center,Vodopivec I.; Loomis A.; Baron J.; Cho T.; Bhattacharyya S.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1339.json,,data\extraction_json\text\1339.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.6649,1.0000,0.7487,5,2204,false,false,false,,false,,,0,"Anti-GAD65 Antibody Testing at a Tertiary Care Center (P1.407) Ivana Vodopivec, Alexandra Loomis, Jason Baron, Tracey Cho, Shamik Bhattacharyya First published April 17, 2017,  Info & Disclosures Abstract Objective: To characterize the utility and yield of glutamic acid decarboxylase antibodies (anti- GAD65) testing and to analyze the associated diagnoses, management, and prognosis in seropositive patients. Background: Anti-GAD65 antibodies are associated with a spectrum of neurological syndrom",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-09T17:45:47.311282+00:00
1343,1343,Case control analysis of glycine receptor autoimmunity,Lopez-Chiriboga A.S.; Hinson S.; Bower J.; Matsumoto J.; Hassan A.; Basal E.; Lennon V.; Pittock S.; McKeon A.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1343.json,,data\extraction_json\text\1343.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.6620,1.0000,0.7465,6,3053,false,false,false,,false,,,0,"Case Control Analysis of Glycine Receptor Autoimmunity (P5.125) Alfonso Sebastian Lopez-Chiriboga, Shannon Hinson, James Bower, Joseph Matsumoto, Anhar Hassan, Eati Basal, Vanda Lennon, Sean Pittock, Andrew McKeon First published April 17, 2017, Abstract Objective: To report our experience with an in-house developed cell-based assay for IgG antibody targeting the alpha-1 subunit of glycine receptor (GlyRα1) among patients and control subjects. Background: GlyRα1antibody is a biomarker of spinal ",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-09T17:45:47.317519+00:00
1381,1381,Determination of antibodies to GAD67 and other antigens in patients with GAD65 antibody-associated syndromes,Gresa-Arribas N.; Arino H.; Sabater L.; Caballero E.; Alba M.; Martinez-Hernandez E.; Petit M.; Saiz A.; Dalmau J.; Graus F.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1381.json,,data\extraction_json\text\1381.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.6731,1.0000,0.7549,1,2920,false,false,false,,false,,,0,"Determination of Antibodies to GAD67 and Other Antigens in Patients with GAD65 Antibody-Associated Syndromes (P5.033) Núria Gresa-Arribas, Helena Ariño, Lidia Sabater, Eva Caballero, Mercè Alba, Eugenia Martínez-Hernandez, Mar Petit, Albert Saiz, Josep Dalmau, Francesc Graus First published April 9, 2014,  Info & Disclosures Abstract Objectives: To determine the repertoire of antibodies in a large cohort of patients with GAD65 antibody-associated syndromes. Background: High titer antibodies aga",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-09T17:45:47.323287+00:00
1388,1388,A retrospective analysis of patient-reported outcomes for 34 patients with stiff person syndrome receiving home IVIg infusions,Ladha S.; Ayer G.; Souayah N.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1388.json,,data\extraction_json\text\1388.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.6825,1.0000,0.7618,1,2424,false,false,false,,false,,,0,"A Retrospective Analysis Of Patient- Reported Outcomes For 34 Patients With Stiff Person Syndrome Receiving Home IVIG Infusions. (P7.113) Shafeeq Ladha, Gretchen Ayer, Nizar Souayah First published April 9, 2014, Abstract OBJECTIVE: To assess the overall efficacy of home infused intravenous immunoglobulin (IVIG) in Stiff Person Syndrome (SPS) using patient-reported outcomes. BACKGROUND: There is widespread use of IVIG for the treatment of SPS. However there is a dearth of information regarding t",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-09T17:45:47.328586+00:00
1394,1394,Inpatient physiotherapy management for stiff person syndrome,Kahraman T.; Balci B.; Sengun I.S.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1394.json,,data\extraction_json\text\1394.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.6500,0.6667,0.6542,6,20319,false,false,false,,false,,,0,"Middle East J Rehabil Health. 2016 January;3(1): e34793. doi: 10.17795/mejrh-34793 Published online 2016 January 27. Case Report Inpatient Physiotherapy Management for Stiff-Person Syndrome: A Case Report Turhan Kahraman, 1,* Birgul Balci, 1 and Ihsan Sukru Sengun 2 1School of Physical Therapy and Rehabilitation, Dokuz Eylul University , Izmir, Turkey2Department of Neurology , Faculty of Medicine, Dokuz Eylul University , Izmir, Turkey *Corresponding author : Turhan Kahraman, School of Physical ",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-09T17:45:47.361258+00:00
1416,1416,Immunomodulatory therapy in stiff-person syndrome (SPS): A controlled Rituximab-randomised study,Amarandei M.,conference_abstract,interventional_conference_abstract,manual_review,data\extraction_json\text\1416.json,qa\trimming\reports\batch_006\text_trimmed\1416.json,qa\trimming\reports\batch_006\text_trimmed\1416.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,505,0.6812,1.0000,0.7609,5,1762,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"1292 Immunomodulatory therapy in stiff-person syndrome (SPS): a controlled Rituximab-randomised study M. Amarandei (Bucharest, Romania) Objective: The efﬁcacy of the anti-CD20 antibody, Rituximab, in the treatment of patients with stiff-person syndrome. Background: SPS is a rare autoimmune progressive disorder of the central nervous system(CNS). Symptoms are stifness and painful exten- sor spasms. Stiffness affects the thoracolumbar paraspinal muscles, arms and legs, it has insidious onset; it a",Trimmed proceedings text matches and appears complete.,2026-04-09T17:45:59.200377+00:00
1418,1418,Stiff-limb syndrome with cerebellar features and atypical EMG findings responds to IVIG,Rametta S.; Robinson G.; Hellmers N.; Jacoby N.; Sarva H.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1418.json,qa\trimming\reports\batch_006\text_trimmed\1418.json,qa\trimming\reports\batch_006\text_trimmed\1418.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,515,0.7013,1.0000,0.7760,4,887,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"1316 Stiff-limb syndrome with cerebellar features and atypical EMG ﬁndings responds to IVIG S. Rametta, G. Robinson, N. Hellmers, N. Jacoby, H. Sarva (Brooklyn, NY, USA) Objective: To describe a case of stiff-limb syndrome with ataxic fea- tures which had delayed EMG ﬁndings and improvement to IVIG. Background: Stiff-person syndrome (SPS) is part of a spectrum of progressive autoimmune neurological diseases that also include isolated cerebellar ataxias, progressive encephalomyelitis with rigidit",Trimmed proceedings text matches and appears complete.,2026-04-09T17:46:10.339922+00:00
1421,1421,Response to IVIG leads to diagnosis of stiff person syndrome in a patient with limbic encephalitis and GAD65 autoantibodies (AB) without diabetes,Khan M.S.; Hao J.B.; Chaudhry F.; Tiwari A.; Sharma H.; Jaume J.C.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1421.json,,data\extraction_json\text\1421.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,mismatch,true,186,0.5219,0.5000,0.5165,3,2738,false,false,false,,false,,,0,"Mohammad Saud Khan, University of Toledo Medical Center, Toledo, OH z Jennifer B Hao, University of Toledo, College of Medicine and Life Sciences, Toledo, OH a Foiqa Chaudhry, University of Toledo Medical Center, Sylvania, OH 8 Abhinav Tiwari, University of Toledo Medical Center, Toledo 8 Himani Sharma, University of Toledo Medical Center, Toledo 2 Juan Carlos Jaume, University of Toledo, College of Medicine and Life Sciences, Toledo, OH s 3 Introduction: Stiff-person syndrome (SPS) is a rare ne",Title/author alignment is too weak for a reliable proceedings match.,2026-04-09T17:46:10.348806+00:00
1422,1422,Intrathecal baclofen therapy for GAD(+) stiff-person syndrome: A case series of 4 patients,Ungar L.; Taira T.; Zibly Z.,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text\1422.json,,data\extraction_json\text\1422.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,301,0.6505,1.0000,0.7379,1547,1245280,false,false,false,,false,,,0,"Stereotact Funct Neurosurg 2017;95(suppl 1):1-460 302 Poster P128: Intrathecal baclofen therapy for GAD(+) Stiff-Person Syndrome: A Case Series of 4 patients Authors: Lior Ungar (1), Takaomi Taira (2), Zion Zibly (1) 1. Department of Neurological Surgery, Sheba Medical Center, Ramat-Gan, ISRAEL 2. Department of Neurosurgery, Tokyo Women's Medical University, Tokyo, JAPAN Keywords: Intrathecal baclofen (ITB) Pump, GAD(+), Stiff-Person Syndrome Abstract: Objective: To report four cases of a rare d",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-09T17:46:12.013980+00:00
1426,1426,Respiratory manifestations of stiff person syndrome (SPS),Woodford M.R.; Pack K.; Allen A.; Rakocevic G.; Sexauer W.P.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1426.json,,data\extraction_json\text\1426.json,full_text,false,not_needed,Document does not look like a large proceedings/program PDF.,untrimmed_localised,true,0,0.6500,1.0000,0.7375,0,2840,false,false,false,,false,,,0,"/ Thematic Poster Session / Tuesday, May 23/9:15 AM-4:15 PM / Area G, Hall B-C (Middle Building, Lower Level) Walter E. Washington ConventionC40 DYSPNEA: CLINICAL STUDIES Center Respiratory Manifestations Of Stiff Person Syndrome (sps) , K. Pack , A. Allen , G. Rakocevic , W. P. SexauerM. R. Woodford1 1 1 1 1 Thomas Jefferson University, Philadelphia, PA1 Corresponding author's email: matthew.woodford@jefferson.edu Stiff-person Syndrome (SPS) is a rare autoimmune central nervous system disorder ",Target appears localised in full proceedings text; trimming/manual review is still required.,2026-04-09T17:46:12.020405+00:00
