batch_id,paper_id,title,extraction_correct,corrected_start_text,corrected_end_text,reviewer_comments,reviewed_correct,corrected_successfully,review_status,reviewer_id,reviewed_at_utc,updated_at_utc
batch_009,1722,Stiff person syndrome - An unusual paraneoplastic neurological phenomenon in carcinoid tumour,false,,"... carcinoid, we believe this is the first report of SPS associated with carcinoid tumour.",Body text cut-off too soon,false,true,reviewed,human_reviewer,2026-04-10T15:47:35.289159+00:00,2026-04-10T15:47:35.289174+00:00
batch_009,1774,An unusual presentation of stiff-person syndrome,false,"Pe-027-5An unusual presentation of stiff-person syndrome○ Weerawat Saengphatrachai1, Chayasak Wantaneeyawong2, Yuvadee Pitakpatapee1, Prachaya Srivanitchapoom11 Division of Neurology, Faculty of Medicine, Siriraj Hospital, Mahidol University, Bangkok, Thailand, 2 The Northern Neuroscience Center, Faculty of Medicine, Chiang Mai University, Chiang Mai, ThailandBackground: Movement disorders in anti-glutamic acid decarboxylase antibody （anti-GAD Ab）...",... Conclusions: Parkinsonism can be one of manifestations of anti-GAD Ab syndrome. Early recognition and prompt treatment will provide a favorable outcome.,it seems like abstract header and delimiter were not identified,false,true,reviewed,human_reviewer,2026-04-10T15:50:38.216049+00:00,2026-04-10T15:50:38.216062+00:00
batch_009,1793,Stiff-person syndrome: The analyses of 15 cases and their prognosises,false,,need to be treated by cognitive behavioural therapy which can help recovering their social functions better. Keywords: Stiff-person syndrome; anti-glutamic acid decarboxylase (GAD); eye movement disorder; cognitive behavioural therapy.,cut off too soon,false,true,reviewed,human_reviewer,2026-04-10T15:52:15.882407+00:00,2026-04-10T15:52:15.882420+00:00
batch_009,1802,Advanced progression of scoliosis after intrathecal baclofen in an adult with stiff person syndrome: A case report,true,,,,true,false,reviewed,human_reviewer,2026-04-10T15:52:23.773754+00:00,2026-04-10T15:52:23.773772+00:00
batch_009,1807,Anti-GAD65 antibody mediated systemic small vessel vasculitis with CNS involvement presenting as refractory status epilepticus and stiff-limb syndrome,false,"Anti-GAD65 Antibody Mediated Systemic Small Vessel Vasculitis with CNS Involvement Presenting as Refractory Status Epilepticus and Stiff-Limb Syndrome Derek Neupert; Nate Leibu; Aimee Aysenne; Casey R. Dunn Tulane University School of Medicine, Department of Neurology, New Orleans, LA, United States Introduction Glutamic acid decarboxylase (GAD) is the rate-limiting enzyme ...",... we advocate for early initiation of GABAergic medications such as benzodiazepines and use of immunotherapy.,cut off too soon,false,true,reviewed,human_reviewer,2026-04-10T15:54:21.389942+00:00,2026-04-10T15:54:21.389958+00:00
batch_009,1829,Providing relief from stiff person syndrome through intrathecal baclofen: A case report,false,,... Understanding the diagnosis and management of SPS is vital to improve care. Conclusions: It is important to consider implanting the intrathecal baclofen pump as we can provide SPS patients with comfort while preserving mental status. Level of Evidence: Level V,cut-off too soon,false,true,reviewed,human_reviewer,2026-04-10T15:55:23.096528+00:00,2026-04-10T15:55:23.096546+00:00
batch_009,1830,"Rehabilitation challenges in a rare combination of Stiff-man syndrome, cerebellar ataxia, and Grave's Disease: A case report",false,"Poster 263: Rehabilitation Challenges in a Rare Combination of Stiff- Man Syndrome, Cerebellar Ataxia, and Grave’s Disease: A Case Report Yulia Rivelis, MD (Montefiore Medical Center, New York, NY, United States), Eathar Saad, MD Disclosures: Yulia Rivelis: I Have No Relevant Financial Relationships To Disclose Case/Program Description: A 33-year-old woman, diagnosed with cerebellar...","... co-morbidities, making rehabilitation of this patient that much more difficult. Level of Evidence: Level V",no abstract extracted at all,false,true,reviewed,human_reviewer,2026-04-10T15:56:43.511802+00:00,2026-04-10T15:56:43.511826+00:00
batch_009,1838,Progressive encephalomyelitis with rigidity and myoclonus with multiple autoantibodies as a first manifestation of thymoma,false,,"... for GlyR antibodies. To conclude, PERM in the presence of multiple autoantibodies should always raise the suspicion pf thymoma. Disclosure: Nothing to disclose",cut-off too soon,false,true,reviewed,human_reviewer,2026-04-10T15:58:10.059525+00:00,2026-04-10T15:58:10.059545+00:00
batch_009,1897,Autologous hematopoietic stem cell transplantation may be highly effective treatment for severe stiff person syndrome,false,,"... These preliminary findings suggest that AHSCT is well-tolerated and may be highly effective therapy for select pts with treatment-refractory, severe SPS.",,false,true,reviewed,human_reviewer,2026-04-10T15:58:24.813412+00:00,2026-04-10T15:59:53.342680+00:00
batch_009,1898,"Anti-gad positive syndrome (stiff-man): A 9-years-case report of treatment, evolution and a review",false,,"... the patient had a cognitive loss without circulatory or immuno‐neurological disease only SPSD. Final Comments: Our review confirm the best treatment for SPSD, despite this unexpected 9‐year‐evolution. Informed consent to publish had been obtained from the patient.",,false,true,reviewed,human_reviewer,2026-04-10T16:01:18.368180+00:00,2026-04-10T16:01:18.368197+00:00
