paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1662,1662,Progressive encephalomyelitis with rigidity and myoclonus with antibodies to glycine receptor presenting with temporomandibular joint dislocation,Mahdi Aljedani R.; Meyer I.; Novy J.; Pagani J.-L.; Arlettaz L.; Ribi C.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1662.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1662.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1662.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,26,0.9446,1.0000,0.9585,4,2854,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"P72 Progressive encephalomyelitis with rigidity and myoclonus with antibodies to glycine receptor presenting with temporo- mandibular joint dislocation R. Mahdi Aljedani1, I. Meyer2, J. Novy2, J-L. Pagani3, L. Arlettaz4, C. Ribi1 1) Division of Immunology and Allergy, Department of Medicine, University Hos- pital Lausanne (CHUV), Lausanne 2) Neurology Service, Department of Clinical Neuroscience, CHUV, Lausanne 3) Department of Intensive Care Unit, CHUV, Lausanne 4) Division of Immunology and Al",Trimmed proceedings text matches and appears complete.,2026-04-11T12:21:28.434899+00:00
1664,1664,A rare person with Stiff Person syndrome,Suciu R.; Stoicanescu D.; Cevei M.; Bodog F.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1664.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1664.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1664.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,129,0.9682,1.0000,0.9761,0,1539,false,false,true,trim_record_indices,true,soft_header::author+institution+wrapped_title,next_abstract_boundary,0,"E-P10.05A rare person with Stiff Person syndrome R. Suciu 1, D. Stoicanescu 2, M. Cevei 1, F. Bodog 1; 1University of Oradea, Faculty of Medicine and Pharmacy, Oradea, Romania, 2University of Medicine and Pharmacy “Victor Babes ”, Timisoara, Romania. Stiff Person syndrome is a very rare and severe neuro- muscular condition, with a prevalence estimated at 1/ 1000000. It is characterized by trunk and limb stiffness, painful muscle spasms, having a signi ﬁcant impact on the ability of performing da",Trimmed proceedings text matches and appears complete.,2026-04-11T12:21:40.299026+00:00
1721,1721,Anti-glutamic acid decarboxylase positive stiff person syndrome treated with immunoglobulin in a 38-year old filipina: A case report,Perez J.A.L.; Damian L.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1721.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1721.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1721.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,0,1592,false,false,true,trim_record_indices,true,after_coded_boundary_preamble,next_abstract_boundary,0,"Anti-glutamic acid decarboxylase positive stiff person syndrome treated with immunoglobulin in a 38-year old ﬁlipina: A case report J.A.L. Perez, L. Damian St. Luke's Medical Center, Institute for Neurosciences, Quezon City, Philippines Stiff Person Syndrome (SPS) is a rare autoimmune neuromus- cular disorder that impairs GABAergic inhibition of skeletal muscle. It is a debilitating disease that leads to muscle rigidity, spasms and poor quality of life. The syndrome is managed symptomatically wi",Trimmed proceedings text matches and appears complete.,2026-04-11T12:21:40.604534+00:00
1722,1722,Stiff person syndrome - An unusual paraneoplastic neurological phenomenon in carcinoid tumour,Sahathevan V.; Herath T.; Gamlaksha D.; Yogendranathan N.; Kulatunga A.; Senanayake B.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1722.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1722.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1722.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,0,1468,false,false,true,trim_record_indices,true,soft_header::author+institution+wrapped_title,next_abstract_boundary,0,"Stiff person syndrome - An unusual paraneoplastic neurological phenomenon in carcinoid tumour V. Sahathevan a, T. Herath b, D. Gamlaksha c, N. Yogendranathan a,A . Kulatungaa, B. Senanayake b aNational Hospital Sri Lanka, Department of Medicine, Colombo 10, Sri Lanka bNational Hospital Sri Lanka, Department of Neurology, Colombo 10, Sri Lanka cNational Hospital Sri Lanka, Department of Pathology, Colombo 10, Sri Lanka Stiff person syndrome (SPS) is a rare neurologic disorder characterised by rig",Trimmed proceedings text matches and appears complete.,2026-04-11T12:21:40.781592+00:00
1774,1774,An unusual presentation of stiff-person syndrome,Saengphatrachai W.; Wantaneeyawong C.; Pitakpatapee Y.; Srivanitchapoom P.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1774.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1774.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1774.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,134,0.9700,1.0000,0.9775,2,1800,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"Pe-027-5 An unusual presentation of stiff-person syndrome ○‌‌Weerawat‌Saengphatrachai 1 ,‌Chayasak‌Wantaneeyawong 2 ,‌ Yuvadee‌Pitakpatapee 1 ,‌Prachaya‌Srivanitchapoom 1 1 Division of Neurology, Faculty of Medicine, Siriraj Hospital, Mahidol University, Bangkok, Thailand, 2 The Northern Neuroscience Center, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand Background: Movement disorders in anti-glutamic acid decarboxylase antibody （anti-GAD Ab） include stiff-person syndrome （SPS）",Trimmed proceedings text matches and appears complete.,2026-04-11T12:21:55.716684+00:00
1793,1793,Stiff-person syndrome: The analyses of 15 cases and their prognosises,Wei X.; Cai J.; Zhang C.; Lin H.,conference_abstract,case_series_conference_abstract,manual_review,data\extraction_json\text\1793.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1793.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1793.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,85,0.9900,1.0000,0.9925,4,2481,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"144 | Stiff- person syndrome: The analyses of 15 cases and their prognosises Xiaolan Wei1; Jiangping Cai3; Cheng Zhang4; Hualong Lin2 1Department of Neurology, Quanzhou First Hospital Affiliated to Fujian Medical University, Quanzhou, China; 2Department of Neurology, The Second Affiliated Hospital of Fujian Medical University, Quanzhou, China; 3Department of Neurology, Quanzhou First Hospital Affiliated to Fujian Medical University, Quanzhou, China; 4Department of Neurology, The First Affiliated",Trimmed proceedings text matches and appears complete.,2026-04-11T12:22:03.892396+00:00
1802,1802,Advanced progression of scoliosis after intrathecal baclofen in an adult with stiff person syndrome: A case report,Oh D.C.; LaGrant B.; Sein M.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1802.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1802.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1802.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,22,1.0000,1.0000,1.0000,3,1926,false,false,true,trim_record_indices,true,soft_header::author+institution+section+wrapped_title,next_soft_header,0,"Advanced Progression of Scoliosis After Intrathecal Baclofen in an Adult with Stiff Person Syndrome: A Case Report Daniel C. Oh, MD, MS (New York Presbyterian Hospital (Columbia and Cornell) PM&R Program, New York, NY , United States); Brian LaGrant, BS; Michael Sein, MD Disclosures: Daniel C. Oh, MD, MS: Nothing to disclose Case Description : This patient initially presented with functional deterioration secondary to SPS with intractable muscle spasms in the bilateral lower extremities, low bac",Trimmed proceedings text matches and appears complete.,2026-04-11T12:22:20.277010+00:00
1807,1807,Anti-GAD65 antibody mediated systemic small vessel vasculitis with CNS involvement presenting as refractory status epilepticus and stiff-limb syndrome,Neupert D.; Leibu N.; Aysenne A.; Dunn C.R.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1807.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1807.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1807.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,290,1.0000,1.0000,1.0000,5,2421,false,false,true,trim_record_indices,true,coded_boundary,next_soft_header,0,"Poster 281 Anti-GAD65 Antibody Mediated Systemic Small Vessel Vasculitis with CNS Involvement Presenting as Refractory Status Epilepticus and Stiff-Limb Syndrome v ,e) ”= m A 2) m 7) 2 2) Zz ” Derek Neupert; Nate Leibu; Aimee Aysenne; Casey R. Dunn Tulane University School of Medicine, Department of Neurology, New Orleans, LA, United States Introduction Glutamic acid decarboxylase (GAD) is the rate-limiting enzyme to convert glutamate to gamma- aminobutyric acid (GABA). Autoantibodies targeted a",Trimmed proceedings text matches and appears complete.,2026-04-11T12:22:31.706645+00:00
1829,1829,Providing relief from stiff person syndrome through intrathecal baclofen: A case report,Mazzola A.J.; Escalon M.X.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1829.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1829.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1829.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,0.0000,0.7500,4,1887,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"Poster 254: Providing Relief from Stiff Person Syndrome through Intrathecal Baclofen: A Case Report Anthony J. Mazzola, MD (Icahn School of Medicine at Mount Sinai, Plainview, NY, United States), Miguel X. Escalo ´n, MD, MPH Disclosures: Anthony Mazzola: I Have No Relevant Financial Re- lationships To Disclose Case/Program Description: A 64-year-old man diagnosed with SPS presented to our university rehabilitation clinic with complaints of increased spasticity. He described feeling muscle tightn",Trimmed proceedings text matches and appears complete.,2026-04-11T12:22:31.916660+00:00
1830,1830,"Rehabilitation challenges in a rare combination of Stiff-man syndrome, cerebellar ataxia, and Grave's Disease: A case report",Rivelis Y.; Saad E.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1830.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1830.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1830.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.9444,1.0000,0.9583,5,2340,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"Poster 263: Rehabilitation Challenges in a Rare Combination of Stiff- Man Syndrome, Cerebellar Ataxia, and Grave’s Disease: A Case Report Yulia Rivelis, MD (Monteﬁore Medical Center, New York, NY, United States), Eathar Saad, MD Disclosures: Yulia Rivelis: I Have No Relevant Financial Relationships To Disclose Case/Program Description: A 33-year-old woman, diagnosed with cerebellar ataxia at 23 years old, subsequently diagnosed with Stiff- man Syndrome at 30 years old. On examination, patient wa",Trimmed proceedings text matches and appears complete.,2026-04-11T12:22:32.146845+00:00
