paper_id,covidence_id,title,authors,source_filename,source_text_json_path,trimmed_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,index_detected,index_confidence,index_listed_page,index_prev_code,index_next_code,page_map_method,estimated_offset,offset_confidence,fallback_triggered,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,body_signal_count,spillover_flag,header_only_flag,candidate_rank,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,trimmed_at_utc
1662,1662,Progressive encephalomyelitis with rigidity and myoclonus with antibodies to glycine receptor presenting with temporomandibular joint dislocation,Mahdi Aljedani R.; Meyer I.; Novy J.; Pagani J.-L.; Arlettaz L.; Ribi C.,1662_Mahdi - SMW.pdf,data\extraction_json\text\1662.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1662.json,29,108,572,369,3,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P72,P72 Progressive encephalomyelitis with rigidity and myoclonus with antibodies to glycine receptor presenting with temporo- mandibular joint dislocation,0.9399,1.0000,0.9549,,,4,false,false,1,26,26,3220,3270,2026-04-11T12:13:47.560292+00:00
1664,1664,A rare person with Stiff Person syndrome,Suciu R.; Stoicanescu D.; Cevei M.; Bodog F.,1664_Suciu R. et al. - 2019 - A rare person with Stiff Person syndrome.pdf,data\extraction_json\text\1664.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1664.json,204,84,408,311,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,,E-P10.05A rare person with Stiff Person syndrome,0.9682,1.0000,0.8540,backtrack_soft_header,next_abstract_boundary,0,false,false,1,129,129,12347,12381,2026-04-11T12:14:45.204584+00:00
1721,1721,Anti-glutamic acid decarboxylase positive stiff person syndrome treated with immunoglobulin in a 38-year old filipina: A case report,Perez J.A.L.; Damian L.,1721_Perez J.A.L. and Damian L. - 2019 - Anti-glutamic acid decarboxylase positive stiff pe.pdf,data\extraction_json\text\1721.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1721.json,2,7,36,17,1,10,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,Anti-glutamic acid decarboxylase positive stiff person syndrome treated with immunoglobulin in a 38-year old ﬁlipina: A case report,1.0000,1.0000,1.0000,,override_strip_terminal_doi,0,false,false,1,0,1,90,123,2026-04-11T12:15:05.249133+00:00
1722,1722,Stiff person syndrome - An unusual paraneoplastic neurological phenomenon in carcinoid tumour,Sahathevan V.; Herath T.; Gamlaksha D.; Yogendranathan N.; Kulatunga A.; Senanayake B.,1722_Sahathevan V. et al. - 2019 - Stiff person syndrome - An unusual paraneoplastic .pdf,data\extraction_json\text\1722.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1722.json,1,6,17,7,0,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,Stiff person syndrome - An unusual paraneoplastic neurological phenomenon in carcinoid tumour,1.0000,1.0000,1.0000,,override_strip_terminal_doi,0,false,false,1,0,0,55,86,2026-04-11T12:15:15.200742+00:00
1774,1774,An unusual presentation of stiff-person syndrome,Saengphatrachai W.; Wantaneeyawong C.; Pitakpatapee Y.; Srivanitchapoom P.,1774_Saengphatrachai W. et al. - 2019 - An unusual presentation of stiff-person syndrome.pdf,data\extraction_json\text\1774.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1774.json,178,10,75,41,1,7,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,Pe-027-5,"An unusual presentation of stiff-person syndrome ○‌‌Weerawat‌Saengphatrachai 1 ,‌Chayasak‌Wantaneeyawong",0.8817,1.0000,0.9113,,,2,false,false,1,134,134,29632,29670,2026-04-11T12:17:08.058063+00:00
1793,1793,Stiff-person syndrome: The analyses of 15 cases and their prognosises,Wei X.; Cai J.; Zhang C.; Lin H.,1793_Basic Clin Pharma Tox - 2019 - - Expression of Concern Abstracts.pdf,data\extraction_json\text\1793.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1793.json,154,93,309,244,1,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,144,Stiff- person syndrome: The analyses of 15 cases and their prognosises,1.0000,1.0000,1.0000,,,4,false,false,1,85,86,8461,8515,2026-04-11T12:17:59.756920+00:00
1802,1802,Advanced progression of scoliosis after intrathecal baclofen in an adult with stiff person syndrome: A case report,Oh D.C.; LaGrant B.; Sein M.,1802_Oh D.C. et al. - 2019 - Advanced progression of scoliosis after intratheca.pdf,data\extraction_json\text\1802.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1802.json,187,77,498,408,1,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,Advanced Progression of Scoliosis After Intrathecal Baclofen in an Adult with Stiff Person Syndrome: A Case Report,1.0000,1.0000,1.0000,,,3,false,false,1,22,22,2706,2744,2026-04-11T12:19:42.798714+00:00
1807,1807,Anti-GAD65 antibody mediated systemic small vessel vasculitis with CNS involvement presenting as refractory status epilepticus and stiff-limb syndrome,Neupert D.; Leibu N.; Aysenne A.; Dunn C.R.,1807_Neupert D. et al. - 2019 - Anti-GAD65 antibody mediated systemic small vessel.pdf,data\extraction_json\text\1807.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1807.json,341,35,207,126,2,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,Poster 281,Anti-GAD65 Antibody Mediated Systemic Small Vessel Vasculitis with CNS Involvement Presenting as Refractory Status Epilepticus and Stiff-Limb Syndrome,1.0000,0.7500,0.8607,backtrack_abstract_boundary,next_soft_header,5,false,false,1,290,290,12517,12563,2026-04-11T12:20:26.075327+00:00
1829,1829,Providing relief from stiff person syndrome through intrathecal baclofen: A case report,Mazzola A.J.; Escalon M.X.,1829_Mazzola - Poster 254 Providing Relief from Stiff Person Syndrome through Intrathecal Baclofen A Case Report.pdf,data\extraction_json\text\1829.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1829.json,2,5,26,22,1,10,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,Poster 254,Providing Relief from Stiff Person Syndrome through,0.8781,0.0000,0.6001,backtrack_abstract_boundary,next_abstract_boundary,4,false,false,1,0,1,111,151,2026-04-11T12:20:54.075223+00:00
1830,1830,"Rehabilitation challenges in a rare combination of Stiff-man syndrome, cerebellar ataxia, and Grave's Disease: A case report",Rivelis Y.; Saad E.,1830_Rivelis-2018-Rehabilitation challenges in a ra.pdf,data\extraction_json\text\1830.json,qa\trimming\reports\stage05_regression_guard\tranche_006\text_trimmed\1830.json,2,6,25,21,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,page_local_sliding_window_match,page_local_sliding_window_match,Poster 263,Rehabilitation Challenges in a Rare Combination of Stiff-,0.8458,1.0000,0.8477,backtrack_abstract_boundary,next_abstract_boundary,5,false,false,1,0,1,110,156,2026-04-11T12:21:25.659454+00:00
