paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1001,1001,Inpatient physiotherapy management for Stiff Person syndrome,Kahraman T.; Balci B.; Sengun I.S.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1001.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1001.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1001.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,350,1.0000,0.6667,0.9167,4,1695,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"PP2210 Inpatient physiotherapy management for Stiff Person syndrome T. Kahraman1, B. Balc ı1,I˙.S¸. S¸ engu¨n2 1School of Physical Therapy and Rehabilitation; 2Department of Neurology, Dokuz Eylu¨l University, Izmir, Turkey Introduction: Stiff Person Syndrome (SPS) is a rare autoimmune neurological disorder characterized by progressive stiffness and painful spasms in the trunk and lower extremities. Little information about physiotherapy management of SPS is found in the literature. The aim of t",Trimmed proceedings text matches and appears complete.,2026-04-12T04:05:08.806976+00:00
1011,1011,Two cases of stiff person syndrome treated with intrathecal baclofen pump in an inpatient rehabilitation unit: A case series,Shoval H.A.; Hamer O.; Chantasi K.; Nanda U.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1011.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1011.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1011.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,4,2308,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"Poster 313 Two Cases of Stiff Person Syndrome Treated with Intrathecal Baclofen Pump in an Inpatient Rehabilitation Unit: A Case Series. Hannah A. Shoval (New York Presbyterian Hospital, New York, NY, United States); Orlee Hamer, DO; Kenny Chantasi, DO; Udai Nanda, MD. Disclosures: H. A. Shoval, No Disclosures: I Have No Relevant Financial Relationships to Disclose. Case Description: RS is a 55-year-old female and PL is a 48- year-old male admitted for stiff person syndrome (SPS) to an inpatient",Trimmed proceedings text matches and appears complete.,2026-04-12T04:05:09.086209+00:00
1028,1028,Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome,Probst C.; Blocker I.-M.; Mindorf S.; Unger M.; Fechner K.; Meinck H.-M.; Balint B.; Stocker W.; Schlumberger W.; Komorowski L.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1028.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1028.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1028.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,0.7500,0.9375,4,3078,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"96 Autoantibodies against glycine-associated synaptic proteins in stiff-person syndrome Christian Probsta, Inga-Madeleine Blöcker a, Swantje Mindorf a, Mandy Unger a, Kai Fechner a, Hans-Michael Meinck b, Bettina Balint c, Winfried Stöcker a, Wolfgang Schlumberger a, Lars Komorowski a aInstitute of Experimental Immunology, EUROIMMUN AG, Lübeck, Germany; bDepartment of Neurology, University of Heidelberg, Heidelberg, Germany; cInstitute of Neurology, University College London, London, Germany Bac",Trimmed proceedings text matches and appears complete.,2026-04-12T04:05:09.537176+00:00
1031,1031,Autonomic dysfunction in stiff person syndrome (SPS): Observations in 8 cases,Barboi A.,conference_abstract,group_conference_abstract,manual_review,data\extraction_json\text\1031.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1031.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1031.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,26,1.0000,1.0000,1.0000,6,1931,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"Poster 20 Autonomic dysfunction in stiff person syndrome (SPS): observations in 8 cases A. Barboi Department of Neurological Sciences, Rush University, Chicago, IL, USA Objectives: Describe autonomic involvement in 8 consecutive patients with stiff person syndrome Background: SPS is mediated by antibodies to the glutamic acid decarboxylase (GAD) enzyme. In addition to muscle stiffness and pain, patients may present with: cerebellar symptoms, progressive encephalomyelitis with rigidity and myoclo",Trimmed proceedings text matches and appears complete.,2026-04-12T04:05:14.889641+00:00
1112,1112,Practical management of stiff person syndrome in a limited resource setting-report of experiences in a two year follow-up,Siddi Ganie N.; Nichol R.; Janse Van Rensberg E.; Smit L.; Kruger A.; Nel M.; Lecuona E.,conference_abstract,multi_case_conference_abstract,manual_review,data\extraction_json\text\1112.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1112.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1112.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,41,1.0000,1.0000,1.0000,4,1941,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"F1087 Practical management of stiff person syndrome in a limited resource setting – report of experiences in a two year follow-up N. Siddi Ganie1, R. Nichol2, E. Janse Van Rensberg2, L. Smit2, A. Kruger2, M. Nel3, E. Lecuona4 1Durban, South Africa, 2University of Free State, Neurology, Bloemfontein, South Africa, 3University of Free State, Psych- iatry, Bloemfontein, South Africa, 4University of Free State, Occupational Therapy, Bloemfontein, South Africa Background and aims: Stiff person syndro",Trimmed proceedings text matches and appears complete.,2026-04-12T04:05:40.747156+00:00
1116,1116,Paediatric neurological syndromes associated with glycine receptor antibodies,Gadian J.; Hacohen Y.; Kariyawasam S.; Woodhall M.; Brilot F.; Pillai S.; Suleiman J.; Lascelles K.; Pike M.; Munot P.; Vincent A.; Dale R.C.; Lim M.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1116.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1116.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1116.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,1,2108,false,false,true,trim_record_indices,true,coded_boundary,no_header_found,0,"OP87 - 3001 Paediatric neurological syndromes associated with glycine receptor antibodies J. Gadian, Y. Hacohen, S. Kariyawasam, M.Woodhall, F. Brilot, S. Pillai, J. Suleiman, K. Lascelles, M. Pike, P. Munot, A. Vincent, R.C. Dale, M. Lim. Children’sN eurosciencesC entre,E velina London Children’s Hospital,S tT homas’H ospital, London, UK Background: In patients with glycine recept o r antibodies (GlyR- Ab), a range of neurological syndromes that includes Stiff Person Syndrome (SPS) and its more",Trimmed proceedings text matches and appears complete.,2026-04-12T04:05:41.024742+00:00
1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1117.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1117.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1117.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,3,2225,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"PP08.9 - 2594 Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl A. Patel, S. Boyd, B. Amin, R. Robinson, M. Woodhall, A. Vincent, C. Hemingway, P. Munot. Department ofC linical Neurophysiology, Great Ormond Street Hospital forC hildrenN HS Trust, London, UK; Cambrid ge University HospitalsN HS Trust, Cambridge,U K; Norfolk & No Objective: To describe a y oung girl in whom stimulus s",Trimmed proceedings text matches and appears complete.,2026-04-12T04:05:41.330640+00:00
1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1118.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1118.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1118.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,2,1991,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"PP14. 3 - 2698 Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies A. Patel, S. Janackova, P. Munot, A. Vincent, S. Boyd. Department of Clinical Neurophysiology, Great Ormond Street Hospital for Children, London, UK; Cambridge University Hospitals NHS Trust, Cambridge, UK; Norfolk & Norwich University Hospitals NHS Trust, Norwich, UK Objective: Stimulus sensitivity in the context of burst– suppression has been recognised, whereby signs only e",Trimmed proceedings text matches and appears complete.,2026-04-12T04:05:41.741210+00:00
1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,conference_abstract,group_conference_abstract,manual_review,data\extraction_json\text\1119.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1119.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1119.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,262,1.0000,0.8571,0.9643,5,2394,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"670 Antibody spectrum in stiff person syndrome and related disorders B. Balint, I.M. Bl €ocker, M. Unger, W. St €ocker, C. Probst, L. Komorowski, H.M. Meinck (London, United Kingdom) Objective: To determine the spectrum and prevalence of antibod- ies associated with Stiff Person Syndrome and related disorders (SPSD) in a large cohort. Background: New antibodies targeting the glycine receptor (GlyR), GABA A receptor (GABAAR), and dipeptidyl-peptidase-like protein-6 (DPPX) have been recently descr",Trimmed proceedings text matches and appears complete.,2026-04-12T04:07:31.030131+00:00
1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1120.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1120.json,qa\trimming\gold_standard\autoresearch\trigger_runs\20260411T233430Z\baseline\gold\regression_guard\text_trimmed\1120.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,292,1.0000,1.0000,1.0000,5,1822,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"740 Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea G. Zhang, L. Liu, N. Xiong, J. Huang, T. Wang (Wuhan, People’s Republic of China) Objective: To present a case report of anti-GAD65 negative stiff- person syndrome with a favorable response to pregabalin accompa- nying central sleep apnea. Background: Stiff-person syndrome (SPS) is a rare immune- mediated disorder characterized by muscle stiffness a",Trimmed proceedings text matches and appears complete.,2026-04-12T04:08:39.708583+00:00
