paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1838,1838,Progressive encephalomyelitis with rigidity and myoclonus with multiple autoantibodies as a first manifestation of thymoma,Florea A.; Matei A.; Mitu C.E.; Popescu B.O.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1838.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1838.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1838.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,455,1.0000,1.0000,1.0000,4,1917,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"EPO2344 Progressive encephalomyelitis with rigidity and myoclonus with multiple autoantibodies as a first manifestation of thymoma A. Florea 1, A. Matei 2, C.E. Mitu 2, B.O. Popescu 3 1 Neurology, ‘Carol Davila’ University of Medicine and Pharmacy, Bucharest, Romania, 2 Department of Neurology, Colentina Clinical Hospital, Bucharest, Romania, 3 Laboratory of Ultrastructural Pathology, ‘Victor Babes’ National Institute of Pathology, Bucharest, Romania Background and aims: Thymoma is frequently as",Trimmed proceedings text matches and appears complete.,2026-04-11T23:27:18.832942+00:00
1897,1897,Autologous hematopoietic stem cell transplantation may be highly effective treatment for severe stiff person syndrome,Georges G.E.; Bowen J.D.; Pearlman M.; Wundes A.; Von Geldern G.; Kraft G.H.; Weiss M.D.; McLaughlin B.; Sytsma J.; Nash R.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1897.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1897.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1897.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,0.5000,0.8750,0,2929,false,false,true,trim_record_indices,true,after_coded_boundary,next_abstract_boundary,0,"Autologous Hematopoietic Stem Cell Transplantation May be Highly Effective Treatment for Severe Stiff Person Syndrome George E. Georges 1, James D. Bowen 2, Michael Pearlman 3, Annette Wundes 2, Gloria von Geldern 4, George H. Kraft 2, Michael D. Weiss 2, Bernadette McLaughlin 1, Joel Sytsma 1, Richard Nash 5. 1 Fred Hutchinson Cancer Research Center, Seattle, WA; 2 University of Washington, Seattle, WA;3 Blue Sky Neurology, Denver, CO;4 Neurology, University of Washington, Seattle, WA; 5 Colora",Trimmed proceedings text matches and appears complete.,2026-04-11T23:27:19.060620+00:00
1898,1898,"Anti-gad positive syndrome (stiff-man): A 9-years-case report of treatment, evolution and a review",De Camargo Carmello J.F.; Oliveira A.S.B.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1898.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1898.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1898.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,11,0.8074,0.0000,0.6056,2,2799,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"A25 Anti‐gad positive syndrome (stiff‐man): a 9‐years‐case report of treatment, evolution and a review José Francisco de Camargo Carmello 1, Acary Souza Bulle Oliveira2 1Hospital Alemão Osvaldo Cruz, São Paulo, Brazil; 2UNIFESP , São Paulo, Brazil Correspondence: José Francisco de Camargo Carmello Journal of Diabetology & Metabolic Syndrome 2018, 10(Supp 1):A25 Abstract Case: 66 years, male, white, engineer, type 1 DM (T1D)‐LADA (24 years ago) + AntiGAD neurological syndrome (Stiff-man-SPS) 9 ye",Trimmed proceedings text matches and appears complete.,2026-04-11T23:27:42.020226+00:00
1899,1899,Stiff-person syndrome and type 1 diabetes mellitus: Report of a family,Faro F.N.; Bussular T.C.; Feder C.K.R.; Salles J.E.N.; Scalissi N.M.; Pereira M.V.,conference_abstract,family_case_conference_abstract,manual_review,data\extraction_json\text\1899.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1899.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1899.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,175,0.8349,0.1667,0.6679,3,2627,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"A394 Stiff‑person syndrome and type 1 diabetes mellitus: report of a family Fernanda Nascimento Faro, Tássia Cani Bussular, Cecilia Kauffman Rutenberg Feder, João Eduardo Nunes Salles, Nilza Maria Scalissi, Mariana Vilela Pereira Irmandade da Santa Casa de Misericórdia de São Paulo; São Paulo, Brazil Correspondence: Fernanda Nascimento Faro Journal of Diabetology & Metabolic Syndrome 2018, 10(Supp 1):A394 Case report: A 49-year-old woman presented unable to walk after a 6-month history of progre",Trimmed proceedings text matches and appears complete.,2026-04-11T23:28:04.392319+00:00
1900,1900,Stiff person syndrome exacerbations & therapeutic plasma exchange,Stiefel E.; Leeper J.; Alquist C.,conference_abstract,group_conference_abstract,manual_review,data\extraction_json\text\1900.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1900.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1900.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,39,0.9919,1.0000,0.9939,5,2877,false,false,true,trim_record_indices,true,soft_header::author+section+wrapped_title+uppercase_title,next_soft_header,0,"52 | STIFF PERSON SYNDROME EXACERBATIONS & THERAPEUTIC PLASMA EXCHANGE Elijah Stiefel, MD, MS, 1 James Leeper, PhD 2 and Caroline Alquist, MD, PhD 3 1LSU New Orleans, 2University of Alabama, 3Ochsner Health System Purpose Stiff-person syndrome (SPS) is a rare chronic disorder characterized by painful recurrent involuntary mus- cle rigidity and spasms, with an estimated prevalence of 1 –2 cases per million. Given an underlying autoimmune compo- nent is associated with these symptoms, SPS carries ",Trimmed proceedings text matches and appears complete.,2026-04-11T23:28:11.715233+00:00
1901,1901,Iatrogenic hypoglobulinemia due to the therapeutic plasma exchange: Managing the patient with allergies to blood products,Linnik Y.A.; Moiseff R.; Thomasson R.; Szczepiorkowski Z.; Dunbar N.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1901.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1901.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1901.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,58,0.9230,1.0000,0.9422,4,3118,false,false,true,trim_record_indices,true,soft_header::author+uppercase_title,next_abstract_boundary,0,"75 | IATROGENIC HYPOGLOBULINEMIA DUE TO THE THERAPEUTIC PLASMA EXCHANGE: MANAGING THE PATIENT WITH ALLERGIES TO BLOOD PRODUCTS Yevgeniy A. Linnik, MD, Robin Moiseff, MD, Reggie Thomasson, MD, Zbigniew Szczepiorkowski, MD, PhD and Nancy Dunbar, MD Dartmouth-Hitchcock Medical Center Purpose To provide a personalized approach for sympto- matic patients with therapeutic plasma exchange-induced hypogammaglobulinema and documented (mild, moderate, severe) allergic reactions to fresh frozen plasma (FFP",Trimmed proceedings text matches and appears complete.,2026-04-11T23:28:19.378025+00:00
1903,1903,Stiff person's syndrome: Challenging symptom control,Thakolkaran N.T.; Kaur R.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1903.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1903.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1903.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,182,0.8882,1.0000,0.9162,4,2329,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"C31 Stiff Person’s Syndrome: Challenging symptom control N. T. Thakolkaran, R. Kaur. Geriatrics and Palliative Division, Rush University Medical Center, Oak Park, IL. Background: Stiff-person syndrome (SPS) is characterized by progressive rigidity and muscle spasms affecting axial and limb muscles. Prevalence is 1-2 per million, most patients between 20-50 years, affects women 2-3 times more. The subtypes are Classic, Partial and paraneoplastic SPS. SPS is frequently associated with anti-Glu - t",Trimmed proceedings text matches and appears complete.,2026-04-11T23:29:10.466084+00:00
1916,1916,A rare cause of progressive encephalopathy - PERM,Hartigan S.; Turner R.; Hastings J.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1916.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1916.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1916.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,69,1.0000,1.0000,1.0000,3,2498,false,false,true,trim_record_indices,true,soft_header::author+institution+section+wrapped_title,next_soft_header,0,"A Rare Cause Of Progressive Encephalopathy - PERM Hartigan S, Turner R , Hastings J Dept. of Anaesthesia and Intensive Care Medicine, Mater Misericordiae University Hospital (MMUH), Dublin UCD Intern Network Introduction: Glycine receptor antibody positive progressive encephalop- athy with rigidity and myoclonus (PERM) or‘ stiff person syndrome’ is a recently described, rare phenomenon. First documented in 2008 by Hutchinson et al 2, it is characterised by rigidity, muscle spasms, hyperekplexia ",Trimmed proceedings text matches and appears complete.,2026-04-11T23:29:24.345718+00:00
1918,1918,Spasmodic reflex myoclonus-an characteristic electrophysiological manifestation for the diagnosis of Stiff-person syndrome,Tsai C.-H.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1918.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1918.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1918.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,0.9362,0.0000,0.7021,4,2215,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,F59. Spasmodic reflex myoclonus-an characteristic electrophysiological manifestation for the diagnosis of Stiff-person syndrome—Chon-Haw Tsai (Taiwan) Introduction: Stiff person syndrome (SPS) is a rare disease entity and the pivotal clinical features contain progressive course of fluctuating stiffness of the low back and lower limbs. Progressive encephalomyelitis with rigidity and myoclonus (PERM) is one of,Trimmed proceedings text matches and appears complete.,2026-04-11T23:29:24.695678+00:00
1921,1921,Refractory anti-gad positive stiff-person syndrome controlled after rituximab therapy,Aragao V.; Braga E.; Marinho A.R.; Nobrega P.; Simabukuro M.; Ferreira G.; Maia F.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1921.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1921.json,qa\trimming\gold_standard\tranche_reports\parallel_verify_007\tranche_007\text_trimmed\1921.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,67,1.0000,0.8571,0.9643,5,3059,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"171 Withdrawn by author 172 Refractory Anti-GAD Positive Stiff-person Syndrome Controlled after Rituximab Therapy Veronica Aragao, Eduardo Braga, Antonia Rosivalda Marinho, Paulo N/C19obrega, Mateus Simabukuro, Glauber Ferreira, Fernanda Maia (Fortaleza, Brazil) Objective: To describe a case of refractory Stiff Person Syndrome that had an excellent response to Rituximab therapy. Background: Stiff person syndrome is unusual autoimmune move- ment disorder. Anti-GAD antibody is very frequent and pa",Trimmed proceedings text matches and appears complete.,2026-04-11T23:29:38.161443+00:00
