paper_id,covidence_id,title,authors,source_filename,source_text_json_path,trimmed_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,index_detected,index_confidence,index_listed_page,index_prev_code,index_next_code,page_map_method,estimated_offset,offset_confidence,fallback_triggered,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,body_signal_count,spillover_flag,header_only_flag,candidate_rank,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,trimmed_at_utc
1231,1231,Therapeutic challenges of stiff person syndrome: A case report,Varga E.T.; Gyorgyi Md T.; Vecsei L.,1231_Varga E.T. et al. - 2016 - Therapeutic challenges of stiff person syndrome A.pdf,data\extraction_json\text\1231.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1231.json,279,62,293,286,1,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P32209,P32209 Therapeutic challenges of stiff person syndrome: a case report,0.9810,1.0000,0.9858,,,5,false,false,1,253,253,20490,20531,2026-04-11T21:21:17.716778+00:00
1233,1233,Stiff person syndrome,Dosekova P.; Krastev G.; Haring J.; Lackovic R.,1233_mds.26688.pdf,data\extraction_json\text\1233.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1233.json,697,96,459,270,0,6,true,true,0.0903,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1791,1791 Stiff person syndrome,0.9628,1.0000,0.9721,,,6,false,false,1,590,590,71561,71599,2026-04-11T21:24:46.558175+00:00
1237,1237,Stiff person syndrome: Case series,Sasse E.; Amorelli G.; Spitz M.; Germano C.S.B.; Vasconcellos L.F.,1237_Sasse E. et al. - 2016 - Stiff person syndrome Case series.pdf,data\extraction_json\text\1237.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1237.json,697,96,459,270,0,6,true,true,0.0834,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1822,1822 Stiff person syndrome: Case series,0.9754,1.0000,0.9815,,,5,false,false,1,600,600,73426,73469,2026-04-11T21:28:57.290466+00:00
1239,1239,Stiff-person syndrome and hypogammaglobulinaemia: An unusual combination,Suratannon N.; Dalm V.; Van Bilsen K.; Van Paassen P.; Tervaert J.W.C.; Driessen G.J.; Wentink M.W.; Van Der Burg M.; Van Hagen P.M.,1239_Suratannon N. et al. - 2016 - Stiff-person syndrome and hypogammaglobulinaemia .pdf,data\extraction_json\text\1239.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1239.json,92,100,570,484,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1001,1001 Stiff-person syndrome and hypogammaglobulinaemia: an unusual combination,0.9881,0.6250,0.8973,,,4,false,false,1,37,37,6196,6275,2026-04-11T21:31:00.482849+00:00
1242,1242,Stiff-person syndrome in association with cerebellar ataxia: Overlapping syndrome: A case report,Chauhan V.H.; Jowkar A.A.,1242_Chauhan V.H. and Jowkar A.A. - 2016 - Stiff-person syndrome in association with cerebell.pdf,data\extraction_json\text\1242.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1242.json,265,549,396,1446,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,M311WIP,Stiff-Person Syndrome in Association with,0.8301,0.0000,0.6226,,,1,false,false,1,235,235,26408,26422,2026-04-11T21:32:36.478941+00:00
1245,1245,Bilateral hip fracture during hospitalization for spasm exacerbation in an adult with stiff person syndrome: A case report,Podobinski T.K.; Mimbella P.C.; Irvine M.J.; Verduzco-Gutierrez M.,1245_Podobinski-2016-Bilateral hip fracture during.pdf,data\extraction_json\text\1245.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1245.json,2,6,24,32,0,6,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,Poster 237,Poster 237 Bilateral Hip Fracture During Hospitalization for Spasm Exacerbation in an Adult with Stiff Person Syndrome: A Case Report,0.9848,0.2500,0.8011,,,4,false,false,1,0,1,107,139,2026-04-11T21:33:25.644360+00:00
1246,1246,Acute rehabilitation of a patient with stiff person syndrome (SPS) and GAD-antibody cerebellar Ataxia: A case report,Strong N.A.; Love N.F.; Brusky K.M.; Salim S.,1246_Strong-2016-Acute rehabilitation of a patient.pdf,data\extraction_json\text\1246.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1246.json,2,3,30,31,0,5,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,Poster 360,Poster 360 Acute Rehabilitation of a Patient with Stiff Person Syndrome (SPS) and GAD-Antibody Cerebellar Ataxia: A Case Report,0.9838,0.5000,0.8003,,,4,false,false,1,0,1,83,129,2026-04-11T21:34:12.938260+00:00
1251,1251,Double trouble: Opisthotonos associated with guillain-barre Syndrome and GAD autoantibody,Alwis A.; Ram D.; Vassallo G.,1251_Alwis A. et al. - 2016 - Double trouble Opisthotonos associated with guill.pdf,data\extraction_json\text\1251.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1251.json,58,101,451,398,1,8,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,126,126 Double trouble: opisthotonos associated with Guillain-Barr/C19e Syndrome and GAD autoantibody,0.9126,0.6667,0.8511,,,4,false,false,1,49,50,5484,5529,2026-04-11T21:35:39.731483+00:00
1257,1257,Left-side asymmetry in cortical and spinal inhibitory circuits in stiff-person syndrome: A case report,Bocek V.; Cvickova B.; Peisker T.; Stetkarova I.,1257_Bocek V. et al. - 2016 - Left-side asymmetry in cortical and spinal inhibit.pdf,data\extraction_json\text\1257.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1257.json,1,3,11,13,0,3,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,ID 140,Left-side asymmetry in cortical and spinal inhibitory,0.8584,1.0000,0.8938,,,4,false,false,1,0,0,20,51,2026-04-11T21:35:57.183998+00:00
1332,1332,Stiff face syndrome associated with glycine receptor antibodies,Gadian J.; Lascelles K.; Lim M.,1332_Gadian J. et al. - 2017 - Stiff face syndrome associated with glycine recept.pdf,data\extraction_json\text\1332.json,qa\trimming\gold_standard\tranche_reports\verify_tranche_003\text_trimmed\1332.json,15,45,200,260,1,7,true,false,,,,,,,,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,,Stiff face syndrome associated with glycine receptor antibodies,1.0000,1.0000,1.0000,,,4,false,false,1,6,7,749,795,2026-04-11T21:36:54.719947+00:00
