batch_id,paper_id,title,authors,resolved_source_subtype,resolved_source_route_source,workflow_stage,pdf_filename,pdf_path_relative,source_text_json_path,trimmed_text_json_path,preferred_start_page,best_match_page_index,trim_status,qc_status,manual_follow_up_required,match_score,title_score,author_score,combined_score,trim_reason,qc_note,selection_created_at_utc
batch_009,1722,Stiff person syndrome - An unusual paraneoplastic neurological phenomenon in carcinoid tumour,Sahathevan V.; Herath T.; Gamlaksha D.; Yogendranathan N.; Kulatunga A.; Senanayake B.,single_case_conference_abstract,heuristic,stage05_trimming,1722_Sahathevan V. et al. - 2019 - Stiff person syndrome - An unusual paraneoplastic .pdf,data\pdf_original\1722_Sahathevan V. et al. - 2019 - Stiff person syndrome - An unusual paraneoplastic .pdf,data\extraction_json\text\1722.json,qa\trimming\reports\batch_009\text_trimmed\1722.json,1,0,trimmed_auto,confirmed_full,false,1.0000,1.0000,1.0000,1.0000,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
batch_009,1774,An unusual presentation of stiff-person syndrome,Saengphatrachai W.; Wantaneeyawong C.; Pitakpatapee Y.; Srivanitchapoom P.,single_case_conference_abstract,manual_review,stage05_trimming,1774_Saengphatrachai W. et al. - 2019 - An unusual presentation of stiff-person syndrome.pdf,data\pdf_original\1774_Saengphatrachai W. et al. - 2019 - An unusual presentation of stiff-person syndrome.pdf,data\extraction_json\text\1774.json,qa\trimming\reports\batch_009\text_trimmed\1774.json,135,134,trimmed_auto,confirmed_full,false,0.9113,0.9700,1.0000,0.9775,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
batch_009,1793,Stiff-person syndrome: The analyses of 15 cases and their prognosises,Wei X.; Cai J.; Zhang C.; Lin H.,case_series_conference_abstract,manual_review,stage05_trimming,1793_Basic Clin Pharma Tox - 2019 - - Expression of Concern Abstracts.pdf,data\pdf_original\1793_Basic Clin Pharma Tox - 2019 - - Expression of Concern Abstracts.pdf,data\extraction_json\text\1793.json,qa\trimming\reports\batch_009\text_trimmed\1793.json,86,85,trimmed_auto,confirmed_full,false,1.0000,0.9900,1.0000,0.9925,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
batch_009,1802,Advanced progression of scoliosis after intrathecal baclofen in an adult with stiff person syndrome: A case report,Oh D.C.; LaGrant B.; Sein M.,single_case_conference_abstract,manual_review,stage05_trimming,1802_Oh D.C. et al. - 2019 - Advanced progression of scoliosis after intratheca.pdf,data\pdf_original\1802_Oh D.C. et al. - 2019 - Advanced progression of scoliosis after intratheca.pdf,data\extraction_json\text\1802.json,qa\trimming\reports\batch_009\text_trimmed\1802.json,23,22,trimmed_auto,confirmed_full,false,1.0000,1.0000,1.0000,1.0000,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
batch_009,1807,Anti-GAD65 antibody mediated systemic small vessel vasculitis with CNS involvement presenting as refractory status epilepticus and stiff-limb syndrome,Neupert D.; Leibu N.; Aysenne A.; Dunn C.R.,single_case_conference_abstract,manual_review,stage05_trimming,1807_Neupert D. et al. - 2019 - Anti-GAD65 antibody mediated systemic small vessel.pdf,data\pdf_original\1807_Neupert D. et al. - 2019 - Anti-GAD65 antibody mediated systemic small vessel.pdf,data\extraction_json\text\1807.json,qa\trimming\reports\batch_009\text_trimmed\1807.json,291,290,trimmed_auto,confirmed_full,false,0.8607,1.0000,1.0000,1.0000,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
batch_009,1829,Providing relief from stiff person syndrome through intrathecal baclofen: A case report,Mazzola A.J.; Escalon M.X.,single_case_conference_abstract,manual_review,stage05_trimming,1829_Mazzola - Poster 254 Providing Relief from Stiff Person Syndrome through Intrathecal Baclofen A Case Report.pdf,data\pdf_original\1829_Mazzola - Poster 254 Providing Relief from Stiff Person Syndrome through Intrathecal Baclofen A Case Report.pdf,data\extraction_json\text\1829.json,qa\trimming\reports\batch_009\text_trimmed\1829.json,1,0,trimmed_auto,confirmed_full,false,0.6001,1.0000,0.0000,0.7500,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
batch_009,1830,"Rehabilitation challenges in a rare combination of Stiff-man syndrome, cerebellar ataxia, and Grave's Disease: A case report",Rivelis Y.; Saad E.,single_case_conference_abstract,heuristic,stage05_trimming,1830_Rivelis-2018-Rehabilitation challenges in a ra.pdf,data\pdf_original\1830_Rivelis-2018-Rehabilitation challenges in a ra.pdf,data\extraction_json\text\1830.json,qa\trimming\reports\batch_009\text_trimmed\1830.json,1,0,trimmed_auto,confirmed_full,false,0.8477,0.9444,1.0000,0.9583,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
batch_009,1838,Progressive encephalomyelitis with rigidity and myoclonus with multiple autoantibodies as a first manifestation of thymoma,Florea A.; Matei A.; Mitu C.E.; Popescu B.O.,single_case_conference_abstract,manual_review,stage05_trimming,1838_Euro J of Neurology - 2020 - - ePoster Sessions.pdf,data\pdf_original\1838_Euro J of Neurology - 2020 - - ePoster Sessions.pdf,data\extraction_json\text\1838.json,qa\trimming\reports\batch_009\text_trimmed\1838.json,456,455,trimmed_auto,confirmed_full,false,0.9917,1.0000,1.0000,1.0000,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
batch_009,1897,Autologous hematopoietic stem cell transplantation may be highly effective treatment for severe stiff person syndrome,Georges G.E.; Bowen J.D.; Pearlman M.; Wundes A.; Von Geldern G.; Kraft G.H.; Weiss M.D.; McLaughlin B.; Sytsma J.; Nash R.,group_conference_abstract,heuristic,stage05_trimming,1897_Georges-2018-Autologous hematopoietic stem cell transplantation may be highly effective treatment for severe stiff person syndrome.pdf,data\pdf_original\1897_Georges-2018-Autologous hematopoietic stem cell transplantation may be highly effective treatment for severe stiff person syndrome.pdf,data\extraction_json\text\1897.json,qa\trimming\reports\batch_009\text_trimmed\1897.json,1,0,trimmed_auto,confirmed_full,false,0.6853,1.0000,0.5000,0.8750,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
batch_009,1898,"Anti-gad positive syndrome (stiff-man): A 9-years-case report of treatment, evolution and a review",De Camargo Carmello J.F.; Oliveira A.S.B.,single_case_conference_abstract,manual_review,stage05_trimming,1898_De Camargo Carmello J.F. and Oliveira A.S.B. - 2018 - Anti-gad positive syndrome (stiff-man) A 9-years-.pdf,data\pdf_original\1898_De Camargo Carmello J.F. and Oliveira A.S.B. - 2018 - Anti-gad positive syndrome (stiff-man) A 9-years-.pdf,data\extraction_json\text\1898.json,qa\trimming\reports\batch_009\text_trimmed\1898.json,12,11,trimmed_auto,confirmed_full,false,0.5326,0.8074,0.0000,0.6056,Proceedings detected and candidate abstract passed identity and completeness guardrails.,Trimmed proceedings text matches and appears complete.,2026-04-10T10:02:58.425984+00:00
