paper_id,covidence_id,title,authors,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,trimmed_text_json_path,validated_text_json_path,preferred_text_source,proceedings_detected,trim_status,trim_reason,qc_status,manual_follow_up_required,best_match_page_index,title_score,author_score,combined_score,section_heading_count,body_char_count,header_only_flag,spillover_flag,span_located,span_detection_method,start_boundary_ok,start_boundary_rule,next_header_rule,meaningful_tail_gap_count,best_match_excerpt,qc_note,checked_at_utc
1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1117.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1117.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1117.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,3,2225,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"PP08.9 - 2594 Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl A. Patel, S. Boyd, B. Amin, R. Robinson, M. Woodhall, A. Vincent, C. Hemingway, P. Munot. Department ofC linical Neurophysiology, Great Ormond Street Hospital forC hildrenN HS Trust, London, UK; Cambrid ge University HospitalsN HS Trust, Cambridge,U K; Norfolk & No Objective: To describe a y oung girl in whom stimulus s",Trimmed proceedings text matches and appears complete.,2026-04-11T10:39:51.324011+00:00
1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1118.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1118.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1118.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,2,1991,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"PP14. 3 - 2698 Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies A. Patel, S. Janackova, P. Munot, A. Vincent, S. Boyd. Department of Clinical Neurophysiology, Great Ormond Street Hospital for Children, London, UK; Cambridge University Hospitals NHS Trust, Cambridge, UK; Norfolk & Norwich University Hospitals NHS Trust, Norwich, UK Objective: Stimulus sensitivity in the context of burst– suppression has been recognised, whereby signs only e",Trimmed proceedings text matches and appears complete.,2026-04-11T10:39:51.533973+00:00
1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,conference_abstract,group_conference_abstract,manual_review,data\extraction_json\text\1119.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1119.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1119.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,262,1.0000,0.8571,0.9643,5,2394,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"670 Antibody spectrum in stiff person syndrome and related disorders B. Balint, I.M. Bl €ocker, M. Unger, W. St €ocker, C. Probst, L. Komorowski, H.M. Meinck (London, United Kingdom) Objective: To determine the spectrum and prevalence of antibod- ies associated with Stiff Person Syndrome and related disorders (SPSD) in a large cohort. Background: New antibodies targeting the glycine receptor (GlyR), GABA A receptor (GABAAR), and dipeptidyl-peptidase-like protein-6 (DPPX) have been recently descr",Trimmed proceedings text matches and appears complete.,2026-04-11T10:40:32.558739+00:00
1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1120.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1120.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1120.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,292,1.0000,1.0000,1.0000,5,1822,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"740 Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea G. Zhang, L. Liu, N. Xiong, J. Huang, T. Wang (Wuhan, People’s Republic of China) Objective: To present a case report of anti-GAD65 negative stiff- person syndrome with a favorable response to pregabalin accompa- nying central sleep apnea. Background: Stiff-person syndrome (SPS) is a rare immune- mediated disorder characterized by muscle stiffness a",Trimmed proceedings text matches and appears complete.,2026-04-11T10:41:13.108893+00:00
1129,1129,"GAD autoimmunity: Syndromes, comorbidities, and coexisting antibodies in 121 patients",Arino H.; Gresa-Arribas N.; Hoftberger R.; Martinez-Hernandez E.; Armangue T.; Kruer M.C.; Arpa J.; Domingo J.; Rojc B.; Bataller L.; Saiz A.; Dalmau J.; Graus F.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1129.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1129.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1129.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,72,0.9896,0.5000,0.8672,0,1617,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"M103. GAD Autoimmunity: Syndromes, Comorbidities, and Coexisting Antibodies in 121 Patients Helena Ari ~no, Nuria Gresa-Arribas, Romana H €oftberger, Euge- nia Mart/C19ınez-Hern/C19andez, Tha/C19ıs Armangue, Michael C. Kruer, Javier Arpa, Julio Domingo, Bojan Rojc, Luis Bataller, Albert Saiz, Josep Dalmau and Francesc Graus. Barcelona, Spain; Vienna, Austria; Stockholm, Sweden; Sioux Falls; Madrid, Spain; Izola, Slovenia; Valencia, Spain and Philadelphia GAD65-antibodies associate with several n",Trimmed proceedings text matches and appears complete.,2026-04-11T10:41:22.782300+00:00
1138,1138,Stiff person syndrome: Review of 14 patients,Cavalcante V.; Souza Bulle Oliveira A.,conference_abstract,group_conference_abstract,heuristic,data\extraction_json\text\1138.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1138.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1138.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,4,1687,false,false,true,trim_record_indices,true,after_coded_boundary_preamble,next_abstract_boundary,0,"Stiff person syndrome: review of 14 patients V. Cavalcante, A. Souza Bulle Oliveira. Neurology and Neurosurgery, Federal University of São Paulo, São Paulo, Brazil Stiff person syndrome (SPS) is an autoimmune disorder of the central nervous system presenting with muscular rigidity in the axial (trunk) and or limbs muscles; episodic spasms; continuous co- contraction of agonist and antagonist muscles con ﬁrmed electro- physiologically and positive serum anti-GAD65 antibodies. Early diagnosis allo",Trimmed proceedings text matches and appears complete.,2026-04-11T10:41:22.886725+00:00
1215,1215,Three cases of elevated IL-1beta in common variable immunodeficiency (CVID) with autoimmune complications,Toh J.; Gavrilova T.; Rubinstein A.,conference_abstract,single_case_conference_abstract,heuristic,data\extraction_json\text\1215.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1215.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1215.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,0,1.0000,1.0000,1.0000,5,1953,false,false,true,trim_record_indices,true,coded_boundary,no_header_found,0,"58 Three Cases of Elevated IL-1beta in Common Variable Immunodeficiency (CVID) with Autoimmune Complications Jennifer Toh, MD 1, Tatyana Gavrilova, MD 2, Arye Rubinstein, MD, FAAAAI3; 1Albert Einstein/Monteﬁore Medical Center, Bronx, NY , 2Allergy and Immunology, Monteﬁore Medical Center, Bronx, NY , 3Albert Einstein College of Medicine and Monteﬁore Hospital, Bronx, NY . RATIONALE: Altered cytokine levels, such as TNF-alpha and IL-6, have been described in common variable immunodeﬁciency (CVID)",Trimmed proceedings text matches and appears complete.,2026-04-11T10:41:23.085455+00:00
1227,1227,Role of plasma exchange in stiff person syndrome,Albahra S.; Yates S.; Matevosyan K.; Sarode R.,conference_abstract,group_conference_abstract,manual_review,data\extraction_json\text\1227.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1227.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1227.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,44,1.0000,1.0000,1.0000,4,3297,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"77 ROLE OF PLASMA EXCHANGE IN STIFF PERSON SYNDROME Said Albahra, MD, Sean Yates, MD, Karen Matevosyan, MD and Ravi Sarode, MD Pathology, UT Southwestern, Dallas, Texas Purpose: Stiff person syndrome (SPS) is a rare neurologic auto- immune disease characterized by progressive axial and proximal limb rigidity, agonist and antagonist muscle contraction, and intermittent muscular spasms precipitated by various stimuli. Autoantibodies against antigens found predominately within the inhibitory synaps",Trimmed proceedings text matches and appears complete.,2026-04-11T10:41:28.267482+00:00
1229,1229,Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of hodgkin's lymphoma: A case report,Borellini L.; Lanfranconi S.; Trezzi I.; Franco G.; Di Fonzo A.; Bonato S.; Bresolin N.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1229.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1229.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1229.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,79,0.9050,1.0000,0.9287,5,1959,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"P11168 Progressive encephalomyelitis with rigidity and myoclonus (PERM) associated with glycine receptor antibodies as first manifestation of Hodgkin’s lymphoma: a case report L. Borellini, S. Lanfranconi, I. Trezzi, G. Franco, A. Di Fonzo, S. Bonato, N. Bresolin IRCCS Foundation Ca’ Granda Ospedale Maggiore Policlinico, Dino Ferrari Center , Neuroscience Section, Department of Pathophysiology and Transplantation, University of Milan, Milan, Italy., Milan, Italy Background and aims: Progressive ",Trimmed proceedings text matches and appears complete.,2026-04-11T10:41:39.051558+00:00
1230,1230,Stiff Person Syndrome: A female case report with focal onset and multiple limb involvement,Vaz S.; Barros A.; Calado A.; Sequeira J.; Melancia D.; Fernandes A.,conference_abstract,single_case_conference_abstract,manual_review,data\extraction_json\text\1230.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1230.json,qa\trimming\reports\stage05_regression_guard\tranche_002\text_trimmed\1230.json,trimmed_text,true,trimmed_auto,Proceedings detected and candidate abstract passed identity and completeness guardrails.,confirmed_full,false,228,1.0000,1.0000,1.0000,4,1895,false,false,true,trim_record_indices,true,coded_boundary,next_abstract_boundary,0,"P32164 Stiff Person Syndrome: a female case report with focal onset and multiple limb involvement S. Vaz1, A. Barros1, A. Calado1, J. Sequeira2, D. Melancia1, A. Fernandes1 1 Neurology, Centro Hospitalar Lisboa Central, Lisbon, Portugal, 2 Lisbon, Portugal Background and aims: Stiff Person Syndrome (SPS) is a rare autoimmune neuromuscular disease, characterised by progressive, fluctuating muscular rigidity with superimposed intense spasms. Usually, axial and proximal appendicular muscles are aff",Trimmed proceedings text matches and appears complete.,2026-04-11T10:41:51.701347+00:00
