paper_id,manually_reviewed_MC,batch_id,manifest_json_path,stage07_paper_json_path,stage07_segments_json_path,stage07_target_view_json_path,stage07_validation_json_path,stage07_annotated_xml_path,stage06_json_source,stage06_candidate_json_path,stage06_count_evidence_json_path,stage06_result_json_path,stage06_gold_result_json_path,covidence_id,title,authors,source_category,source_subtype,preferred_text_json_path,preferred_text_source,count_eligible,likely_sps_case_count,count_confidence,count_basis,count_manual_review_required,count_original_cohort_provenance_uncertain,count_reason,count_version,heuristic_likely_sps_case_count,heuristic_count_confidence,heuristic_count_basis,heuristic_candidate_count,llm_likely_sps_case_count,llm_count_confidence,llm_selected_candidate_id,heuristic_fallback_used,count_audit_status,count_verification_status,count_validator_flags,counted_at_utc
22,FALSE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\22.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\22.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\22\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\22.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\22.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\22.json,22,Therapeutic trial of milacemide in patients with myoclonus and other intractable movement disorders.,"Gordon, M F; Diaz-Olivo, R; Hunt, A L; Fahn, S",interventional_study,controlled_or_therapeutic_group_study,data\extraction_json\text\22.json,full_text,true,1,high,manual_gold_review,false,false,"count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_02 | selection_bucket=count_ambiguity | prediction_correct=false | reviewed_count=1 | reviewed_source_category=interventional_study | predicted_count=10 | predicted_source_category=interventional_study | reviewer_notes=only one patient, case 10",gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T15:02:17.883920+00:00
29,FALSE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\29.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\29.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\29\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\29.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\29.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\29.json,29,Significant improvement of stiff-person syndrome after paraspinal injection of botulinum toxin A.,"Davis, D; Jabbari, B",single_case_report,case_report,data\extraction_json\text\29.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_01 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T12:44:02.861061+00:00
62,FALSE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\62.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\62.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\62\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\62.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\62.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\62.json,62,"Autoimmunity in stiff-Man syndrome with breast cancer is targeted to the C-terminal region of human amphiphysin, a protein similar to the yeast proteins, Rvs167 and Rvs161.","David, C; Solimena, M; De Camilli, P",single_case_report,case_report,data\extraction_json\text\62.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_02 | selection_bucket=count_ambiguity | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T15:03:22.411325+00:00
69,FALSE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\69.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\69.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\69\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\69.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\69.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\69.json,69,Stiff-man syndrome. Report of a case.,"Tarsy, D; Miyawaki, E K",single_case_report,case_report,data\extraction_json\text\69.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_02 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T15:05:15.152505+00:00
75,TRUE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\75.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\75.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\75\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\75.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\75.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\75.json,75,Stiff-man syndrome: case report.,"Kuhn, W F; Light, P J; Kuhn, S C",single_case_report,case_report,data/extraction_json/text/75.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=stage04_llm_category_2026-04-05_round_02 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T18:47:57.078704+00:00
85,FALSE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\85.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\85.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\85\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\85.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\85.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\85.json,85,Stiff-man syndrome: report of a case.,"Chang, Y J; Wu, C L; Lu, C S",single_case_report,case_report,data\extraction_json\text\85.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_02 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T15:06:17.685092+00:00
92,TRUE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\92.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\92.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\92\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\92.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\92.annotated.xml,stage06_count_runs,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\92.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\92.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\results\92.json,,92,Antiamphiphysin antibodies with small-cell lung carcinoma and paraneoplastic encephalomyelitis.,"Dropcho, E J",case_series_or_multi_case,case_series,data/extraction_json/text/92.json,full_text,true,1,high,manual_gold_review,false,false,"count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-18_stage06_b002_manual_review | selection_bucket=stage06_backfill_batch_review | prediction_correct=false | reviewed_count=1 | reviewed_source_category=case_series_or_multi_case | predicted_count=2 | predicted_source_category=case_series_or_multi_case | reviewer_notes=The paper reports 3 paraneoplastic encephalomyelitis patients, but only patient 3 is clearly tied to rigidity and the SPS-spectrum signal. The safest extractable SPS-spectrum count is therefore 1.",gold_reviewed_stage06_v1,2,medium,patient_label_count,2,2,low,,false,manual_gold_review,manual_gold_review,,2026-04-18T12:07:02Z
99,FALSE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\99.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\99.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\99\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\99.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\99.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\99.json,99,Improvement of stiff-man syndrome with vigabatrin.,"Vermeij, F H; van Doorn, P A; Busch, H F",single_case_report,case_report,data\extraction_json\text\99.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_03 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T15:53:13.076438+00:00
101,FALSE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\101.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\101.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\101\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\101.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\101.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\101.json,101,Progressive encephalomyelitis with rigidity responsive to plasmapheresis and immunosuppression.,"Fogan, L",single_case_report,case_report,data\extraction_json\text\101.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_03 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T15:53:23.528649+00:00
103,FALSE,batch000,qa\validation\stage07_single_case_codex_gold\batch000\manifest.json,qa\validation\stage07_single_case_codex_gold\batch000\json\papers\103.json,qa\validation\stage07_single_case_codex_gold\batch000\json\segments\103.segments.json,qa\validation\stage07_single_case_codex_gold\batch000\json\target_views\103\p1.json,qa\validation\stage07_single_case_codex_gold\batch000\json\validation\103.validation.json,qa\validation\stage07_single_case_codex_gold\batch000\xml\103.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\103.json,103,Electrophysiological evaluation of the stiff-man syndrome: further data.,"Martinelli, P; Nassetti, S; Minardi, C; Macri, S; Ippoliti, M",single_case_report,case_report,data\extraction_json\text\103.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_03 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T15:53:33.537635+00:00
